レースID(新),馬番,前走補9,前走補正,複勝オッズ下限,複勝オッズ上限
202606070903021004,4, 94, 94,2.9,16.5
202606070903021007,7, 90, 90,18.1,117.0
202606070903021009,9, 87, 87,2.8,16.1
202606070903021002,2,,,10.5,66.9
202606070903020904,4, 96,101,1.5,2.0
202606070903020910,10, 97, 97,1.4,1.8
202606070903020914,14, 92, 92,4.7,7.2
202606070903020906,6, 89, 89,1.6,2.2
202606070903020916,16, 97, 97,2.1,3.1
202606070903020908,8, 95,100,1.7,2.4
202606070903020911,11, 88, 88,9.5,14.8
202606070903020905,5, 88, 88,13.7,21.5
202606070903020907,7, 93, 93,4.7,7.2
202606070903020903,3, 96, 96,6.7,10.3
202606070903020901,1, 92,102,5.6,8.6
202606070903020912,12, 85, 85,32.4,50.9
202606070903020902,2, 75, 72,9.8,15.3
202606070903020913,13, 94, 94,9.5,14.8
202606070903020915,15, 94, 94,13.8,21.6
202606070903020909,9, 81, 81,22.2,34.9
202606070903020814,14, 91,100,1.4,2.0
202606070903020806,6,107, 90,1.3,1.7
202606070903020801,1, 75, 72,2.3,3.6
202606070903020807,7, 91,100,1.6,2.3
202606070903020805,5, 85, 90,7.0,11.2
202606070903020812,12, 84, 89,3.5,5.5
202606070903020816,16, 92, 97,2.1,3.1
202606070903020803,3, 93, 98,3.9,6.1
202606070903020818,18, 78, 87,16.1,26.2
202606070903020817,17, 86, 95,3.3,5.1
202606070903020813,13, 70, 75,10.8,17.6
202606070903020802,2, 80, 88,38.5,63.2
202606070903020810,10, 86, 95,9.7,15.7
202606070903020804,4, 84, 92,25.6,42.1
202606070903020809,9, 75, 84,24.0,39.3
202606070903020815,15, 85, 94,17.2,28.0
202606070903020808,8, 84, 93,12.8,20.9
202606070903020811,11,,,28.8,47.3
202606070903020708,8, 89, 94,1.3,1.8
202606070903020705,5, 85, 91,1.5,2.0
202606070903020716,16, 90, 99,1.5,2.0
202606070903020703,3, 85, 91,5.8,8.9
202606070903020713,13, 88, 97,4.6,7.1
202606070903020704,4, 81, 99,2.4,3.5
202606070903020711,11, 85,103,2.1,3.1
202606070903020701,1, 74, 83,28.9,45.3
202606070903020706,6, 68, 74,6.0,9.3
202606070903020709,9, 82, 88,2.7,4.0
202606070903020707,7, 79, 88,27.2,42.7
202606070903020714,14, 83,101,12.0,18.8
202606070903020702,2, 83,101,7.7,11.9
202606070903020710,10, 85, 91,12.3,19.2
202606070903020715,15, 84,102,10.6,16.6
202606070903020712,12,,,17.4,27.3
202606070903020604,4,,,1.6,2.7
202606070903020611,11, 74, 93,1.5,2.3
202606070903020615,15, 81,100,1.1,1.5
202606070903020602,2, 59, 78,2.3,4.0
202606070903020612,12, 65, 84,7.8,14.5
202606070903020606,6, 74, 93,12.1,22.7
202606070903020605,5, 80, 99,1.2,1.7
202606070903020607,7, 67, 85,21.7,41.0
202606070903020610,10, 69, 88,4.5,8.2
202606070903020603,3, 68, 87,8.5,15.7
202606070903020616,16, 73, 91,5.9,10.9
202606070903020614,14, 76, 95,5.1,9.3
202606070903020601,1, 67, 85,5.0,9.1
202606070903020608,8, 66, 83,64.0,121.4
202606070903020609,9, 26, 45,57.2,108.5
202606070903020613,13, 45, 64,37.5,71.0
202606070903020505,5,,,1.6,2.4
202606070903020510,10,,,1.3,1.9
202606070903020504,4,,,10.5,17.4
202606070903020509,9,,,1.2,1.6
202606070903020511,11,,,5.8,9.5
