レースID(新),馬番,前走補9,前走補正,複勝オッズ下限,複勝オッズ上限,指数,指数順位
202609120604031007,7,,,11.2,15.9,,
202609120604031006,6,,,4.2,6.0,,
202609120604031008,8,,,1.7,2.3,,
202609120604031001,1,,,1.6,2.0,,
202609120604031003,3,,,1.7,2.2,,
202609120604031009,9,,,2.3,3.2,,
202609120604031011,11,,,7.4,10.4,,
202609120604031010,10,,,1.5,1.9,,
202609120604030902,2,,,1.4,2.0,,
202609120604030912,12,,,1.2,1.5,,
202609120604030910,10,,,1.7,2.6,,
202609120604030907,7,,,5.0,8.3,,
202609120604030901,1,,,2.2,3.5,,
202609120604030904,4,,,18.5,31.7,,
202609120604030908,8,,,2.3,3.7,,
202609120604030913,13,,,1.9,2.9,,
202609120604030903,3,,,5.2,8.7,,
202609120604030909,9, 78, 78,7.4,12.5,,
202609120604030914,14,,,10.2,17.4,,
202609120604030906,6,,,4.9,8.2,,
202609120604030911,11,,,8.9,15.1,,
202609120604030905,5,,,40.7,69.6,,
202609120604030805,5,,,1.8,2.5,,
202609120604030812,12,,,1.8,2.4,,
202609120604030802,2,,,9.8,14.7,,
202609120604030811,11,,,2.8,4.0,,
202609120604030801,1,,,1.5,1.8,,
202609120604030808,8,,,1.6,2.2,,
202609120604030813,13,,,1.8,2.5,,
202609120604030804,4, 84, 92,3.2,4.6,,
202609120604030807,7,,,4.3,6.3,,
202609120604030809,9,,,51.2,77.2,,
202609120604030814,14,,,10.6,16.0,,
202609120604030806,6,,,15.8,23.8,,
202609120604030803,3,,,15.8,23.9,,
202609120604030810,10,,,74.3,112.1,,
202609120604030714,14,,,1.4,1.8,,
202609120604030707,7,,,4.2,6.3,,
202609120604030702,2,,,3.3,5.0,,
202609120604030709,9,,,1.5,2.1,,
202609120604030703,3,,,1.6,2.2,,
202609120604030708,8,,,2.3,3.3,,
202609120604030706,6,,,3.2,4.7,,
202609120604030716,16,,,5.9,9.0,,
202609120604030704,4,,,2.3,3.3,,
202609120604030715,15,,,11.8,18.2,,
202609120604030701,1,,,20.4,31.6,,
202609120604030712,12,,,14.9,23.1,,
202609120604030705,5,,,33.1,51.2,,
202609120604030710,10,,,8.0,12.3,,
202609120604030713,13, 71, 87,11.0,17.0,,
202609120604030711,11,,,15.2,23.5,,
202609120604030611,11,,,1.8,6.0,,
202609120604030603,3,,,3.8,14.3,,
202609120604030602,2,,,1.9,6.4,,
202609120604030601,1,,,1.1,1.1,,
202609120604030610,10,,,2.9,10.9,,
202609120604030612,12,,,2.4,8.4,,
202609120604030607,7,,,1.4,4.0,,
202609120604030609,9,,,2.7,9.9,,
202609120604030608,8,,,6.6,26.4,,
202609120604030606,6,,,4.2,16.0,,
202609120604030604,4,,,15.2,62.0,,
202609120604030605,5,,,14.2,58.1,,
202609120604030508,8,,,1.1,1.1,,
202609120604030504,4,,,1.5,2.8,,
202609120604030501,1,,,8.0,19.3,,
202609120604030509,9,,,1.8,3.8,,
202609120604030510,10,,,2.4,5.4,,
202609120604030507,7,,,2.4,5.3,,
202609120604030505,5,,,1.9,4.1,,
202609120604030506,6,,,2.1,4.5,,
202609120604030503,3,,,3.2,7.3,,
202609120604030502,2,,,12.1,29.5,,
202609120604030511,11,,,19.6,47.8,,
202609120604030404,4,,,11.4,16.8,,
202609120604030402,2,,,1.5,1.8,,
202609120604030410,10,,,5.2,7.5,,
202609120604030408,8,,,2.2,3.1,,
202609120604030403,3,,,5.4,7.8,,
202609120604030413,13,,,3.2,4.5,,
202609120604030406,6,,,6.3,9.2,,
202609120604030405,5,,,8.2,12.1,,
202609120604030401,1,,,14.3,21.2,,
202609120604030412,12,,,2.4,3.3,,
202609120604030414,14,,,5.5,8.0,,
202609120604030416,16,,,2.2,3.1,,
202609120604030407,7,,,4.3,6.2,,
202609120604030418,18,,,10.1,14.9,,
202609120604030409,9,,,37.0,54.6,,
202609120604030411,11,,,1.8,2.4,,
202609120604030415,15,,,7.8,11.5,,
202609120604030417,17,,,13.3,19.6,,
202609120604030315,15,,,1.6,2.0,,
202609120604030313,13,,,3.0,4.3,,
202609120604030308,8,,,1.6,2.0,,
202609120604030303,3,,,3.8,5.5,,
202609120604030305,5,,,2.3,3.3,,
202609120604030310,10,,,3.7,5.3,,
202609120604030309,9,,,2.4,3.3,,
202609120604030311,11,,,12.9,19.3,,
202609120604030302,2,,,2.1,3.0,,
202609120604030307,7,,,13.9,20.7,,
202609120604030304,4,,,5.7,8.3,,
202609120604030306,6,,,3.2,4.7,,
202609120604030301,1,,,9.3,13.8,,
202609120604030314,14,,,7.6,11.3,,
202609120604030316,16, 66, 83,15.5,23.1,,
202609120604030312,12,,,60.7,90.5,,
202609120604030210,10,,,1.6,2.3,,
202609120604030207,7,,,5.4,8.4,,
202609120604030206,6,,,1.9,2.8,,
202609120604030201,1,,,1.6,2.3,,
202609120604030209,9,,,1.3,1.6,,
202609120604030211,11,,,2.2,3.3,,
202609120604030204,4,,,3.6,5.5,,
202609120604030202,2,,,1.6,2.3,,
202609120604030203,3,,,28.1,45.4,,
202609120604030208,8,,,27.4,44.2,,
202609120604030212,12,,,40.4,65.2,,
202609120604030205,5,,,23.9,38.5,,
202609120604030109,9,,,1.4,2.2,,
202609120604030111,11,,,1.3,1.9,,
202609120604030106,6,,,4.8,8.0,,
202609120604030112,12,,,4.7,7.8,,
202609120604030108,8,,,1.6,2.4,,
202609120604030102,2,,,1.2,1.5,,
202609120604030101,1,,,2.8,4.5,,
202609120604030107,7,,,3.8,6.3,,
202609120604030103,3,,,3.2,5.3,,
202609120604030104,4,,,13.5,23.2,,
202609120604030105,5,,,11.7,20.1,,
202609120604030110,10,,,30.6,52.9,,
202609120904031210,10,,,1.6,2.3,,
202609120904031214,14, 91,106,2.0,2.9,,
202609120904031216,16,,,1.7,2.4,,
202609120904031207,7,,,5.1,7.9,,
202609120904031213,13,,,1.3,1.5,,
202609120904031215,15,,,3.7,5.7,,
202609120904031209,9,,,42.8,68.8,,
202609120904031211,11,,,6.7,10.6,,
202609120904031212,12,,,3.1,4.8,,
202609120904031204,4,,,17.1,27.4,,
202609120904031201,1,,,16.6,26.6,,
202609120904031203,3,,,7.5,11.9,,
202609120904031202,2,,,8.6,13.7,,
202609120904031206,6,,,3.5,5.4,,
202609120904031205,5,,,13.5,21.6,,
202609120904031208,8,,,3.2,5.0,,
202609120904031115,15,,,1.7,2.4,,
202609120904031108,8,,,4.2,6.2,,
202609120904031107,7,,,3.1,4.5,,
202609120904031111,11,,,1.7,2.3,,
202609120904031109,9,112, 88,1.4,1.7,,
202609120904031104,4,,,3.1,4.5,,
202609120904031112,12,,,8.7,13.2,,
202609120904031105,5,,,4.7,7.0,,
202609120904031114,14,,,5.5,8.2,,
202609120904031101,1,,,11.0,16.7,,
202609120904031110,10,,,2.1,3.0,,
202609120904031103,3,,,7.5,11.3,,
202609120904031106,6,,,27.8,42.4,,
202609120904031116,16,,,23.6,36.0,,
202609120904031102,2,,,5.9,8.9,,
202609120904031113,13,110, 94,4.8,7.2,,
202609120904031005,5,,,1.4,1.8,,
202609120904031002,2,,,2.3,3.3,,
202609120904031010,10,,,2.4,3.4,,
202609120904031014,14, 91, 84,8.6,13.1,,
202609120904031015,15,,,1.8,2.5,,
202609120904031008,8,,,7.8,12.0,,
202609120904031013,13,,,2.5,3.6,,
202609120904031003,3,,,4.6,6.9,,
202609120904031007,7,102, 95,1.5,1.9,,
202609120904031006,6,,,7.6,11.6,,
202609120904031001,1,,,10.3,15.8,,
202609120904031009,9, 98, 91,6.1,9.2,,
202609120904031012,12, 92, 85,5.3,8.0,,
202609120904031004,4,102, 90,6.8,10.4,,
202609120904031011,11,,,11.8,18.1,,
202609120904030902,2, 96, 96,1.4,1.8,,
202609120904030908,8,,,2.2,3.2,,
202609120904030904,4,,,1.6,2.2,,
202609120904030907,7,,,5.3,8.1,,
202609120904030903,3,,,7.0,10.8,,
202609120904030910,10,,,5.3,8.1,,
202609120904030906,6,,,2.3,3.4,,
202609120904030905,5,,,5.4,8.2,,
202609120904030909,9,,,40.9,62.6,,
202609120904030901,1,,,6.8,10.3,,
202609120904030912,12,,,1.4,1.9,,
202609120904030911,11, 94, 94,2.4,3.5,,
202609120904030913,13,,,4.4,6.6,,
202609120904030804,4,,,1.1,1.5,,
202609120904030807,7, 87,105,1.3,1.8,,
202609120904030801,1,,,2.5,4.3,,
202609120904030806,6, 95, 92,1.4,2.1,,
202609120904030802,2,,,12.0,21.9,,
202609120904030813,13, 86, 86,7.4,13.3,,
202609120904030810,10,,,4.7,8.4,,
202609120904030809,9,,,14.5,26.5,,
202609120904030812,12,,,3.7,6.5,,
202609120904030808,8,,,19.4,35.5,,
202609120904030811,11,,,1.6,2.5,,
202609120904030805,5,,,34.7,63.7,,
202609120904030803,3,,,6.1,10.9,,
202609120904030814,14, 81, 89,10.3,18.7,,
202609120904030709,9,,,2.4,3.5,,
202609120904030704,4,,,1.8,2.3,,
202609120904030711,11,,,3.0,4.4,,
202609120904030703,3,,,5.3,8.0,,
202609120904030706,6,,,4.5,6.7,,
202609120904030713,13,,,2.1,3.0,,
202609120904030710,10,,,2.7,3.9,,
202609120904030712,12,,,13.5,20.5,,
202609120904030716,16,,,4.3,6.4,,
202609120904030715,15,,,1.4,1.7,,
202609120904030701,1,,,4.3,6.4,,
202609120904030707,7,,,5.9,8.9,,
202609120904030714,14,,,16.1,24.4,,
202609120904030702,2,,,23.3,35.5,,
202609120904030705,5,,,23.5,35.7,,
202609120904030708,8, 79, 95,3.0,4.4,,
202609120904030603,3,,,1.1,1.2,,
202609120904030608,8,,,1.8,3.0,,
202609120904030606,6,,,2.6,4.5,,
202609120904030601,1,,,1.3,1.9,,
202609120904030607,7,,,1.6,2.6,,
202609120904030604,4,,,1.5,2.5,,
202609120904030602,2,,,2.3,4.1,,
202609120904030605,5,,,13.3,23.7,,
202609120904030501,1,,,1.4,2.2,,
202609120904030509,9,,,1.1,1.2,,
202609120904030508,8,,,15.4,29.1,,
202609120904030503,3,,,7.7,14.3,,
202609120904030507,7,,,1.6,2.7,,
202609120904030502,2,,,2.4,4.1,,
202609120904030505,5,,,4.6,8.5,,
202609120904030510,10,,,1.9,3.2,,
202609120904030506,6,,,5.7,10.7,,
202609120904030504,4,,,1.5,2.5,,
202609120904030405,5,,,8.8,13.1,,
202609120904030406,6,,,1.4,1.8,,
202609120904030415,15,,,6.4,9.4,,
202609120904030404,4,,,4.0,5.8,,
202609120904030402,2,,,1.8,2.5,,
202609120904030401,1,,,14.1,21.1,,
202609120904030408,8,,,4.2,6.1,,
202609120904030414,14,,,36.6,55.2,,
202609120904030410,10,,,2.8,3.9,,
202609120904030413,13,,,3.1,4.5,,
202609120904030416,16,,,2.7,3.9,,
202609120904030403,3,,,26.4,39.7,,
202609120904030411,11,,,10.2,15.1,,
202609120904030418,18,,,94.4,142.3,,
202609120904030417,17,,,2.2,3.1,,
202609120904030409,9,,,1.8,2.4,,
202609120904030407,7,,,45.1,68.0,,
202609120904030412,12,,,23.2,34.9,,
202609120904030307,7,,,1.2,1.5,,
202609120904030303,3,,,2.8,4.0,,
202609120904030306,6,,,2.3,3.3,,
202609120904030302,2,,,1.3,1.8,,
202609120904030301,1,,,4.9,7.1,,
202609120904030304,4,,,4.6,6.7,,
202609120904030305,5,,,14.0,20.0,,
202609120904030205,5,,,1.1,1.1,,
202609120904030206,6,,,1.7,5.0,,
202609120904030202,2,,,1.8,5.3,,
202609120904030201,1,,,2.3,7.3,,
202609120904030207,7,,,3.3,10.6,,
202609120904030204,4,,,16.0,54.4,,
202609120904030203,3,,,8.0,26.9,,
202609120904030101,1,,,1.1,1.1,,
202609120904030108,8,,,2.9,14.3,,
202609120904030105,5,,,2.7,13.4,,
202609120904030104,4,,,1.5,6.3,,
202609120904030106,6,,,1.1,1.6,,
202609120904030102,2,,,1.5,6.1,,
202609120904030107,7,,,2.0,9.3,,
202609120904030103,3,,,5.0,26.3,,
202609060102061204,4,,,3.4,5.7,,
202609060102061208,8,,,1.4,2.0,,
202609060102061205,5,,,1.2,1.5,,
202609060102061201,1,,,1.9,2.9,,
202609060102061209,9,,,4.2,7.1,,
202609060102061211,11,,,1.8,2.9,,
202609060102061206,6,,,13.2,23.2,,
202609060102061203,3,,,12.2,21.4,,
202609060102061210,10,,,2.4,3.9,,
202609060102061207,7,,,2.5,4.0,,
202609060102061202,2,,,2.6,4.3,,
202609060102061212,12,,,32.2,56.6,,
202609060102061107,7,,,2.8,3.7,,
202609060102061112,12,109, 95,1.6,2.0,,
202609060102061108,8,109, 92,9.5,12.9,,
202609060102061104,4,,,3.5,4.7,,
202609060102061109,9,,,4.2,5.8,,
202609060102061110,10,109, 83,4.0,5.5,,
202609060102061113,13,,,1.9,2.5,,
