レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020301,2026.3.7,土,中山,2中3,1,,未勝利,ダート,1200,,2,重,晴,16,10:05,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全ダート:1着,全ダート:2着,全ダート:3着,全ダート:外,全ダート:連対率,ダート1200m:1着,ダート1200m:2着,ダート1200m:3着,ダート1200m:外,ダート1200m:連対率,中山・ダート:1着,中山・ダート:2着,中山・ダート:3着,中山・ダート:外,中山・ダート:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020303,2026.3.7,土,中山,2中3,3,,未勝利,ダート,1200,,2,重,晴,16,11:05,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全ダート:1着,全ダート:2着,全ダート:3着,全ダート:外,全ダート:連対率,ダート1200m:1着,ダート1200m:2着,ダート1200m:3着,ダート1200m:外,ダート1200m:連対率,中山・ダート:1着,中山・ダート:2着,中山・ダート:3着,中山・ダート:外,中山・ダート:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
1,,1,,,,,リスペクトライト,,牡,3,*,石神深道,54,▲,299.1,434,- 1,0,0,0,4,0.0,0,0,0,4,0.0,0,0,0,4,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,3,0.0,,1.13.9
1,,2,,,,,アンセートゥモダン,,牝,3,*,大野拓弥,55,,298.7,418,- 2,0,0,0,3,0.0,,,,,,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,2,0.0,,1.14.7
2,,3,,,,,イセッセイ,,牝,3,,遠藤汰月,52,▲,628.9,440,+ 4,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,1,0.0,,1.16.0
2,B,4,,,,,フェイスリフト,,牡,3,,原優介,57,,11.8,460,- 4,0,1,1,6,12.5,0,0,0,2,0.0,,,,,,,,,,,,,,,,,,,,,0,1,1,5,14.3,,(未)
3,,5,,,,,アクロスメモリア,,牝,3,*,武豊,55,,8.5,468,- 8,0,0,2,2,0.0,,,,,,0,0,2,2,0.0,0,0,1,1,0.0,0,0,1,1,0.0,0,0,1,1,0.0,0,0,1,2,0.0,,1.13.5
3,,6,,,,,ジョアンズベスト,,牝,3,,木幡巧也,55,,271.6,414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
4,,7,,,,,ドラリズム,,牡,3,*,武藤雅,57,,53.1,480,- 2,0,0,0,2,0.0,,,,,,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,1.14.4
4,,8,,,,,シュヴァルツシルト,,牡,3,,津村明秀,57,,3.2,472,- 2,0,0,2,1,0.0,0,0,0,1,0.0,0,0,2,1,0.0,,,,,,,,,,,,,,,,0,0,1,1,0.0,,(未)
5,,9,,,,,ノアシルヴィ,,牝,3,*,石田拓郎,52,▲,393.6,452,- 4,0,0,0,3,0.0,,,,,,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,2,0.0,,1.13.6
5,,10,,,,,ココロノヒコボシ,,牡,3,,舟山瑠泉,54,▲,68.9,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
6,,11,,,,,リオンアンサー,,牝,3,,柴田善臣,55,,283.7,418,-10,0,0,0,6,0.0,0,0,0,2,0.0,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,5,0.0,,1.14.3
6,,12,,,,,リトルコリンズ,,牡,3,,石橋脩,57,,180.3,420,+ 2,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,1.15.9
7,,13,,,,,エコロセレナ,,牝,3,,岩田康誠,55,,12.8,460,- 6,0,0,0,4,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,0,0,0,3,0.0,,(未)
7,,14,,,,,トヨサカエ,,牡,3,,吉田豊,57,,1.6,470,  0,0,1,1,0,50.0,0,1,1,0,50.0,0,1,1,0,50.0,0,0,1,0,0.0,0,0,1,0,0.0,0,0,1,0,0.0,0,1,1,0,50.0,,1.13.2
8,,15,,,,,ピクシーゲイル,,牡,3,,木幡育也,57,,310.9,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
8,,16,,,,,ラインカシウス,,牝,3,*,小林美駒,52,▲,140.8,406,- 4,0,0,0,6,0.0,,,,,,0,0,0,4,0.0,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,1,0.0,0,0,0,5,0.0,,1.14.0
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020305,2026.3.7,土,中山,2中3,5,,未勝利,芝,2200,A,4,稍,晴,18,12:25,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,替,騎手,斤量,減M, 単勝,馬体重,増減,中央平地全:1着,中央平地全:2着,中央平地全:3着,中央平地全:外,中央平地全:連対率,同騎手:1着,同騎手:2着,同騎手:3着,同騎手:外,同騎手:連対率,全芝:1着,全芝:2着,全芝:3着,全芝:外,全芝:連対率,芝2200m:1着,芝2200m:2着,芝2200m:3着,芝2200m:外,芝2200m:連対率,中山・芝:1着,中山・芝:2着,中山・芝:3着,中山・芝:外,中山・芝:連対率,同コース:1着,同コース:2着,同コース:3着,同コース:外,同コース:連対率,同クラス:1着,同クラス:2着,同クラス:3着,同クラス:外,同クラス:連対率,穴傾向,BESTﾀｲﾑ
1,,1,,,,,ニシノカーロ,,牡,3,*,原田和真,57,,293.2,472,- 4,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,(未)
1,,2,,,,,ニシノヒノトリ,,牡,3,*,津村明秀,57,,8.0,480,  0,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,2,0.0,,2.14.1
2,,3,,,,,レディトゥランブル,,牡,3,*,岩田康誠,57,,271.1,556,+ 8,0,0,0,3,0.0,,,,,,0,0,0,2,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,0,2,0.0,,(未)
2,,4,,,,,アニゴザントス,,牝,3,*,長浜鴻緒,53,△,248.5,436,  0,0,0,0,2,0.0,,,,,,0,0,0,2,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,(未)
3,,5,,,,,キンググローリー,,牡,3,*,丹内祐次,57,,15.8,470,- 4,0,0,0,5,0.0,,,,,,0,0,0,5,0.0,0,0,0,1,0.0,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,4,0.0,,2.13.2
3,,6,,,,,クリスタルドレス,,牝,3,*,江田照男,55,,446.5,416,-10,0,0,0,3,0.0,,,,,,0,0,0,3,0.0,,,,,,0,0,0,2,0.0,,,,,,0,0,0,2,0.0,,(未)
4,,7,,,,,サクラピアチェーレ,,セ,3,*,菊沢一樹,57,,278.3,496,+ 4,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
4,,8,,,,,ヤマメナイト,,牡,3,*,吉田豊,57,,153.2,472,- 2,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,1,0.0,,,,,,,,,,,,,,,,0,0,0,1,0.0,,(未)
5,,9,,,,,アイスアイスベイビ,,牡,3,,石川裕紀,57,,41.2,470,  0,0,0,0,3,0.0,0,0,0,1,0.0,0,0,0,3,0.0,,,,,,,,,,,,,,,,0,0,0,2,0.0,,(未)
5,,10,,,,,ウインターブレス,,牡,3,,原優介,57,,6.7,496,- 4,0,0,1,5,0.0,0,0,1,1,0.0,0,0,1,2,0.0,,,,,,0,0,1,0,0.0,,,,,,0,0,1,4,0.0,,(未)
6,,11,,,,,ミサダメキメル,,牡,3,,遠藤汰月,54,▲,266.0,454,- 2,0,0,0,3,0.0,0,0,0,3,0.0,0,0,0,3,0.0,,,,,,,,,,,,,,,,0,0,0,2,0.0,,(未)
6,B,12,,,,,ウィロークリーク,,牡,3,*,ルメール,57,,2.0,476,-12,0,2,0,2,50.0,,,,,,0,2,0,2,50.0,0,0,0,1,0.0,0,1,0,2,33.3,0,0,0,1,0.0,0,2,0,1,66.7,,2.12.5
7,,13,,,,,バッカステソーロ,,牡,3,,大野拓弥,57,,57.1,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(未)
7,,14,,,,,ラクシオンデクラ,,牡,3,,舟山瑠泉,54,▲,164.0,436,- 2,0,0,0,2,0.0,0,0,0,1,0.0,0,0,0,2,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,(未)
7,B,15,,,,,ローレルエース,,牡,3,*,佐藤翔馬,54,▲,410.2,468,+10,0,0,0,1,0.0,,,,,,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,(未)
8,,16,,,,,ブリサマリーナ,,牝,3,*,田辺裕信,55,,52.9,460,- 6,0,0,1,4,0.0,,,,,,0,0,1,4,0.0,,,,,,0,0,1,1,0.0,,,,,,0,0,1,3,0.0,,(未)
8,,17,,,,,ベルトラッキ,,牡,3,,戸崎圭太,57,,3.0,472,  0,0,2,1,0,66.7,0,0,1,0,0.0,0,2,1,0,66.7,0,1,0,0,100.0,0,1,0,0,100.0,0,1,0,0,100.0,0,1,1,0,50.0,,2.12.2
8,,18,,,,,ラスターヴァース,,牝,3,,木幡巧也,55,,81.7,470,- 2,0,0,0,5,0.0,0,0,0,5,0.0,0,0,0,4,0.0,,,,,,0,0,0,1,0.0,,,,,,0,0,0,4,0.0,,(未)
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020306,2026.3.7,土,中山,2中3,6,,未勝利,芝,2000,A,4,稍,晴,18,12:55,牝,馬齢,３歳
