レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011001,2026.7.12,日,函館,1函A,1,,未勝利,ダート,1000,,2,重(暫定),曇(暫定),12,09:50,,馬齢,３歳
2,,4,,,,,ビップジョワ,,牝,3,2,6,28,函館,T,2000,良,16,15,未勝利,40.6,後方,2,6,14,函館,T,2000,良,11,10,未勝利,38.1,逃げ,5,5,9,新潟,T,2000,良,7,7,未勝利,37.0,逃げ,2,4,25,東京,T,1800,良,4,5,未勝利・牝,34.9,先行,8,3,1,中山,T,1600,良,6,6,未勝利,34.8,中団,3
3,,5,,,,,ドラリズム,,牡,3,4,6,14,東京,T,1400,良,13,7,未勝利,34.2,中団,4,5,16,新潟,T,1600,良,3,4,未勝利,34.6,先行,4,4,18,中山,T,1600,良,4,8,未勝利,34.0,追込,3,3,28,中京,D,1400,稍,10,6,未勝利,39.2,中団,3,3,7,中山,D,1200,重,3,6,未勝利,37.3,先行,6
3,,6,,,,,ハナイロマヒナ,,牝,3,2,6,28,函館,D,1000,稍,7,6,未勝利,36.0,後方,2,6,13,函館,T,1200,稍,7,9,未勝利,35.4,先行,19,1,31,小倉,T,1200,良,13,5,未勝利・若,35.3,中団,7,12,13,阪神,T,1200,良,5,2,未勝利*,34.9,中団,3,11,22,京都,T,1200,良,4,9,未勝利*,34.3,差し,10
4,,7,,,,,フォークスアップ,,牡,3,2,6,27,函館,T,1200,重,7,16,未勝利,34.2,後方,9,4,26,福島,T,1200,良,14,13,未勝利,34.6,後方,9,2,21,東京,T,1600,良,10,15,未勝利,35.0,中団,14,11,16,東京,D,1400,良,15,14,未勝利*,38.4,後方,2,11,2,東京,D,1400,重,12,12,未勝利*,38.0,中団,8
4,,8,,,,,フォルストランキル,,牝,3,3,6,21,阪神,T,1600,稍,15,2,未勝利・牝,37.9,先行,11,4,4,阪神,T,1800,良,6,3,未勝利,34.4,先行,3,3,15,中京,T,1600,良,2,6,未勝利・牝,34.0,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ワイドアルバ,,牡,3,3,6,21,函館,D,1000,良,10,8,未勝利,37.1,中団,連,6,13,函館,D,1000,稍,9,8,未勝利,35.1,後方,8,4,18,福島,D,1150,良,6,7,未勝利,37.8,先行,10,2,7,小倉,D,1000,良,6,5,未勝利,36.2,後方,5,1,4,京都,D,1200,良,12,11,未勝利,38.4,先行,6
5,,10,,,,,ネオシューマン,,セ,3,10,5,3,東京,D,1400,稍,14,7,未勝利,40.5,先行,3,4,11,中山,D,1800,重,11,7,未勝利,41.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ソルトバーン,,牝,3,3,6,20,函館,D,1700,良,11,14,未勝利・牝,40.4,中団,16,2,28,中山,D,1800,重,10,10,未勝利,42.8,中団,2,2,14,東京,T,1800,良,12,13,未勝利・牝,35.0,中団,11,11,30,東京,T,2000,良,13,11,未勝利*,37.7,逃げ,3,11,8,福島,T,1800,良,7,16,未勝利*,36.3,中団,13
6,,12,,,,,マティンデ,,牝,3,3,6,21,阪神,T,1400,稍,6,5,未勝利,36.2,先行,17,2,21,小倉,T,1200,良,16,5,未勝利・牝,35.6,後方,16,11,1,京都,T,1200,稍,3,3,未勝利*,34.1,差し,3,10,11,京都,T,1400,良,6,9,新馬・牝,34.5,中団,初,,,,,,,,,,,,
7,,13,,,,,ハネマン,,牝,3,11,4,25,東京,T,1400,良,8,14,未勝利,34.4,中団,11,2,8,小倉,T,1200,良,6,15,かささぎ･1勝,34.7,後方,連,2,1,小倉,T,1200,良,18,9,未勝利,36.6,中団,10,11,24,福島,T,1200,良,14,11,未勝利*,34.5,後方,2,11,9,福島,T,1200,良,4,9,未勝利*,34.9,追込,10
7,,14,,,,,ルージュフィーリア,,牝,3,連,7,4,函館,T,1200,良,2,4,未勝利,34.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ノーブルマドンナ,,牝,3,3,6,21,函館,T,1200,良,12,15,未勝利・牝,35.6,後方,14,3,15,阪神,D,1200,良,14,12,未勝利,39.0,中団,4,2,14,小倉,T,1200,良,10,13,未勝利,35.8,後方,連,2,8,小倉,T,1200,良,5,14,未勝利・牝,34.9,中団,8,12,14,阪神,T,1400,稍,8,9,新馬,36.4,先行,初
8,B,16,,,,,ルーチェコメット,,牝,3,連,7,5,函館,T,1200,良,7,8,未勝利・牝,34.5,後方,10,4,26,福島,T,1200,良,6,15,未勝利・牝,34.0,中団,13,1,25,京都,T,1600,良,15,12,新馬,36.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011007,2026.7.12,日,函館,1函A,7,,1勝,ダート,1700,,4,重(暫定),曇(暫定),14,13:10,牝,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,バシリス,,牝,4,6,5,30,京都,D,1800,良,4,5,１勝ｸﾗｽ,37.9,逃げ,2,5,17,新潟,D,1200,良,10,3,１勝ｸﾗｽ,38.7,中団,2,5,2,京都,D,1800,稍,7,3,１勝ｸﾗｽ・牝,38.2,逃げ,4,4,4,阪神,D,1800,稍,6,4,１勝ｸﾗｽ,39.7,逃げ,2,3,21,阪神,D,1800,良,2,2,１勝ｸﾗｽ・牝,38.3,逃げ,2
2,B,2,,,,,デルマサクラサク,,牝,4,7,5,23,京都,D,1800,稍,8,2,１勝ｸﾗｽ,36.6,後方,3,5,2,京都,D,1800,稍,3,4,１勝ｸﾗｽ・牝,36.0,差し,3,4,11,阪神,D,1800,重,3,4,１勝ｸﾗｽ・牝,36.6,差し,9,2,10,京都,D,1800,良,2,6,１勝ｸﾗｽ・牝,36.8,ﾏｸﾘ,連,1,31,小倉,D,1700,良,8,13,１勝ｸﾗｽ,37.4,後方,8
3,,3,,,,,ウィンターガーデン,,牝,5,2,6,28,函館,D,1700,稍,7,7,１勝ｸﾗｽ・牝,38.0,中団,11,4,11,阪神,D,1800,重,7,6,１勝ｸﾗｽ・牝,38.1,先行,3,3,21,阪神,D,1800,良,3,4,１勝ｸﾗｽ・牝,38.2,差し,6,2,8,小倉,D,1700,良,12,6,１勝ｸﾗｽ・牝,38.4,後方,11,11,22,京都,D,1800,良,10,9,１勝ｸﾗｽ・牝,37.7,後方,10
4,,4,,,,,リピース,,牝,3,27,1,5,京都,D,1800,良,11,10,１勝ｸﾗｽ*,40.6,逃げ,9,11,2,京都,D,1800,稍,16,16,もちの木･1勝,40.7,後方,8,9,6,札幌,D,1700,良,1,1,未勝利*,38.4,逃げ,2,8,24,札幌,D,1700,良,2,11,未勝利*,39.1,先行,3,8,2,札幌,T,1500,良,10,9,新馬,34.9,後方,初
5,,5,,,,,マリブサーフ,,牝,3,2,6,27,函館,D,1000,不,1,1,未勝利・牝,35.0,逃げ,8,5,2,新潟,D,1200,不,4,1,未勝利・若,38.7,先行,4,4,5,阪神,D,1400,重,3,3,未勝利・牝,37.3,逃げ,3,3,15,阪神,D,1400,良,2,7,未勝利・牝,38.0,先行,5,2,7,京都,D,1400,良,6,5,未勝利,37.6,中団,初
6,,6,,,,,サウンドルーチェ,,牝,4,2,6,28,函館,D,1700,稍,8,6,１勝ｸﾗｽ・牝,37.4,後方,15,3,15,中京,D,1400,良,8,7,１勝ｸﾗｽ・牝,37.6,先行,2,3,1,小倉,D,1700,稍,3,3,１勝ｸﾗｽ・牝,39.2,先行,4,2,1,小倉,D,1700,良,9,3,１勝ｸﾗｽ・牝,39.1,逃げ,7,12,13,中京,D,1800,良,13,3,１勝ｸﾗｽ・牝,38.8,中団,4
7,,7,,,,,アリストクラシア,,牝,5,2,6,28,函館,D,1700,稍,5,1,１勝ｸﾗｽ・牝,37.5,中団,8,5,2,京都,D,1800,稍,4,6,１勝ｸﾗｽ・牝,36.2,差し,3,4,11,阪神,D,1800,重,4,3,１勝ｸﾗｽ・牝,37.2,差し,9,2,10,京都,D,1800,良,3,4,１勝ｸﾗｽ・牝,37.5,先行,4,1,12,京都,D,1800,良,2,2,１勝ｸﾗｽ・牝,37.3,先行,9
8,,8,,,,,コイタマチャン,,牝,3,3,6,20,函館,D,1700,良,1,2,未勝利・牝,38.7,先行,7,5,3,京都,D,1800,稍,2,3,未勝利・牝,39.0,逃げ,2,4,18,阪神,D,1800,良,2,3,未勝利・牝,37.9,逃げ,2,4,4,阪神,D,1800,稍,3,6,未勝利・牝,37.9,逃げ,3,3,14,阪神,D,1800,良,2,4,未勝利・牝,39.1,先行,2
8,,9,,,,,ヒミノエトワール,,牝,4,2,6,28,函館,D,1700,稍,4,2,１勝ｸﾗｽ・牝,37.5,ﾏｸﾘ,7,5,9,京都,D,1400,良,7,2,１勝ｸﾗｽ・牝,37.5,中団,6,3,28,阪神,D,1400,良,9,1,１勝ｸﾗｽ・牝,38.3,後方,2,3,15,中京,D,1400,良,3,1,１勝ｸﾗｽ・牝,36.4,差し,14,12,7,中京,D,1400,良,4,1,１勝ｸﾗｽ・牝,37.6,先行,9
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011008,2026.7.12,日,函館,1函A,8,,1勝,ダート,2400,,6,重(暫定),曇(暫定),12,13:40,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,ブレイクザアイス,,セ,7,9,5,9,東京,D,2100,良,6,10,１勝ｸﾗｽ,38.5,中団,3,4,18,中山,D,2400,良,6,13,１勝ｸﾗｽ,39.7,後方,4,3,21,中山,D,2400,良,8,10,１勝ｸﾗｽ,39.7,中団,11,1,5,中山,D,2400,稍,4,9,１勝ｸﾗｽ,41.4,先行,2,12,21,中京,D,1800,稍,9,12,１勝ｸﾗｽ,38.6,中団,4
2,,2,,,,,シャローファースト,,牡,3,7,5,24,京都,D,1900,良,7,3,１勝ｸﾗｽ*,39.7,先行,3,5,2,京都,D,1900,稍,5,12,ユニコーG3,37.9,先行,7,3,15,阪神,T,2400,良,7,7,ゆきやな･1勝,36.9,逃げ,2,3,1,阪神,D,2000,良,1,7,未勝利,38.4,逃げ,7,1,10,京都,D,1900,良,6,6,未勝利,38.3,先行,3
3,,3,,,,,シドニーホバート,,牡,4,9,5,9,東京,D,2100,良,11,4,１勝ｸﾗｽ,41.2,逃げ,9,3,8,阪神,D,2000,良,8,4,１勝ｸﾗｽ,41.2,逃げ,3,2,15,小倉,D,2400,稍,9,4,１勝ｸﾗｽ,40.8,逃げ,3,1,24,小倉,D,2400,良,3,3,１勝ｸﾗｽ,38.3,逃げ,10,11,15,福島,D,2400,良,9,4,１勝ｸﾗｽ,41.4,中団,2
4,B,4,,,,,ディースプレマシー,,牡,4,3,6,21,函館,D,1700,良,7,9,１勝ｸﾗｽ,37.1,中団,連,6,13,函館,D,1700,稍,4,11,１勝ｸﾗｽ,38.8,差し,9,4,11,中山,D,1800,稍,10,9,１勝ｸﾗｽ,38.4,後方,2,3,29,中山,D,1800,稍,7,5,１勝ｸﾗｽ,39.5,中団,3,3,7,中山,D,1800,重,2,10,１勝ｸﾗｽ,38.8,先行,3
5,B,5,,,,,シーリュウシー,,牡,5,6,5,30,京都,D,1800,良,2,11,１勝ｸﾗｽ,36.8,差し,連,5,23,京都,D,1800,稍,10,11,１勝ｸﾗｽ,37.6,後方,11,3,8,阪神,D,2000,良,4,7,１勝ｸﾗｽ,39.1,追込,連,2,28,小倉,T,2600,稍,16,13,脊振山特･1勝,38.9,後方,2,2,15,小倉,D,2400,稍,7,8,１勝ｸﾗｽ,39.4,中団,13
6,B,6,,,,,カージオイド,,牡,4,3,6,20,函館,D,1700,良,9,8,１勝ｸﾗｽ,39.5,先行,12,3,29,中山,D,1800,稍,9,6,１勝ｸﾗｽ,40.1,中団,3,3,7,中山,D,1800,重,7,6,１勝ｸﾗｽ,40.4,逃げ,3,2,14,東京,D,2100,良,7,8,１勝ｸﾗｽ,38.2,逃げ,2,1,31,東京,D,2100,良,15,1,１勝ｸﾗｽ,40.1,先行,4
6,,7,,,,,ステイアンビシャス,,牡,4,12,4,18,中山,D,2400,良,10,5,１勝ｸﾗｽ,40.5,後方,3,3,31,船橋,D,1800,重,4,2,フレン,----,追込,12,1,5,中山,D,2400,稍,3,4,１勝ｸﾗｽ,40.4,ﾏｸﾘ,3,12,14,中山,D,2500,稍,4,9,１勝ｸﾗｽ,40.0,差し,7,10,25,新潟,D,1800,良,7,6,１勝ｸﾗｽ,38.3,後方,5
7,,8,,,,,ミスターエメラルド,,牡,3,7,5,24,京都,D,1900,良,15,8,１勝ｸﾗｽ*,41.6,先行,8,3,29,阪神,D,2000,良,1,1,未勝利,38.3,逃げ,2,3,14,中京,D,1900,良,2,1,未勝利,37.9,逃げ,9,1,11,京都,D,1800,良,7,4,未勝利,39.2,中団,3,12,20,阪神,D,1800,良,3,8,新馬,37.4,ﾏｸﾘ,初
7,,9,,,,,ダイシンレアレア,,牡,4,12,4,18,中山,D,2400,良,3,3,１勝ｸﾗｽ,40.4,先行,4,3,21,中山,D,2400,良,7,2,１勝ｸﾗｽ,39.4,中団,5,2,15,小倉,D,2400,稍,2,10,１勝ｸﾗｽ,38.0,ﾏｸﾘ,4,1,18,京都,D,1900,良,7,6,１勝ｸﾗｽ,38.3,中団,10,11,9,福島,D,1700,良,10,4,１勝ｸﾗｽ・若,40.0,中団,3
8,,10,,,,,ハイドパーク,,牡,3,3,6,21,函館,D,2400,良,1,4,未勝利,40.5,先行,6,5,10,京都,D,1900,良,6,2,未勝利,38.7,先行,7,3,21,阪神,D,2000,稍,5,5,未勝利,37.7,中団,2,3,7,阪神,D,2000,稍,3,6,未勝利,38.5,追込,6,1,25,京都,D,1900,良,6,13,未勝利,38.2,後方,2
8,B,11,,,,,サトノリアン,,牡,5,15,3,29,中山,D,1800,稍,5,11,１勝ｸﾗｽ,38.0,後方,20,11,9,福島,S,2750,良,9,8,障害未勝利,13.7,後方,7,9,20,中山,D,2400,重,7,7,１勝ｸﾗｽ,38.3,後方,27,3,16,中山,D,2400,不,8,13,１勝ｸﾗｽ,39.7,後方,3,2,23,小倉,D,2400,良,5,11,１勝ｸﾗｽ,38.0,後方,2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011009,2026.7.12,日,函館,1函A,9,北海Ｈ,2勝,芝,1800,B,4,稍(暫定),曇(暫定),14,14:10,,ﾊﾝﾃﾞ,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,マイネルフーガ,,牡,4,13,4,12,中山,T,1800,良,8,3,２勝ｸﾗｽ,34.3,後方,2,3,28,中山,T,2000,稍,2,4,２勝ｸﾗｽ,35.1,先行,4,2,28,小倉,T,2000,稍,9,6,別府特別･2勝,37.0,中団,5,1,24,中山,T,1800,良,5,6,東雲賞･2勝,33.6,後方,5,12,21,中山,T,1600,重,9,7,２勝ｸﾗｽ,35.7,後方,5
2,,2,,,,,ジャズ,,牡,5,7,5,24,京都,T,1800,良,4,4,聖護院特･2勝,33.9,差し,14,2,14,東京,D,1600,良,15,5,２勝ｸﾗｽ,38.5,中団,4,1,17,京都,T,1600,良,4,3,２勝ｸﾗｽ,34.1,差し,8,11,23,京都,T,1600,良,5,4,花見小Ｈ･2勝,33.6,後方,4,10,26,新潟,T,1600,稍,1,4,柏崎特別･1勝,34.9,先行,21
3,,3,,,,,バルティカ,,牡,4,2,6,27,函館,T,2000,稍,3,4,洞爺湖特･2勝,35.3,先行,17,2,28,小倉,T,2000,稍,15,9,別府特別･2勝,40.3,中団,3,2,7,京都,T,2000,良,3,3,２勝ｸﾗｽ,35.4,先行,14,11,1,京都,T,2000,良,6,5,北野特別･2勝,34.8,先行,4,10,4,京都,T,2000,重,5,10,２勝ｸﾗｽ,35.3,中団,4
3,,4,,,,,ウィルサヴァイブ,,牝,4,2,6,27,函館,T,2000,稍,4,2,洞爺湖特･2勝,35.7,逃げ,6,5,16,東京,T,1800,良,6,3,調布特別･2勝,33.1,中団,13,2,15,小倉,T,2000,稍,4,1,太宰府特･2勝,36.6,逃げ,3,1,25,京都,T,2000,良,2,3,２勝ｸﾗｽ・牝,35.2,先行,3,1,5,京都,T,1800,良,11,4,逢坂山特･2勝,37.3,先行,3
4,,5,,,,,テルヒコウ,,牡,3,11,4,25,東京,T,2400,良,14,6,青葉賞G2,37.1,逃げ,4,3,29,中京,T,2200,良,1,4,大寒桜賞･1勝,34.6,逃げ,2,3,15,中山,T,1800,良,14,9,スプリンG2,37.0,中団,16,11,24,東京,T,1800,良,4,7,東京スポG2,33.9,逃げ,4,10,26,京都,T,1800,稍,1,3,新馬,33.7,逃げ,初
4,,6,,,,,ロードマンハイム,,セ,6,2,6,27,函館,T,2000,稍,5,5,洞爺湖特･2勝,35.4,先行,2,6,13,函館,T,1800,稍,6,10,松前特別･2勝,35.1,ﾏｸﾘ,9,4,12,中山,T,1800,良,7,6,２勝ｸﾗｽ,34.0,中団,33,8,24,札幌,T,1800,良,6,2,WASJ第４･2勝,35.5,中団,3,8,2,札幌,T,1800,良,2,6,釧路湿原･2勝,34.6,差し,2
5,,7,,,,,エリム,,牝,6,4,6,13,函館,T,1800,稍,15,14,松前特別･2勝,35.5,後方,8,4,19,中山,T,2000,良,7,12,野島崎特･2勝,34.7,後方,4,3,21,中山,T,1800,良,7,13,館山特Ｈ･2勝,33.8,後方,17,11,24,福島,T,1800,良,14,13,五色沼特･2勝,34.8,中団,2,11,9,福島,T,1800,良,1,7,二本松特･1勝,34.9,差し,9
5,,8,,,,,サタデーサンライズ,,牝,4,4,6,13,函館,T,1800,稍,8,3,松前特別･2勝,36.8,逃げ,17,2,15,京都,T,1800,良,4,2,春日特別･2勝,34.3,先行,7,12,27,阪神,T,1800,良,1,1,１勝ｸﾗｽ,33.8,先行,13,9,28,阪神,T,1800,良,2,5,１勝ｸﾗｽ,34.4,差し,3,9,7,中山,T,2000,良,6,12,紫苑ＳG2,33.3,後方,7
6,,9,,,,,エーデル,,牝,5,2,6,28,福島,T,2000,良,13,10,松島特別･2勝,35.4,後方,7,5,9,東京,T,2000,良,5,5,２勝ｸﾗｽ,34.4,中団,2,4,25,東京,D,1600,稍,10,10,２勝ｸﾗｽ,36.4,後方,9,2,22,東京,D,1400,良,9,10,大島特別･2勝,35.7,後方,6,1,10,中山,D,1800,良,8,8,２勝ｸﾗｽ,37.9,後方,3
6,,10,,,,,コッツォリーノ,,牡,3,3,6,21,函館,T,1800,良,1,1,１勝ｸﾗｽ,34.9,差し,10,4,11,中山,T,2000,良,2,1,山藤賞･1勝*,35.0,先行,2,3,28,中山,T,1800,稍,2,1,１勝ｸﾗｽ*,34.4,先行,18,11,24,東京,T,1800,良,10,8,東京スポG2,33.0,後方,8,9,28,中山,T,2000,良,1,1,未勝利*,33.9,逃げ,3
7,,11,,,,,レイヤードレッド,,牡,4,2,6,27,函館,T,2000,稍,7,6,洞爺湖特･2勝,35.6,中団,2,6,13,函館,T,1800,稍,7,9,松前特別･2勝,34.6,中団,11,3,28,中山,T,2000,稍,4,8,２勝ｸﾗｽ,35.0,差し,4,3,1,中山,T,2000,良,4,10,富里特別･2勝,34.6,差し,5,1,24,中山,T,1800,良,8,8,東雲賞･2勝,34.2,先行,3
7,,12,,,,,フォルテフィオーレ,,牡,5,4,6,13,函館,T,1800,稍,5,7,松前特別･2勝,34.1,後方,9,4,11,福島,T,1800,良,1,1,浄土平特･1勝,35.4,差し,6,3,1,小倉,T,2000,良,8,3,唐戸特別･1勝,35.2,後方,連,2,22,小倉,T,1800,良,2,2,高千穂特･1勝,34.9,差し,2,2,8,小倉,T,1800,良,3,2,１勝ｸﾗｽ・若,35.7,差し,連
8,,13,,,,,フナデ,,牡,5,15,3,28,中山,T,2000,稍,11,11,２勝ｸﾗｽ,35.3,後方,4,2,28,小倉,T,2000,稍,11,5,別府特別･2勝,37.3,先行,3,2,7,小倉,T,1800,稍,5,7,ＲＫＢ賞･2勝,35.1,後方,8,12,14,中山,T,1800,稍,12,7,霞ヶ浦特･2勝,37.4,ﾏｸﾘ,14,9,6,中山,T,2000,良,消,--,白井特別･2勝,----,,5
8,,14,,,,,ラブリーリディア,,牝,4,2,6,27,函館,T,2000,稍,2,8,洞爺湖特･2勝,34.8,差し,2,6,13,函館,T,1800,稍,9,12,松前特別･2勝,34.1,後方,6,5,2,新潟,T,1800,稍,14,7,胎内川特･2勝,35.2,後方,23,11,22,京都,T,2000,良,5,6,２勝ｸﾗｽ,34.4,後方,4,10,26,新潟,T,1800,稍,1,3,１勝ｸﾗｽ・牝,33.8,追込,14
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026071202011010,2026.7.12,日,函館,1函A,10,噴火湾特別,2勝,ダート,1000,,2,重(暫定),曇(暫定),12,14:45,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,カネコメブライト,,牝,3,4,6,13,阪神,D,1200,良,5,6,安芸特別･2勝,35.9,中団,11,3,29,阪神,D,1200,良,1,5,１勝ｸﾗｽ*,36.5,先行,10,1,18,京都,D,1200,良,7,7,１勝ｸﾗｽ*,37.4,先行,5,12,14,阪神,D,1200,良,3,5,１勝ｸﾗｽ*,36.4,先行,4,11,16,京都,D,1200,良,1,4,未勝利*,37.2,先行,3
2,B,2,,,,,サンディブロンド,,牝,5,13,4,12,福島,D,1150,良,14,16,喜多方特･2勝,38.9,中団,13,1,11,中山,D,1200,良,16,15,２勝ｸﾗｽ,41.4,先行,12,10,18,新潟,D,1200,良,6,8,妙高特別･2勝,38.0,先行,9,8,17,札幌,D,1000,稍,5,9,大通公園･2勝,36.3,先行,5,7,13,函館,D,1000,良,8,7,噴火湾特･2勝,36.4,先行,10
3,,3,,,,,デアプリームス,,牝,3,4,6,13,函館,D,1000,稍,1,2,１勝ｸﾗｽ,34.7,先行,14,3,8,中山,D,1200,稍,1,2,未勝利,37.7,先行,3,2,15,京都,D,1400,良,3,7,未勝利,38.9,先行,3,1,24,小倉,T,2000,良,10,9,新馬,35.0,中団,初,,,,,,,,,,,,
4,,4,,,,,エコロレバン,,牝,3,12,4,19,阪神,D,1200,良,1,5,１勝ｸﾗｽ*,37.0,逃げ,8,2,21,小倉,D,1000,良,1,2,未勝利,35.8,逃げ,4,1,24,小倉,D,1000,良,2,3,未勝利,36.7,先行,10,11,15,京都,D,1200,良,3,4,新馬,37.1,先行,初,,,,,,,,,,,,
5,,5,,,,,ヒットミー,,牝,4,4,6,14,函館,D,1000,良,1,4,１勝ｸﾗｽ・牝,34.8,差し,9,4,12,中山,D,1200,良,7,7,１勝ｸﾗｽ・牝,37.7,先行,4,3,15,中山,D,1200,良,2,9,１勝ｸﾗｽ・牝,36.9,差し,10,1,4,中山,D,1200,稍,14,6,１勝ｸﾗｽ・牝,39.2,中団,12,10,12,東京,D,1600,良,12,10,１勝ｸﾗｽ,37.8,中団,5
5,,6,,,,,クロナ,,牡,3,3,6,20,函館,D,1000,良,1,1,１勝ｸﾗｽ,35.3,先行,連,6,13,函館,D,1000,稍,1,4,未勝利,34.9,先行,8,4,19,阪神,D,1400,良,7,5,未勝利,38.6,先行,9,2,15,小倉,T,1200,稍,11,8,未勝利,36.5,先行,22,9,15,阪神,T,1600,良,7,4,新馬,34.1,先行,初
6,B,7,,,,,サベージラヴ,,牝,5,13,4,12,福島,D,1150,良,15,13,喜多方特･2勝,38.6,後方,34,8,17,札幌,D,1000,稍,4,4,大通公園･2勝,36.2,先行,5,7,13,函館,D,1000,良,4,8,噴火湾特･2勝,35.9,先行,2,6,28,函館,D,1000,稍,1,7,１勝ｸﾗｽ,35.9,逃げ,2,6,15,函館,D,1000,良,5,5,１勝ｸﾗｽ・牝,35.4,先行,19
6,,8,,,,,ビーマックス,,牡,4,13,4,11,阪神,D,1200,重,13,9,２勝ｸﾗｽ,36.8,中団,6,3,1,中山,D,1200,良,6,5,２勝ｸﾗｽ,37.2,先行,5,1,24,京都,D,1200,良,7,11,２勝ｸﾗｽ,37.0,中団,7,12,6,中京,D,1200,良,6,5,中京日経･2勝,36.9,先行,2,11,22,福島,D,1150,良,2,7,福島放送･2勝,37.0,先行,15
7,,9,,,,,マメタンク,,牡,3,2,6,27,函館,D,1000,重,1,1,１勝ｸﾗｽ,34.0,先行,7,5,9,京都,D,1200,良,2,1,１勝ｸﾗｽ*,36.2,差し,9,3,7,阪神,D,1200,稍,3,2,１勝ｸﾗｽ*,37.7,先行,2,2,22,阪神,D,1400,良,7,3,１勝ｸﾗｽ*,38.8,中団,19,10,11,京都,D,1200,良,1,1,新馬,36.4,先行,初
