レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041203010201,2026.4.12,日,福島,1福2,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
3,,4,,,,,ハルイチバン,,牡,3,16,12,20,中京,D,1200,稍,12,7,未勝利*,38.9,先行,10,10,11,京都,D,1200,良,8,3,未勝利*,37.9,後方,4,9,15,中山,D,1200,良,4,4,新馬,38.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
3,B,5,,,,,ティーエンティー,,牡,3,11,1,22,船橋,D,1600,良,3,1,ベスト,----,先行,4,12,27,中山,D,1200,稍,9,5,未勝利*,38.3,中団,3,12,6,中山,D,1200,良,5,7,新馬,38.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,イサチルシーキング,,牡,3,3,3,22,中山,D,1800,良,5,5,未勝利,41.0,先行,19,11,8,東京,T,1800,良,8,5,新馬,35.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,アリストクラット,,牝,3,9,2,7,小倉,D,1700,良,8,14,未勝利・牝,40.2,中団,2,1,25,小倉,D,1700,良,5,15,未勝利・牝,39.7,中団,2,1,12,中山,D,1800,良,9,15,未勝利・牝,40.6,中団,3,12,20,中山,D,1800,良,8,9,新馬,40.0,後方,初,,,,,,,,,,,,
5,,8,,,,,グランヘラクレス,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,アデルフィー,,牡,3,3,3,22,中京,D,1800,良,5,6,未勝利,38.0,中団,7,1,31,京都,D,1400,良,6,5,未勝利,37.5,後方,3,1,12,中山,D,1800,良,9,10,未勝利,41.5,中団,3,12,20,中山,D,1800,良,7,4,未勝利*,39.6,中団,2,12,7,中京,D,1800,良,3,4,未勝利*,38.2,差し,6
6,,10,,,,,エイシンキーンラン,,牝,3,9,2,7,東京,T,1800,良,9,10,新馬,35.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ジョーカー,,牡,3,10,2,1,小倉,D,1700,良,2,1,未勝利,38.6,先行,3,1,11,京都,D,1400,良,3,1,未勝利,38.3,先行,2,12,27,阪神,D,1400,稍,2,2,未勝利*,37.5,先行,15,9,14,阪神,T,1400,良,6,4,未勝利*,35.8,先行,2,8,31,中京,T,1600,良,4,2,新馬,35.1,差し,初
7,,12,,,,,サンライズハンター,,牡,3,12,1,17,京都,D,1800,良,7,8,未勝利,39.7,後方,3,12,28,阪神,D,1400,良,13,11,新馬,40.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ワンダーサイファー,,牡,3,12,1,18,京都,D,1800,良,12,12,未勝利,39.7,後方,12,10,26,京都,D,1800,重,16,16,新馬,41.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
