レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010501,2026.5.16,土,新潟,1新5,1,,未勝利,ダート,1800,,4,良(暫定),晴(暫定),15,10:05,,馬齢,３歳
6,,10,,,,,カモンレイル,,セ,3,9,3,14,阪神,D,1800,良,8,10,未勝利,39.8,後方,2,3,1,阪神,T,2000,良,10,11,未勝利,35.5,後方,14,11,22,京都,T,1800,良,10,9,未勝利*,38.0,後方,3,11,2,京都,T,1600,良,13,8,新馬,36.4,中団,初,,,,,,,,,,,,
6,,11,,,,,カリドーラ,,牝,3,3,4,26,東京,T,1800,良,11,6,未勝利,35.6,逃げ,7,3,8,中山,D,1800,稍,13,5,未勝利・牝,42.5,後方,2,2,22,東京,T,1800,良,4,10,未勝利,34.5,先行,10,12,14,中山,T,2000,稍,14,8,未勝利*,38.0,中団,11,9,28,中山,T,2000,良,4,6,未勝利*,34.5,先行,7
7,,12,,,,,ティブロン,,牡,3,7,3,28,中山,D,1800,重,9,6,未勝利,38.7,中団,2,3,14,中山,D,1800,良,7,10,未勝利,39.5,中団,2,2,28,小倉,T,2000,稍,10,12,未勝利,37.3,後方,4,2,1,東京,T,1800,良,11,12,未勝利,35.3,中団,9,11,29,東京,T,1800,良,6,6,未勝利*,34.6,中団,4
7,,13,,,,,ショーンバローズ,,牡,3,10,3,8,阪神,D,1800,良,12,6,未勝利,40.1,中団,2,2,21,阪神,D,1800,良,4,13,未勝利,38.0,先行,2,2,7,京都,D,1800,良,5,9,未勝利,40.7,後方,10,11,29,京都,D,1800,良,7,9,未勝利*,41.1,中団,2,11,15,京都,D,1400,良,10,8,未勝利*,38.8,中団,2
8,,14,,,,,ダノンクラウディア,,牡,3,28,11,1,東京,T,1600,稍,13,5,新馬,35.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,オオアバレ,,牡,3,3,4,25,京都,D,1800,稍,9,5,未勝利,43.1,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010502,2026.5.16,土,新潟,1新5,2,,未勝利,ダート,1200,,2,良(暫定),晴(暫定),15,10:35,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アシャカバッハ,,牡,3,9,3,14,中山,D,1200,良,13,11,未勝利,39.3,中団,8,1,17,中山,D,1200,良,14,8,未勝利,40.3,中団,29,6,28,福島,D,1150,良,5,7,新馬,38.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,メイショウボンテン,,牡,3,12,2,22,阪神,D,1200,良,14,13,未勝利,38.5,先行,2,2,7,京都,D,1400,良,13,14,未勝利,39.5,先行,2,1,25,小倉,T,1200,良,17,13,未勝利,35.0,後方,15,10,11,京都,D,1200,良,9,8,未勝利*,38.5,後方,4,9,13,阪神,T,1200,良,9,5,新馬,35.5,後方,初
2,,3,,,,,フィールマイプラン,,牡,3,3,4,25,福島,D,1150,良,5,3,未勝利,37.2,中団,5,3,21,中山,D,1200,良,6,4,未勝利,39.3,先行,3,3,1,中山,D,1200,稍,3,3,未勝利,37.7,差し,7,1,12,中山,D,1800,良,12,5,未勝利,43.8,先行,3,12,21,中山,T,1600,重,5,7,新馬,36.9,逃げ,初
3,,4,,,,,フローライト,,牝,3,14,2,7,東京,D,1300,良,8,2,未勝利,38.5,先行,8,12,13,中山,D,1200,良,3,4,未勝利・牝*,39.1,差し,2,11,29,東京,D,1400,良,6,2,新馬,38.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ヨウリンケイジュ,,牝,3,9,3,15,阪神,D,1200,良,9,10,未勝利,38.2,中団,4,2,15,京都,D,1200,良,5,2,新馬,38.8,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,B,6,,,,,ロードベルファスト,,牡,3,17,1,17,京都,D,1200,良,8,5,未勝利,38.0,中団,3,12,27,阪神,D,1200,稍,8,4,未勝利*,38.7,先行,9,10,25,京都,D,1400,良,8,13,未勝利*,41.7,先行,3,10,5,京都,D,1400,重,8,11,未勝利*,38.3,先行,2,9,20,阪神,D,1800,良,8,6,未勝利*,40.9,中団,4
4,,7,,,,,カフェプラウド,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,フェアリーキャット,,牝,3,15,2,1,東京,T,1600,良,14,16,新馬,35.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ヴェロシスタ,,牡,3,15,1,31,東京,D,1400,良,7,7,新馬,38.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,ポッポヘジュセヨ,,牝,3,12,2,22,東京,D,1400,良,15,15,新馬,39.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,キタノソブリン,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,12,,,,,ナムラロダン,,牡,3,3,4,25,京都,D,1400,稍,4,2,未勝利,38.4,先行,4,3,28,阪神,D,1200,稍,3,1,未勝利,38.3,先行,2,3,15,阪神,D,1200,良,2,1,未勝利,37.1,差し,2,3,1,阪神,D,1400,良,2,7,未勝利,39.2,先行,2,2,15,小倉,T,1200,稍,8,3,未勝利,36.3,中団,13
7,,13,,,,,ピョイットハレルヤ,,牝,3,3,4,26,東京,D,1600,稍,3,8,未勝利,37.4,先行,連,4,19,福島,T,1200,良,10,4,未勝利,34.9,中団,14,1,12,京都,D,1200,良,7,9,未勝利,37.3,後方,3,12,20,中京,D,1200,稍,4,5,未勝利*,37.2,追込,8,10,25,新潟,D,1200,良,3,12,未勝利*,38.9,先行,4
8,,14,,,,,シュヴァルツシルト,,牡,3,10,3,7,中山,D,1200,重,2,2,未勝利,37.0,逃げ,3,2,15,東京,D,1300,良,4,4,未勝利,38.1,逃げ,9,12,14,中京,D,1400,稍,3,5,未勝利*,39.8,逃げ,2,11,30,東京,D,1600,良,3,3,新馬,38.8,先行,初,,,,,,,,,,,,
8,,15,,,,,アンジュレーヌ,,牝,3,10,3,8,中山,D,1800,稍,9,4,未勝利・牝,43.0,逃げ,8,1,10,中山,D,1800,良,2,8,新馬・牝,41.3,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010503,2026.5.16,土,新潟,1新5,3,,未勝利,芝,1600,B,2,良(暫定),晴(暫定),16,11:05,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ランウェイミューズ,,牝,3,10,3,8,中山,T,1800,良,3,4,未勝利,36.5,先行,12,12,14,中山,T,1600,稍,2,2,新馬,36.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ピコパープル,,牝,3,11,2,28,中山,T,2000,良,18,18,未勝利,36.5,中団,12,12,6,中山,T,1600,良,12,12,未勝利*,33.9,後方,23,6,28,函館,T,1200,稍,16,8,新馬,37.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ショウナンバーボン,,牡,3,4,4,18,中山,T,1600,良,2,4,未勝利,35.2,逃げ,4,3,22,中京,D,1400,良,9,6,未勝利,40.0,中団,9,1,17,中山,D,1800,良,9,3,未勝利,42.6,先行,4,12,20,中山,T,1800,良,10,7,未勝利*,35.2,中団,16,8,30,札幌,T,1800,稍,3,4,未勝利*,37.6,逃げ,2
2,,4,,,,,ミセスジョーンズ,,牝,3,27,11,9,東京,T,1600,良,6,6,未勝利・牝*,34.8,先行,7,9,21,中山,T,1600,良,3,4,未勝利・牝*,35.6,先行,2,9,6,中山,T,1600,良,4,6,未勝利*,35.7,先行,2,8,24,新潟,T,1600,良,8,11,新馬・牝,33.8,後方,初,,,,,,,,,,,,
3,,5,,,,,オレンジフィールド,,牝,3,18,1,10,京都,D,1800,良,15,5,未勝利・牝,40.9,中団,3,12,21,阪神,T,1800,稍,11,10,未勝利・牝*,36.0,先行,2,12,6,阪神,T,1600,良,9,4,未勝利・牝*,34.7,中団,13,9,7,阪神,T,1600,良,4,4,未勝利*,35.0,先行,3,8,17,中京,T,1600,良,4,5,新馬,34.7,先行,初
3,,6,,,,,トリトマフロックス,,牝,3,17,1,18,中山,T,1600,良,12,14,新馬,35.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ココネ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,リアライズガイザー,,牡,3,29,10,25,京都,D,1400,良,6,1,未勝利*,40.4,先行,3,10,5,東京,D,1600,良,3,1,新馬,36.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,バンオンタイム,,牝,3,13,2,15,小倉,T,1800,稍,4,1,未勝利,35.7,先行,2,1,31,小倉,T,1800,良,3,1,未勝利,36.2,先行,6,12,21,中山,T,1800,重,2,2,未勝利・牝*,34.7,差し,6,11,9,東京,T,1800,良,2,2,未勝利*,34.5,差し,13,8,10,新潟,T,1800,稍,3,4,新馬,33.3,差し,初
5,,10,,,,,ポセイドンテソーロ,,牡,3,21,12,20,中京,D,1200,稍,14,11,未勝利*,38.5,中団,2,12,6,中山,D,1200,良,9,5,未勝利*,39.2,中団,12,9,15,中山,D,1200,良,7,5,未勝利*,40.3,先行,12,6,21,東京,D,1400,良,11,6,新馬,39.0,中団,初,,,,,,,,,,,,
6,,11,,,,,ドラリズム,,牡,3,4,4,18,中山,T,1600,良,4,8,未勝利,34.0,追込,3,3,28,中京,D,1400,稍,10,6,未勝利,39.2,中団,3,3,7,中山,D,1200,重,3,6,未勝利,37.3,先行,6,1,25,中山,D,1200,良,6,8,未勝利,39.6,中団,8,11,30,東京,D,1600,良,8,5,新馬,39.8,先行,初
6,,12,,,,,イルミナジーティー,,牝,3,2,5,3,東京,T,1800,良,4,5,未勝利,34.2,差し,10,2,22,小倉,T,2000,良,7,3,未勝利,37.0,中団,3,1,31,小倉,T,2000,良,5,2,未勝利・牝,36.1,先行,16,10,11,京都,T,1800,良,3,1,未勝利*,34.1,追込,3,9,21,阪神,T,1800,良,3,4,新馬,33.6,追込,初
7,,13,,,,,イーリスアスター,,牝,3,12,2,22,小倉,T,1200,良,16,18,未勝利,35.5,後方,8,12,28,中山,T,1200,良,11,9,未勝利*,35.4,中団,14,9,21,中山,D,1200,稍,13,3,未勝利*,40.2,後方,2,9,6,中山,T,1200,良,6,10,新馬,35.2,先行,初,,,,,,,,,,,,
7,,14,,,,,ミラキュラスアース,,牝,3,2,5,2,京都,T,1600,稍,4,2,未勝利・牝,34.0,差し,12,2,7,京都,T,1600,良,4,3,未勝利・牝,35.8,先行,7,12,21,阪神,T,1200,重,2,4,新馬,33.7,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ネッカーズルム,,牡,3,12,2,21,東京,D,1600,良,13,6,未勝利,40.5,中団,12,11,29,東京,T,1800,良,8,1,未勝利*,35.0,先行,3,11,9,東京,T,1800,良,4,6,未勝利*,35.2,差し,4,10,13,東京,T,1800,良,7,10,新馬,35.0,先行,初,,,,,,,,,,,,
8,,16,,,,,イーサンミラー,,牡,3,4,4,18,福島,T,1800,良,4,5,未勝利・若,34.8,差し,3,3,28,中京,T,1600,良,2,9,未勝利,34.4,先行,11,1,11,中山,T,2200,良,12,5,未勝利,37.3,先行,3,12,20,中山,T,2000,良,4,16,新馬,35.4,差し,初,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010504,2026.5.16,土,新潟,1新5,4,,未勝利,ダート,1800,,4,良(暫定),晴(暫定),15,11:35,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,リュウゴピュア,,牡,3,2,5,3,新潟,D,1800,稍,7,13,未勝利,40.7,中団,18,12,28,中山,D,1800,良,10,5,新馬,41.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,コーディアリティ,,牡,3,2,5,2,東京,D,1600,重,9,5,未勝利,37.6,後方,2,4,19,福島,T,2000,良,13,14,未勝利,37.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,3,,,,,タマモブレイキン,,牡,3,2,5,3,東京,D,1600,稍,7,9,未勝利,38.1,後方,7,3,14,中山,D,1800,良,10,8,未勝利,41.3,中団,4,2,15,東京,D,1600,良,12,3,新馬,39.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ゼランテ,,牡,3,3,4,26,京都,D,1800,良,4,4,未勝利,38.8,先行,4,3,28,阪神,T,1600,良,9,10,未勝利,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,B,5,,,,,アンデルストープ,,牝,3,3,4,26,福島,T,1200,良,11,12,未勝利,34.9,後方,13,1,25,中山,D,1800,良,7,11,未勝利・牝,41.8,中団,2,1,12,中山,D,1800,良,14,11,未勝利・牝,41.7,中団,7,11,22,福島,T,1800,良,12,13,未勝利*,36.5,中団,13,8,23,札幌,T,1500,稍,5,4,新馬,37.1,先行,初
6,,6,,,,,スナークシャラク,,牡,3,連,5,10,新潟,D,1800,良,7,13,未勝利,38.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,メイショウタイザン,,牡,3,4,4,18,福島,D,1700,良,4,3,未勝利,37.9,逃げ,9,2,18,笠松,D,1400,良,2,3,加納宿,----,先行,10,12,7,阪神,D,1400,良,7,4,未勝利*,39.0,中団,2,11,22,福島,D,1700,良,5,3,未勝利*,41.1,中団,3,11,1,京都,D,1800,重,4,10,新馬,37.6,先行,初
7,B,8,,,,,テリコス,,牡,3,2,5,2,京都,D,1800,重,13,5,未勝利,39.6,中団,14,1,24,京都,D,1800,良,6,3,新馬,38.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,,,,,ウインプライム,,牝,3,連,5,10,新潟,T,1800,良,11,15,未勝利・牝,34.6,中団,11,2,21,東京,T,1600,良,14,13,未勝利,35.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,ワンダーブリッツ,,牡,3,8,3,21,中山,D,1800,良,2,3,未勝利,39.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,11,,,,,ボールドタワー,,牡,3,2,5,3,新潟,D,1800,稍,4,4,未勝利,39.8,先行,2,4,18,福島,D,1700,良,3,2,未勝利,37.4,先行,7,3,1,小倉,D,1700,稍,5,4,未勝利,39.0,中団,連,2,21,小倉,D,1700,良,3,1,未勝利,39.4,先行,連,2,15,小倉,D,1700,稍,6,5,未勝利,38.4,中団,12
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010505,2026.5.16,土,新潟,1新5,5,,未勝利,芝,1800,B,2,良(暫定),晴(暫定),16,12:25,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アナザーフェイス,,牡,3,3,4,26,東京,T,1800,良,4,3,未勝利,33.8,差し,13,1,25,中山,T,2000,良,14,2,新馬,35.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ヴェニゼロス,,牝,3,10,3,7,中山,T,2000,稍,4,9,未勝利・牝,35.2,追込,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,スマートエラン,,牡,3,4,4,19,福島,T,2000,良,4,2,未勝利,36.2,先行,26,10,19,東京,T,1800,良,5,2,新馬,34.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,エコロゼット,,牡,3,4,4,19,福島,T,2000,良,3,13,未勝利,36.0,差し,9,2,15,東京,T,1800,良,9,11,未勝利,35.3,先行,10,12,6,中山,T,2000,良,7,11,新馬,35.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,アート,,牡,3,3,4,26,福島,T,1800,良,3,12,未勝利,34.9,差し,8,2,28,小倉,T,2000,稍,11,9,未勝利,38.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,エングルマン,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ヴァイツェン,,牝,3,11,3,1,中山,T,1600,良,15,15,未勝利,36.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,シェーネエルデ,,牝,3,27,11,8,京都,T,1800,良,7,5,新馬,35.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,トリニタリオ,,牡,3,11,2,28,小倉,T,2000,稍,5,6,未勝利,36.1,後方,2,2,14,小倉,T,2000,良,4,9,未勝利,36.2,差し,2,2,1,小倉,T,2000,良,3,8,未勝利,35.2,差し,6,12,20,中京,T,2000,稍,6,15,未勝利*,34.8,後方,3,11,30,東京,T,1800,良,11,10,新馬,34.7,後方,初
5,,10,,,,,スイートハイデン,,牝,3,9,3,14,中京,T,2000,良,9,16,未勝利,35.8,中団,6,2,1,東京,D,1600,良,14,10,未勝利・牝,39.8,中団,3,1,10,中山,D,1800,良,6,7,新馬・牝,41.2,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,コーディアリー,,牡,3,25,11,24,東京,T,2000,良,7,9,未勝利*,34.9,中団,2,11,9,東京,T,1800,良,7,11,未勝利*,35.8,先行,3,10,19,新潟,T,2000,稍,5,6,未勝利*,36.5,中団,13,7,19,福島,T,1800,良,4,7,未勝利*,37.7,先行,2,7,5,福島,T,1800,稍,4,4,未勝利*,36.5,追込,4
6,,12,,,,,リメンバーシドニー,,牝,3,8,3,21,中京,T,1400,良,7,12,未勝利,35.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,オーキーベルセルク,,牡,3,20,12,27,阪神,D,1800,稍,7,6,新馬,39.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,レッドリファインド,,牡,3,11,2,28,中山,T,2000,良,8,7,未勝利,35.8,先行,3,2,7,東京,T,1800,良,4,7,新馬,34.6,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,クールチェンジ,,牡,3,8,3,22,中山,T,1600,良,3,7,未勝利,34.9,差し,13,12,21,中山,D,1800,不,8,3,未勝利*,38.7,後方,9,10,19,東京,D,1600,良,5,5,新馬,36.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ウインファイネスト,,牡,3,8,3,22,中京,T,2000,良,11,10,未勝利,36.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051604010506,2026.5.16,土,新潟,1新5,6,,未勝利,芝,1000,B,0,良(暫定),晴(暫定),16,12:55,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
