レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060605030102,2026.6.6,土,東京,3東1,2,,未勝利,ダート,1600,,2,稍,曇,16,10:40,牝,馬齢,３歳
6,,12,,,,,スナッピードレッサ,,牡,4,6,4,26,東京,D,1400,稍,1,1,２勝ｸﾗｽ,35.5,先行,9,2,21,東京,D,1400,良,1,1,１勝ｸﾗｽ,35.1,先行,58,1,11,中山,D,1800,稍,6,2,黒竹賞･1勝*,39.8,先行,7,11,23,東京,D,1600,稍,4,1,カトレア,36.7,追込,5,10,20,東京,D,1400,良,1,4,新馬,35.4,差し,初
7,,13,,,,,シャパリュ,,セ,5,6,4,25,東京,D,1400,稍,10,8,鎌倉Ｓ･3勝,36.9,先行,21,11,30,東京,D,1400,良,1,8,アプロー･2勝,36.7,逃げ,2,11,15,東京,D,1600,良,2,6,三浦特別･2勝,36.9,先行,13,8,16,新潟,D,1800,良,6,4,瀬波温泉･2勝,37.8,先行,9,6,14,東京,D,2100,良,15,5,日野特別･2勝,40.2,中団,14
7,,14,,,,,ワンダラー,,牡,4,2,5,24,京都,D,1200,良,8,4,高瀬川Ｓ･3勝,35.9,後方,4,4,25,東京,D,1400,稍,4,5,鎌倉Ｓ･3勝,35.7,差し,2,4,11,中山,D,1200,稍,2,1,卯月Ｓ･3勝,35.6,先行,6,2,28,中山,D,1200,稍,7,1,春風ＳＨ･3勝,36.4,後方,5,1,25,中山,D,1200,良,2,3,江戸川Ｓ･3勝,37.4,先行,6
8,,15,,,,,メイショウツヨキ,,牡,4,9,4,5,阪神,T,1400,良,18,6,心斎橋Ｈ･3勝,38.0,中団,17,12,6,阪神,D,1400,良,1,10,２勝ｸﾗｽ,37.2,逃げ,5,11,1,京都,D,1800,重,12,5,２勝ｸﾗｽ,37.7,先行,4,10,4,京都,D,1800,不,6,3,２勝ｸﾗｽ,37.0,後方,4,9,6,札幌,D,1700,良,1,7,１勝ｸﾗｽ,37.6,ﾏｸﾘ,21
8,,16,,,,,シュヴァルボヌール,,牝,4,10,3,28,中山,D,1200,重,6,1,ブラッド･3勝,36.5,中団,15,12,13,中山,D,1200,良,1,1,２勝ｸﾗｽ,36.6,先行,3,11,22,福島,D,1150,良,3,1,福島放送･2勝,37.0,差し,9,9,20,中山,D,1200,重,2,1,２勝ｸﾗｽ,36.0,先行,11,7,6,福島,D,1150,良,1,1,１勝ｸﾗｽ,36.4,先行,20
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060605030112,2026.6.6,土,東京,3東1,12,,1勝,ダート,1600,,2,稍(暫定),曇(暫定),16,16:30,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ユーウェイン,,セ,4,3,5,17,新潟,D,1200,良,9,9,１勝ｸﾗｽ,38.0,後方,3,4,26,東京,D,1600,稍,11,11,１勝ｸﾗｽ,39.0,先行,2,4,11,中山,D,1800,稍,6,13,１勝ｸﾗｽ,39.0,中団,29,9,23,金沢,D,1500,良,1,1,サラ系,----,先行,2,9,8,金沢,D,1400,不,1,3,サラ系,----,逃げ,6
1,,2,,,,,ピースサイン,,牡,3,9,4,5,中山,D,1800,重,10,13,１勝ｸﾗｽ*,39.4,中団,9,1,31,東京,D,1600,良,10,9,１勝ｸﾗｽ*,37.4,後方,6,12,20,中山,T,1600,良,9,4,ひいらぎ･1勝,35.2,中団,6,11,9,東京,D,1600,稍,1,6,新馬,36.9,先行,初,,,,,,,,,,,,
2,,3,,,,,タキノボリ,,牡,4,3,5,16,東京,D,1600,良,12,9,１勝ｸﾗｽ,35.7,後方,3,4,25,福島,D,1700,良,7,9,１勝ｸﾗｽ,38.3,中団,16,1,4,中山,D,1800,稍,11,6,１勝ｸﾗｽ,41.3,中団,4,12,7,中山,D,1800,良,5,6,１勝ｸﾗｽ,37.6,中団,4,11,8,福島,D,1700,良,7,2,１勝ｸﾗｽ,38.5,中団,17
2,,4,,,,,ドルビナ,,牡,4,3,5,17,東京,T,1800,良,14,7,１勝ｸﾗｽ,33.8,後方,5,4,12,中山,T,1600,良,9,11,１勝ｸﾗｽ,34.0,後方,3,3,21,中京,T,1600,良,6,4,１勝ｸﾗｽ,34.1,中団,2,3,7,中山,T,1600,稍,8,13,１勝ｸﾗｽ,35.8,後方,3,2,14,東京,T,1600,良,8,14,１勝ｸﾗｽ,33.9,後方,20
3,,5,,,,,ファンタイムギフト,,セ,4,3,5,16,東京,D,1600,良,7,5,１勝ｸﾗｽ,36.8,中団,21,12,21,中山,D,1800,重,13,7,１勝ｸﾗｽ,38.5,先行,7,11,2,東京,D,1600,重,7,6,１勝ｸﾗｽ,37.3,中団,4,10,4,東京,D,1600,良,4,5,１勝ｸﾗｽ,37.2,先行,15,6,21,東京,D,1600,良,5,4,１勝ｸﾗｽ,35.6,後方,4
3,,6,,,,,カルフ,,セ,5,3,5,16,東京,D,1600,良,4,8,１勝ｸﾗｽ,37.6,先行,2,5,3,東京,D,1600,稍,6,6,１勝ｸﾗｽ,37.2,逃げ,3,4,11,中山,D,1800,稍,5,10,１勝ｸﾗｽ,39.0,逃げ,2,3,29,中山,D,1200,稍,13,6,１勝ｸﾗｽ,37.6,後方,15,12,14,中京,D,1400,稍,7,10,１勝ｸﾗｽ,39.0,逃げ,2
4,,7,,,,,アイファーファイト,,牡,7,3,5,17,新潟,D,1800,良,9,10,１勝ｸﾗｽ,40.3,後方,2,5,3,新潟,D,1200,稍,10,14,１勝ｸﾗｽ,36.6,後方,3,4,11,福島,D,1700,良,11,13,１勝ｸﾗｽ・若,38.6,後方,6,3,1,小倉,D,1700,稍,10,15,１勝ｸﾗｽ,38.1,後方,2,2,15,小倉,D,1700,稍,6,13,１勝ｸﾗｽ,38.4,後方,3
4,,8,,,,,ベンメリア,,セ,4,8,4,12,福島,D,1700,良,8,13,１勝ｸﾗｽ,38.8,中団,16,12,19,金沢,D,1400,重,1,1,熊本ゴ,----,逃げ,2,12,8,金沢,D,1500,重,4,7,金沢競,----,先行,2,11,23,金沢,D,1400,重,1,1,９５旅,----,先行,3,11,4,金沢,D,1500,不,1,1,サラ系,----,先行,2
5,,9,,,,,タイセイエムロード,,牡,3,9,4,5,中山,D,1800,重,9,10,１勝ｸﾗｽ*,38.9,後方,12,1,10,中山,D,1800,良,9,8,黒竹賞･1勝*,41.0,ﾏｸﾘ,4,12,13,中山,D,1800,良,1,15,新馬,39.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ザーフィル,,牡,3,6,4,25,東京,D,1600,稍,2,2,１勝ｸﾗｽ*,36.4,追込,10,2,15,東京,D,1600,良,2,3,１勝ｸﾗｽ*,36.3,差し,10,12,6,中山,T,2000,良,8,1,葉牡丹賞･1勝,36.1,先行,10,9,27,中山,T,2000,良,3,3,芙蓉Ｓ,35.0,先行,10,7,19,福島,T,1800,良,1,2,新馬,36.8,先行,初
6,,11,,,,,タイセイエキサイト,,牡,3,2,5,24,東京,D,1400,稍,9,13,１勝ｸﾗｽ*,37.9,中団,2,5,9,京都,D,1200,良,12,16,１勝ｸﾗｽ*,36.6,後方,2,4,25,東京,D,1600,稍,16,16,１勝ｸﾗｽ*,40.3,中団,5,3,22,中山,D,1200,良,12,14,１勝ｸﾗｽ*,38.3,後方,3,2,26,浦和,D,1400,不,1,4,ツイン,----,逃げ,7
6,B,12,,,,,パッカパッカブー,,セ,5,15,2,21,東京,D,1400,良,12,16,１勝ｸﾗｽ,36.6,後方,11,12,6,中京,D,1900,良,12,13,１勝ｸﾗｽ,40.0,中団,2,11,23,東京,D,2100,良,15,13,１勝ｸﾗｽ,39.3,中団,4,10,26,新潟,D,1800,稍,7,7,１勝ｸﾗｽ,39.0,後方,28,4,12,中山,D,2400,良,7,8,１勝ｸﾗｽ,39.7,中団,4
7,,13,,,,,カンレイスキー,,牡,4,3,5,16,東京,D,1600,良,14,7,１勝ｸﾗｽ,37.4,中団,2,5,3,東京,D,1600,稍,9,7,１勝ｸﾗｽ,36.5,中団,10,2,21,東京,D,1400,良,11,7,１勝ｸﾗｽ,36.6,後方,19,10,12,東京,D,1600,良,16,1,１勝ｸﾗｽ,43.0,中団,4,9,14,中山,D,1800,稍,止,1,１勝ｸﾗｽ,----,,42
7,B,14,,,,,レッドシュトラール,,セ,4,8,4,11,福島,T,1800,良,11,13,浄土平特･1勝,36.4,後方,17,12,14,中京,D,1800,稍,11,8,大須特別･1勝,43.4,中団,7,10,25,新潟,D,1800,良,12,7,１勝ｸﾗｽ,39.3,中団,12,8,2,新潟,D,1800,良,1,4,未勝利,38.6,差し,4,7,5,福島,D,1700,稍,3,3,未勝利,39.3,差し,3
8,,15,,,,,オンサイト,,牡,4,2,5,24,新潟,D,1200,稍,15,13,１勝ｸﾗｽ・若,38.2,中団,12,2,26,浦和,D,1400,不,1,1,初音特,----,先行,4,2,2,川崎,D,1500,良,2,1,モナコ,----,先行,3,1,8,浦和,D,1400,良,1,1,サラ系,----,先行,3,12,24,浦和,D,1400,稍,1,1,いちご,----,先行,15
8,,16,,,,,ザローズハーツ,,牝,4,3,5,16,東京,D,1600,良,6,4,１勝ｸﾗｽ・牝,36.7,後方,3,4,25,東京,D,1400,稍,5,12,１勝ｸﾗｽ・牝,36.7,後方,6,3,14,中山,D,1200,良,15,11,１勝ｸﾗｽ,37.5,後方,60,1,18,中京,T,1400,良,11,10,紅梅Ｓ(L),35.9,中団,10,11,9,東京,D,1600,良,1,2,未勝利・牝*,38.4,先行,4
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060609030101,2026.6.6,土,阪神,3阪1,1,,未勝利,ダート,1400,,2,良,晴,16,09:50,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,コイバナ,,牝,3,11,3,22,中京,D,1800,良,5,8,未勝利・牝,38.5,中団,2,3,7,阪神,D,1800,稍,7,5,未勝利・牝,39.0,中団,連,2,28,阪神,D,1400,良,8,8,未勝利・牝,38.4,後方,15,11,16,京都,D,1400,良,7,7,未勝利・牝*,37.9,中団,3,10,25,京都,D,1400,良,6,15,新馬・牝,38.3,中団,初
1,,2,,,,,キャスケード,,牝,3,2,5,24,新潟,D,1200,稍,5,9,未勝利・牝,38.2,中団,3,5,2,京都,D,1200,重,5,10,未勝利,36.2,中団,8,3,8,阪神,D,1200,良,6,11,未勝利,37.6,中団,4,2,10,京都,D,1400,良,14,9,未勝利・牝,41.1,後方,8,12,13,阪神,D,1400,良,8,11,未勝利・牝*,38.1,後方,22
2,,3,,,,,ヴィータリッカ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,アンティスマ,,牝,3,17,2,10,京都,D,1400,良,11,4,未勝利・牝,40.3,先行,4,1,12,京都,D,1400,良,2,10,未勝利・牝,37.9,差し,8,11,16,京都,D,1800,良,9,6,新馬,39.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ベストレイク,,牝,3,18,2,1,京都,D,1800,良,11,6,未勝利・牝,41.4,逃げ,15,10,18,東京,T,1600,良,16,9,新馬,35.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ダノンベルビュー,,牝,3,9,4,4,阪神,T,1400,良,9,4,未勝利,35.5,中団,3,3,14,阪神,T,1400,良,5,3,未勝利,34.6,中団,11,12,27,阪神,T,1600,良,5,2,未勝利*,35.5,先行,3,12,7,阪神,T,1400,良,5,4,未勝利*,34.7,中団,10,9,28,阪神,T,1400,良,2,2,新馬,35.3,先行,初
4,,7,,,,,テーオーエリーナ,,牝,3,34,10,11,京都,D,1200,良,13,14,未勝利*,39.0,後方,8,8,16,中京,T,1200,良,8,10,新馬,36.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,ルージュエテルナ,,牝,3,21,1,11,京都,D,1800,良,9,3,新馬・牝,42.1,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ボンボンブーケ,,牝,3,10,3,29,中京,D,1400,良,16,12,未勝利・牝,41.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,トリーア,,牝,3,14,2,28,阪神,D,1400,良,6,11,未勝利・牝,39.0,先行,3,2,10,京都,D,1400,良,4,11,未勝利・牝,38.3,差し,3,1,18,京都,D,1400,良,10,13,未勝利,38.7,後方,16,9,28,阪神,D,1800,良,8,4,新馬,40.2,中団,初,,,,,,,,,,,,
6,,11,,,,,アクアアイ,,牝,3,3,5,16,京都,T,1400,良,4,1,未勝利,34.2,差し,6,4,4,阪神,T,1400,良,2,1,未勝利,35.0,差し,3,3,14,阪神,T,1400,良,3,1,未勝利,34.6,先行,9,1,12,京都,T,1400,良,2,1,未勝利,35.4,差し,10,11,2,京都,T,1600,良,3,2,新馬,35.2,先行,初
6,,12,,,,,ジューンマロン,,牝,3,44,8,2,中京,T,1400,良,4,2,未勝利*,34.4,先行,8,6,8,阪神,T,1400,良,7,5,新馬,35.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ヴェルメロディ,,牝,3,9,4,4,阪神,T,1400,良,14,8,未勝利,35.7,中団,11,1,17,京都,T,2000,良,11,10,未勝利・牝,37.6,先行,4,12,21,阪神,T,1800,稍,10,6,未勝利・牝*,35.6,中団,11,10,4,東京,T,1800,良,6,5,新馬,34.5,先行,初,,,,,,,,,,,,
7,B,14,,,,,ルージュシャラポワ,,牝,3,12,3,14,阪神,D,1800,良,10,6,未勝利・牝,41.1,中団,5,2,10,京都,D,1400,良,10,6,未勝利・牝,39.6,中団,14,11,2,京都,D,1400,稍,4,3,新馬,38.4,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
8,B,15,,,,,マルベック,,牝,3,10,3,29,阪神,D,1800,良,9,1,未勝利・牝,39.3,中団,2,3,14,阪神,D,1800,良,3,1,未勝利・牝,39.2,差し,14,12,7,阪神,D,1800,良,4,1,新馬,38.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ナイトシンフォニー,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060609030102,2026.6.6,土,阪神,3阪1,2,,未勝利,ダート,1200,,2,良,晴,16,10:25,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,デルニエジョイ,,牡,3,2,5,23,京都,D,1200,稍,5,6,未勝利,36.9,中団,9,3,21,阪神,D,1400,稍,6,3,未勝利,38.1,先行,3,3,1,阪神,D,1400,良,3,6,未勝利,39.2,先行,3,2,8,小倉,D,1700,良,7,2,未勝利,40.8,中団,16,10,18,京都,D,1400,稍,7,3,未勝利*,38.8,逃げ,2
1,,2,,,,,ナムラステラ,,牝,3,5,5,3,新潟,D,1200,稍,9,6,未勝利,38.6,中団,2,4,18,阪神,D,1200,良,4,6,未勝利,37.4,差し,4,3,22,阪神,D,1200,良,6,12,未勝利,37.5,先行,4,2,21,小倉,D,1700,良,12,12,未勝利,41.5,中団,15,11,8,福島,D,1700,良,11,11,未勝利・牝*,40.0,後方,3
2,,3,,,,,シュネードリーム,,牝,3,11,3,21,阪神,D,1200,稍,6,8,未勝利,37.2,後方,3,2,28,阪神,D,1200,良,11,16,未勝利,37.2,後方,16,11,8,京都,D,1800,良,10,9,未勝利・牝*,41.3,中団,3,10,19,京都,D,1400,稍,10,9,未勝利・牝*,40.8,後方,9,8,17,中京,D,1400,良,15,15,新馬,40.8,中団,初
2,,4,,,,,クレバーキュート,,牡,3,7,4,18,中山,D,1200,良,8,10,未勝利,37.7,中団,3,3,29,阪神,D,1400,良,10,7,未勝利,38.2,後方,10,1,17,京都,D,1800,良,9,2,未勝利,40.2,後方,3,12,27,阪神,D,1400,稍,6,11,未勝利*,37.4,後方,7,11,8,京都,T,1800,良,8,8,新馬,36.1,後方,初
3,,5,,,,,ビスケットアソート,,牡,3,5,5,3,新潟,D,1200,稍,7,1,未勝利,39.2,先行,11,2,14,京都,D,1200,稍,2,2,未勝利,37.2,先行,2,2,1,京都,D,1200,良,2,2,未勝利,36.9,差し,4,1,4,京都,D,1200,良,2,8,未勝利,36.8,先行,2,12,21,阪神,T,1200,重,4,5,新馬,35.0,先行,初
3,,6,,,,,ジャスパーブレイズ,,牡,3,14,3,4,川崎,D,1500,不,3,3,マーチ,----,逃げ,4,2,1,東京,T,1600,良,10,6,新馬,34.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,グラマラス,,牝,3,4,5,9,新潟,D,1200,稍,4,4,未勝利・牝,39.2,差し,2,4,26,京都,D,1200,良,5,9,未勝利・牝,37.3,先行,9,2,21,阪神,D,1200,良,8,9,未勝利・牝,38.1,中団,3,2,1,京都,D,1400,良,9,7,新馬,38.8,先行,初,,,,,,,,,,,,
4,,8,,,,,レーヌペスカ,,牝,3,8,4,12,阪神,D,1400,稍,10,12,未勝利・牝,37.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,インディクイーン,,牝,3,4,5,10,京都,D,1200,良,11,11,未勝利,37.5,後方,6,3,28,阪神,D,1200,稍,7,11,未勝利・牝,38.0,中団,11,1,12,京都,T,1600,良,15,9,新馬,37.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
5,B,10,,,,,ナムラロダン,,牡,3,3,5,16,新潟,D,1200,良,2,2,未勝利,38.6,逃げ,3,4,25,京都,D,1400,稍,4,2,未勝利,38.4,先行,4,3,28,阪神,D,1200,稍,3,1,未勝利,38.3,先行,2,3,15,阪神,D,1200,良,2,1,未勝利,37.1,差し,2,3,1,阪神,D,1400,良,2,7,未勝利,39.2,先行,2
6,,11,,,,,ヤングジャガー,,牡,3,5,5,2,新潟,T,1400,稍,11,9,未勝利,38.5,逃げ,28,10,18,京都,D,1400,稍,16,3,新馬,42.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,シャインゴーツ,,牡,3,2,5,23,京都,D,1200,稍,3,7,未勝利,36.8,先行,12,3,1,小倉,D,1700,稍,12,7,未勝利,40.4,先行,2,2,15,小倉,D,1700,稍,4,10,未勝利,38.5,先行,2,1,31,京都,D,1800,良,4,4,未勝利,39.1,逃げ,2,1,17,京都,D,1200,良,7,7,未勝利,37.6,中団,3
7,,13,,,,,マカホウ,,牡,3,6,4,25,東京,D,1400,稍,9,9,未勝利,38.2,先行,3,4,4,阪神,D,1400,稍,8,12,未勝利,38.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,14,,,,,ミルトメテオ,,牡,3,6,4,26,京都,T,1200,良,7,9,未勝利,34.4,先行,8,2,28,阪神,T,1800,良,14,11,未勝利,40.1,逃げ,2,2,14,京都,T,1800,良,12,8,未勝利,35.8,後方,2,1,31,小倉,T,1800,良,8,11,未勝利,36.2,中団,12,11,8,福島,T,1800,良,12,9,未勝利*,37.6,中団,3
8,,15,,,,,アルムアポジェ,,牝,3,6,4,26,京都,D,1200,良,2,3,未勝利・牝,36.9,先行,3,4,5,阪神,D,1200,重,3,3,未勝利,36.8,先行,2,3,22,中京,D,1400,良,3,3,未勝利,39.2,差し,2,3,7,阪神,D,1400,稍,5,6,未勝利,38.3,中団,13,12,7,阪神,D,1800,良,4,8,未勝利・牝*,39.0,逃げ,2
8,,16,,,,,モズナツノジン,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026060609030103,2026.6.6,土,阪神,3阪1,3,,未勝利,ダート,1800,,4,良(暫定),晴(暫定),16,10:55,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ワイドシャッフエン,,牝,3,4,5,9,京都,D,1400,良,11,11,未勝利,37.9,中団,9,3,8,阪神,D,1400,良,6,7,未勝利,38.4,中団,3,2,14,京都,D,1400,稍,5,12,未勝利,38.6,中団,2,1,31,京都,D,1400,良,5,9,未勝利,37.7,中団,2,1,18,京都,D,1200,良,9,15,未勝利・牝,37.6,中団,11
1,,2,,,,,マクノス,,牝,3,2,5,24,京都,D,1800,良,2,4,未勝利・牝,39.5,先行,6,4,11,阪神,D,1800,重,4,14,未勝利・牝,39.3,差し,7,2,22,小倉,D,1700,良,5,10,未勝利・牝,39.8,中団,13,11,22,京都,D,1400,良,11,12,新馬,38.5,後方,初,,,,,,,,,,,,
2,,3,,,,,ワンダージェム,,牝,3,12,3,14,阪神,D,1800,良,6,11,未勝利・牝,39.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,タントレーベル,,牝,3,8,4,11,阪神,D,1800,重,10,7,未勝利・牝,40.8,中団,2,3,29,阪神,D,1800,良,5,4,未勝利・牝,39.4,先行,9,1,24,京都,D,1800,良,9,9,未勝利・牝,39.0,先行,4,12,27,阪神,D,1400,稍,15,7,未勝利*,39.2,後方,5,11,22,京都,D,1400,良,6,10,新馬,37.9,中団,初
3,,5,,,,,リリークリスタル,,牝,3,11,3,25,園田,D,1870,重,6,7,諭鶴羽,----,後方,10,1,10,京都,D,1800,良,8,9,未勝利・牝,39.1,後方,2,12,28,阪神,D,1400,良,9,16,新馬,38.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,アマノガワギンガ,,牝,3,5,5,3,京都,D,1400,稍,14,14,未勝利・牝,36.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,ウインロズパレード,,牝,3,41,8,24,札幌,T,1500,良,消,--,未勝利*,----,,5,7,20,小倉,D,1000,稍,9,10,未勝利*,38.2,中団,2,7,6,小倉,D,1000,良,5,4,新馬,39.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,レウコテア,,牝,3,4,5,12,川崎,D,1500,良,5,1,エメラ,----,先行,8,3,15,阪神,D,1400,良,10,5,未勝利・牝,38.9,中団,4,2,14,東京,D,1400,良,3,4,新馬,36.8,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ヤマニンコルザ,,牝,3,5,5,3,京都,D,1400,稍,6,8,未勝利・牝,36.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,ドリームキャリー,,牝,3,12,3,14,中京,D,1800,良,4,2,未勝利・牝,39.3,差し,4,2,14,京都,D,1800,稍,3,4,未勝利・牝,39.7,先行,2,2,3,川崎,D,1600,良,3,4,フェブ,----,逃げ,12,11,8,京都,D,1800,良,4,7,未勝利・牝*,39.2,差し,連,11,1,京都,D,1800,重,8,11,新馬,39.0,中団,初
6,,11,,,,,タマモアマルフィ,,牝,3,10,3,28,中京,D,1800,稍,8,8,未勝利・牝,40.5,先行,9,1,25,京都,D,1400,良,11,9,未勝利・牝,37.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ハッピーバンク,,牝,3,17,2,10,京都,D,1400,良,5,5,未勝利・牝,37.3,後方,8,12,13,阪神,D,1400,良,3,1,新馬,37.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,エイル,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,,,,,ファントムグレース,,牝,3,3,5,17,京都,D,1800,良,8,10,未勝利・牝,38.8,後方,3,4,26,京都,D,1200,良,12,12,未勝利・牝,36.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ダノンロワール,,牝,3,9,4,5,阪神,D,1400,重,10,12,未勝利・牝,37.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,ソルアモール,,牝,3,2,5,24,京都,D,1800,良,3,11,未勝利・牝,39.2,先行,14,2,14,小倉,D,1700,良,13,6,未勝利・牝,40.2,中団,3,1,24,京都,D,1800,良,5,15,新馬,38.1,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
