レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010801,2026.5.24,日,新潟,1新8,1,,未勝利,芝,1200,B,2,稍(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
8,,15,,,,,キタノプレミアム,,牝,3,2,5,9,新潟,D,1200,稍,2,7,未勝利・牝,39.3,先行,14,2,1,京都,D,1200,良,4,8,未勝利,38.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010803,2026.5.24,日,新潟,1新8,3,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,10:40,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ホシヅキヨ,,牡,3,22,12,21,中山,D,1800,不,10,11,未勝利*,39.0,後方,5,11,15,東京,T,1600,良,13,13,未勝利*,34.5,中団,7,9,27,中山,T,1600,良,10,13,新馬,34.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
2,B,2,,,,,マイネルゼーロス,,牡,3,2,5,10,新潟,D,1800,良,3,3,未勝利,39.2,逃げ,2,4,26,福島,D,1700,良,3,2,未勝利・若,39.1,先行,4,3,28,中山,D,1800,重,7,3,未勝利,41.3,先行,3,3,8,中山,D,1800,稍,2,2,未勝利,39.8,先行,4,2,8,小倉,D,1700,良,2,9,未勝利,40.6,先行,連
3,,3,,,,,エルヴ,,牝,3,連,5,17,京都,D,1800,良,13,13,未勝利・牝,41.3,先行,10,3,11,名古,D,1500,良,5,5,名古屋,----,中団,5,2,1,京都,D,1800,良,10,10,未勝利・牝,40.2,中団,8,12,7,阪神,D,1800,良,8,10,未勝利・牝*,38.2,後方,2,11,22,福島,D,1700,良,10,12,未勝利・牝*,40.5,中団,8
4,,4,,,,,トクシーゼファー,,牡,3,12,2,28,中山,D,1800,重,8,6,未勝利,41.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,ザンテソーロ,,牡,3,2,5,9,東京,D,1600,良,7,11,未勝利,37.5,中団,13,2,7,東京,D,1600,良,8,8,未勝利,38.2,後方,3,1,17,中山,D,1800,良,6,7,未勝利,41.7,中団,2,1,5,中山,D,1800,稍,6,11,未勝利,40.0,後方,2,12,20,中山,D,1800,良,7,12,新馬,39.8,中団,初
6,,6,,,,,セブンワンダーズ,,牡,3,2,5,9,新潟,D,1800,稍,2,7,未勝利,40.8,先行,2,4,25,福島,D,1700,良,6,3,未勝利,38.6,中団,6,3,14,中山,D,1800,良,7,5,未勝利,39.9,中団,3,2,21,東京,D,1600,良,5,4,未勝利,37.8,中団,2,2,7,東京,D,1600,良,2,4,未勝利,37.9,逃げ,3
7,,7,,,,,スナップジジ,,牡,3,連,5,17,東京,D,1400,良,12,13,未勝利,40.1,先行,9,3,15,中京,D,1800,良,12,13,未勝利,41.2,後方,連,3,8,中山,D,1200,稍,14,11,未勝利,40.2,中団,9,1,4,中山,D,1200,稍,7,11,新馬,40.5,逃げ,初,,,,,,,,,,,,
7,B,8,,,,,ブライトラン,,牡,3,10,3,14,中山,D,1800,良,8,13,未勝利,41.3,逃げ,3,2,22,東京,D,1400,良,8,10,未勝利,37.6,中団,9,12,21,中京,D,1800,稍,12,7,未勝利*,41.2,後方,3,11,30,東京,D,1400,良,10,6,未勝利*,38.1,後方,13,8,30,札幌,T,1800,稍,6,6,未勝利*,38.3,後方,連
8,,9,,,,,ラブミーアゲイン,,牝,3,連,5,16,新潟,T,1000,良,9,12,未勝利,33.2,中団,28,11,1,東京,T,1400,稍,12,12,未勝利*,34.9,先行,連,10,26,東京,T,1400,稍,18,15,新馬,35.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,,,,,アイビーチーキー,,牡,3,2,5,10,新潟,D,1800,良,2,1,未勝利,38.2,先行,3,4,19,福島,D,1700,良,2,4,未勝利,38.4,先行,8,2,21,東京,D,1600,良,4,6,新馬,37.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010805,2026.5.24,日,新潟,1新8,5,,未勝利,芝,2000,B,4,稍(暫定),晴(暫定),16,12:00,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ウインブリザード,,牡,3,27,11,15,福島,T,2000,良,10,4,未勝利*,36.5,中団,7,9,28,中山,T,2000,良,8,7,新馬,34.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
