レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091306040401,2026.9.13,日,中山,4中4,1,,未勝利,障害(直線ダ),2880,,,重(暫定),曇(暫定),14,10:00,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,2,,,,,キンバリー,,牡,2,5,8,9,新潟,T,1200,良,7,7,新馬,35.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,コスモベスケーデン,,牝,2,4,8,15,新潟,T,1400,良,12,1,新馬・牝,37.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,アルニタク,,牡,2,8,7,19,福島,T,1200,良,12,4,新馬,35.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ソラティオ,,牝,2,11,6,27,福島,D,1150,稍,6,9,新馬,39.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ラフエルガ,,牝,2,6,8,1,新潟,T,1400,良,3,4,新馬,35.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,,,,,アレックスケー,,牡,2,4,8,16,新潟,D,1200,良,4,1,未勝利*,38.4,先行,3,7,25,新潟,D,1200,稍,3,5,新馬,38.2,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,サイモンオリエント,,牡,2,6,8,1,新潟,T,1400,良,7,9,新馬,35.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,アドバンスアゲイン,,牝,2,9,7,11,福島,T,1200,良,8,6,新馬,36.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,パレスラン,,牡,2,11,6,27,福島,D,1150,稍,7,5,新馬,39.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,サンアンドスターズ,,牝,2,3,8,22,新潟,T,1600,良,11,9,新馬,37.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
