レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010501,2026.4.25,土,福島,1福5,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010506,2026.4.25,土,福島,1福5,6,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,12:35,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,ジェネチェン,,牝,3,7,3,11,名古,D,1500,良,7,2,名古屋,----,先行,15,11,22,福島,D,1700,良,13,5,未勝利・牝*,42.1,中団,2,11,8,福島,D,1700,良,5,1,未勝利・牝*,39.7,先行,9,9,6,札幌,D,1700,良,3,4,未勝利*,39.3,逃げ,5,8,3,札幌,T,1800,良,5,6,新馬,35.5,中団,初
2,,2,,,,,オンザ,,牡,3,3,4,4,阪神,D,1800,稍,4,13,未勝利,37.8,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,ストロングボーイ,,牡,3,4,3,28,阪神,D,1800,稍,2,2,未勝利,39.9,先行,3,3,8,阪神,D,1800,良,5,4,未勝利,38.4,中団,8,1,12,京都,D,1800,良,9,8,新馬,38.0,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,ガビーズメロディ,,牡,3,12,1,31,東京,D,1400,良,8,8,新馬,37.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,B,5,,,,,トップオブザキング,,牡,3,11,2,7,東京,D,1600,良,13,15,未勝利,38.8,後方,2,1,25,中山,D,1800,良,12,13,新馬,40.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,デルマカイモン,,牡,3,2,4,12,福島,D,1700,良,5,5,未勝利,40.3,先行,3,3,21,中山,D,1800,良,4,13,未勝利,39.8,先行,6,2,7,東京,D,1600,良,11,13,未勝利,39.1,中団,2,1,25,中山,D,1800,良,9,11,新馬,41.9,中団,初,,,,,,,,,,,,
4,,7,,,,,ラクシオンデクラ,,牡,3,7,3,7,中山,T,2200,稍,13,11,未勝利,36.8,後方,10,12,27,中山,T,2000,良,8,18,未勝利*,36.4,後方,11,10,13,東京,T,1800,良,13,11,新馬,34.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,セブンワンダーズ,,牡,3,6,3,14,中山,D,1800,良,7,5,未勝利,39.9,中団,3,2,21,東京,D,1600,良,5,4,未勝利,37.8,中団,2,2,7,東京,D,1600,良,2,4,未勝利,37.9,逃げ,3,1,17,中山,D,1800,良,3,6,未勝利,40.8,逃げ,2,1,5,中山,D,1800,稍,5,9,未勝利,40.8,中団,8
5,B,9,,,,,アデルフィー,,牡,3,2,4,12,福島,D,1700,良,4,4,未勝利,39.4,差し,3,3,22,中京,D,1800,良,5,6,未勝利,38.0,中団,7,1,31,京都,D,1400,良,6,5,未勝利,37.5,後方,3,1,12,中山,D,1800,良,9,10,未勝利,41.5,中団,3,12,20,中山,D,1800,良,7,4,未勝利*,39.6,中団,2
6,,10,,,,,ゴールドバローズ,,牡,3,8,2,28,阪神,D,1800,良,7,3,未勝利,40.1,逃げ,2,2,14,京都,D,1800,稍,2,2,新馬,38.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,アリアベルデ,,牝,3,7,3,7,阪神,T,1600,良,18,10,未勝利,37.3,後方,21,10,13,東京,T,1600,良,8,7,新馬・牝,34.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,プレヒティヒ,,牝,3,8,2,28,小倉,T,1200,稍,10,18,未勝利,35.9,中団,16,11,9,福島,T,1200,良,16,12,未勝利*,36.6,先行,10,8,31,札幌,T,1200,稍,10,6,未勝利*,39.7,先行,2,8,16,札幌,T,1200,良,2,6,新馬,35.7,差し,初,,,,,,,,,,,,
7,B,13,,,,,ユニゾン,,牡,3,8,3,4,川崎,D,1500,不,4,1,マーチ,----,差し,11,12,13,中山,D,1800,良,5,2,未勝利*,39.7,先行,4,11,15,福島,D,1700,良,2,2,未勝利*,38.2,先行,3,10,26,新潟,D,1800,稍,3,2,未勝利*,38.1,追込,4,9,28,中山,D,1800,良,4,3,未勝利*,40.4,先行,3
8,,14,,,,,シンエンドーツダ,,牡,3,2,4,11,福島,D,1700,良,4,4,未勝利,37.9,差し,4,3,15,中山,D,1800,良,4,5,未勝利,39.2,先行,2,3,1,中山,D,1800,稍,2,5,未勝利,39.1,差し,4,2,1,小倉,D,1700,良,6,9,未勝利,39.2,中団,4,1,4,中山,D,1800,稍,5,6,未勝利,39.9,後方,3
8,,15,,,,,マイネルカイザー,,牡,3,7,3,7,阪神,T,1600,良,17,18,未勝利,34.7,後方,21,10,13,京都,T,1600,良,13,12,新馬,36.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010507,2026.4.25,土,福島,1福5,7,,1勝,芝,1200,B,2,良(暫定),晴(暫定),16,13:05,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,グランテレーズ,,牝,5,2,4,11,福島,T,1200,良,2,6,１勝ｸﾗｽ・牝,34.2,先行,9,2,8,小倉,T,1200,良,13,5,１勝ｸﾗｽ,35.3,中団,8,12,13,中京,T,1200,良,4,11,１勝ｸﾗｽ,33.8,逃げ,4,11,15,福島,T,1200,良,4,14,１勝ｸﾗｽ・牝,35.6,先行,11,8,30,札幌,T,1200,稍,13,11,１勝ｸﾗｽ,37.1,先行,2
2,,2,,,,,ホリーアン,,牝,4,連,4,18,福島,T,1200,良,12,15,１勝ｸﾗｽ,34.0,後方,8,2,22,小倉,T,1200,良,10,14,１勝ｸﾗｽ・牝,34.1,後方,3,2,1,小倉,T,1200,良,8,15,１勝ｸﾗｽ,33.7,後方,10,11,24,東京,T,1600,良,15,18,１勝ｸﾗｽ,34.2,後方,2,11,9,福島,T,1200,良,10,14,１勝ｸﾗｽ,34.5,中団,2
3,,3,,,,,キョラムン,,牝,4,9,2,22,小倉,T,1200,良,6,2,１勝ｸﾗｽ・牝,34.5,中団,3,1,31,小倉,T,1200,良,4,3,１勝ｸﾗｽ,34.2,差し,16,10,13,京都,D,1400,良,4,1,１勝ｸﾗｽ・牝,37.7,差し,4,9,14,阪神,D,1200,良,6,2,１勝ｸﾗｽ,36.7,中団,6,8,3,中京,D,1200,良,2,6,１勝ｸﾗｽ,37.0,差し,4
4,,4,,,,,トリプルバレル,,牡,4,6,3,14,中京,T,1600,良,8,15,１勝ｸﾗｽ,35.1,先行,4,2,15,小倉,D,1000,稍,11,11,１勝ｸﾗｽ,36.4,中団,8,12,20,中京,D,1400,稍,14,12,１勝ｸﾗｽ,38.8,先行,8,10,25,新潟,D,1800,良,9,13,１勝ｸﾗｽ,39.1,中団,2,10,13,京都,D,1900,良,11,10,１勝ｸﾗｽ,40.6,中団,6
5,,5,,,,,クリノゴッホ,,セ,6,連,4,19,福島,T,1200,良,13,14,須賀川特･1勝,34.5,中団,8,2,21,小倉,T,1200,良,12,15,１勝ｸﾗｽ,35.2,中団,4,1,25,小倉,T,1200,良,7,14,八幡特別･1勝,34.1,中団,11,11,9,福島,T,1200,良,8,12,１勝ｸﾗｽ,34.2,後方,7,9,21,中山,T,1200,良,13,13,１勝ｸﾗｽ,34.2,中団,2
5,,6,,,,,カーヌスティ,,牡,4,7,3,8,中山,D,1200,稍,3,2,１勝ｸﾗｽ,37.9,先行,4,2,10,東京,D,1300,稍,5,3,１勝ｸﾗｽ,37.5,先行,2,1,24,中山,D,1200,良,4,4,１勝ｸﾗｽ,37.8,差し,10,11,13,門別,D,1000,稍,1,1,来年も,----,先行,3,10,29,門別,D,1000,稍,1,1,ローズ,----,先行,3
6,,7,,,,,アーサーズウェイン,,牝,4,8,2,28,小倉,T,1200,稍,12,5,１勝ｸﾗｽ,34.8,中団,4,2,1,小倉,T,1800,良,10,11,１勝ｸﾗｽ・若,35.8,逃げ,11,11,15,福島,T,1200,良,7,6,１勝ｸﾗｽ・若,34.7,中団,6,10,4,京都,T,1200,重,6,14,１勝ｸﾗｽ,34.1,中団,8,8,10,中京,T,1400,良,9,4,１勝ｸﾗｽ,34.7,中団,4
6,,8,,,,,クレセントウイング,,セ,6,9,2,21,小倉,T,1200,良,7,8,１勝ｸﾗｽ,33.8,後方,13,11,23,東京,T,1400,良,17,16,２勝ｸﾗｽ,32.6,後方,4,10,25,新潟,T,1400,良,11,4,１勝ｸﾗｽ,35.5,中団,7,9,7,札幌,T,1200,稍,2,5,１勝ｸﾗｽ,35.0,差し,7,7,19,函館,T,1200,良,3,8,１勝ｸﾗｽ,34.1,差し,10
7,,9,,,,,ハッピーサプライズ,,牡,5,2,4,12,福島,T,1200,良,8,13,１勝ｸﾗｽ,34.6,中団,17,12,13,中京,T,1200,良,14,12,１勝ｸﾗｽ,33.6,中団,3,11,22,福島,T,1200,良,2,15,１勝ｸﾗｽ,34.5,差し,2,11,9,福島,T,1200,良,5,13,１勝ｸﾗｽ,34.7,中団,4,10,13,東京,D,1300,良,14,11,１勝ｸﾗｽ,38.7,中団,8
7,B,10,,,,,バーケンティン,,牡,5,8,2,28,小倉,D,1000,不,8,5,１勝ｸﾗｽ,35.6,中団,2,2,15,小倉,D,1000,稍,3,7,１勝ｸﾗｽ,35.0,先行,9,12,14,中京,D,1400,稍,9,8,１勝ｸﾗｽ,39.1,先行,5,11,8,福島,D,1700,良,12,10,１勝ｸﾗｽ,40.2,中団,11,8,24,中京,D,1800,良,6,5,１勝ｸﾗｽ,40.2,先行,12
8,,11,,,,,ミエノブラボー,,牝,5,5,3,22,中京,T,1400,良,9,6,１勝ｸﾗｽ,35.1,先行,3,3,1,小倉,T,1200,良,2,3,１勝ｸﾗｽ,34.7,差し,連,2,21,小倉,T,1200,良,4,5,１勝ｸﾗｽ,34.2,差し,3,2,1,小倉,T,1200,良,5,7,１勝ｸﾗｽ,34.0,後方,10,11,22,福島,T,1200,良,14,4,１勝ｸﾗｽ,34.9,先行,8
8,,12,,,,,セイプリーズ,,牝,4,2,4,11,福島,T,1200,良,3,3,１勝ｸﾗｽ・牝,34.2,先行,7,2,22,小倉,T,1200,良,8,4,１勝ｸﾗｽ・牝,34.7,先行,4,1,25,小倉,T,1200,良,6,2,八幡特別･1勝,33.5,後方,9,11,22,福島,T,1200,良,4,10,１勝ｸﾗｽ,34.6,先行,38,3,1,小倉,T,1200,良,1,3,未勝利,35.3,先行,4
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010508,2026.4.25,土,福島,1福5,8,,1勝,ダート,1700,,4,良(暫定),晴(暫定),15,13:35,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,タキノボリ,,牡,4,16,1,4,中山,D,1800,稍,11,6,１勝ｸﾗｽ,41.3,中団,4,12,7,中山,D,1800,良,5,6,１勝ｸﾗｽ,37.6,中団,4,11,8,福島,D,1700,良,7,2,１勝ｸﾗｽ,38.5,中団,17,7,13,福島,D,1700,良,1,2,未勝利,37.4,先行,2,6,29,福島,D,1700,良,3,3,未勝利,37.6,先行,11
2,,2,,,,,ルシャルムール,,セ,4,2,4,11,中山,D,1800,稍,2,1,１勝ｸﾗｽ,37.7,差し,20,11,22,福島,D,1700,良,3,2,１勝ｸﾗｽ,39.2,先行,10,9,14,中山,D,1800,稍,2,4,１勝ｸﾗｽ,36.6,先行,10,7,6,福島,D,1700,良,1,3,未勝利,37.1,差し,4,6,7,東京,D,1600,良,4,3,未勝利,37.7,差し,10
2,,3,,,,,ウィズマスタング,,牡,4,8,3,1,小倉,D,1700,稍,8,4,１勝ｸﾗｽ,37.9,中団,2,2,15,小倉,D,1700,稍,4,4,１勝ｸﾗｽ,39.3,先行,3,1,24,小倉,D,1700,良,3,10,１勝ｸﾗｽ,38.7,先行,10,11,16,福島,T,2000,良,11,11,１勝ｸﾗｽ,36.2,逃げ,3,10,25,新潟,T,1800,良,10,8,１勝ｸﾗｽ・若,34.6,先行,17
3,,4,,,,,マテンロウカナロア,,牡,4,2,4,12,福島,D,1700,良,2,1,１勝ｸﾗｽ,38.5,先行,7,2,22,小倉,D,1700,良,5,1,１勝ｸﾗｽ,39.3,中団,3,1,31,小倉,D,1700,良,2,2,１勝ｸﾗｽ,37.5,先行,17,10,4,京都,D,1400,不,9,7,１勝ｸﾗｽ,37.8,中団,23,4,26,福島,D,1700,良,1,3,未勝利,39.5,先行,5
3,B,5,,,,,トクシージェネラル,,牡,5,10,2,15,小倉,D,1700,稍,9,8,１勝ｸﾗｽ,40.9,逃げ,2,1,31,小倉,D,1700,良,15,10,１勝ｸﾗｽ,41.0,先行,15,10,18,新潟,D,1800,良,12,6,１勝ｸﾗｽ,41.3,逃げ,33,3,2,小倉,D,1700,稍,6,5,１勝ｸﾗｽ,38.4,逃げ,2,2,16,小倉,D,1700,良,4,3,１勝ｸﾗｽ,38.9,先行,2
4,,6,,,,,タニセンドリーム,,牡,5,18,12,21,中山,D,1800,重,12,2,１勝ｸﾗｽ,38.0,中団,4,11,24,福島,D,1700,良,6,3,１勝ｸﾗｽ・若,38.6,中団,9,9,21,中山,D,1800,良,5,3,１勝ｸﾗｽ,39.9,逃げ,2,9,7,中山,D,1800,良,4,4,１勝ｸﾗｽ,39.5,先行,10,6,28,福島,D,1700,良,8,11,１勝ｸﾗｽ,39.7,先行,40
4,B,7,,,,,ハヤブサオヒメサマ,,牝,4,6,3,15,中京,D,1400,良,9,10,１勝ｸﾗｽ・牝,37.0,中団,9,1,12,京都,D,1400,良,14,8,１勝ｸﾗｽ,37.4,後方,3,12,20,中京,D,1400,稍,3,7,１勝ｸﾗｽ・牝,37.6,先行,2,12,7,中京,D,1400,良,11,8,１勝ｸﾗｽ・牝,38.7,逃げ,19,7,26,中京,D,1400,良,1,2,未勝利,38.9,逃げ,11
5,,8,,,,,ロジルーラー,,牡,5,3,4,4,中山,D,1800,重,9,9,１勝ｸﾗｽ,39.6,先行,12,1,10,中山,D,1800,良,11,9,１勝ｸﾗｽ,40.1,先行,12,10,18,新潟,T,1800,良,11,13,１勝ｸﾗｽ,34.2,中団,10,8,10,新潟,T,2000,重,5,9,１勝ｸﾗｽ,34.9,先行,5,7,5,福島,T,2000,良,7,8,伊達特別･1勝,35.6,後方,47
5,B,9,,,,,ヴェラグエリエロ,,牡,6,12,1,31,東京,D,2100,良,13,5,１勝ｸﾗｽ,40.1,先行,10,11,23,東京,D,2100,良,3,11,１勝ｸﾗｽ,37.5,先行,2,11,9,福島,D,1700,良,8,7,１勝ｸﾗｽ・若,38.3,中団,9,9,6,札幌,D,1700,良,9,8,１勝ｸﾗｽ,39.1,中団,連,8,30,札幌,D,1700,重,4,3,１勝ｸﾗｽ,37.9,追込,8
6,,10,,,,,ココデイック,,牡,4,4,3,28,中京,D,1900,稍,4,5,ロイヤル･1勝,38.4,先行,2,3,15,中京,D,1800,良,4,7,１勝ｸﾗｽ,37.3,差し,3,2,21,小倉,D,1700,良,5,7,１勝ｸﾗｽ,38.7,中団,19,10,13,京都,D,1900,良,10,6,１勝ｸﾗｽ,40.3,後方,3,9,20,阪神,D,1800,良,6,6,１勝ｸﾗｽ,37.2,後方,11
6,,11,,,,,シヴァールバーニ,,牡,4,19,12,12,笠松,D,1400,良,1,1,かとく,----,ﾏｸﾘ,2,11,28,笠松,D,1400,良,3,2,平湯温,----,差し,2,11,14,笠松,D,1400,良,1,1,みあち,----,先行,10,9,6,札幌,D,1700,良,6,11,未勝利,39.2,後方,連,8,30,札幌,D,1700,重,5,11,未勝利,37.9,中団,7
7,,12,,,,,オウケンシルヴァー,,牡,5,連,4,19,福島,D,1700,良,2,2,１勝ｸﾗｽ,38.3,逃げ,2,4,4,中山,D,1800,重,3,6,１勝ｸﾗｽ,37.3,逃げ,2,3,22,中山,D,1800,良,3,2,１勝ｸﾗｽ,38.9,差し,2,3,7,中山,D,1800,重,4,2,１勝ｸﾗｽ,38.1,差し,3,2,14,東京,D,2100,良,4,2,１勝ｸﾗｽ,37.6,先行,2
7,,13,,,,,ラッキーヤース,,牡,5,2,4,12,福島,D,1700,良,4,7,１勝ｸﾗｽ,37.5,差し,10,2,1,東京,D,1400,良,7,9,１勝ｸﾗｽ,37.2,後方,11,11,15,東京,D,1400,良,7,8,１勝ｸﾗｽ,36.1,中団,6,10,4,東京,D,1400,良,6,11,１勝ｸﾗｽ,36.4,後方,11,7,20,福島,D,1700,良,7,9,１勝ｸﾗｽ,38.0,中団,2
8,,14,,,,,チギリ,,牝,4,2,4,12,福島,D,1700,良,3,2,１勝ｸﾗｽ,37.8,差し,9,2,7,東京,D,1600,良,4,8,１勝ｸﾗｽ・牝,37.3,差し,8,12,14,中京,D,1800,稍,6,5,１勝ｸﾗｽ・若,39.0,中団,3,11,24,福島,D,1700,良,6,9,１勝ｸﾗｽ・牝,38.3,後方,7,10,5,東京,T,1400,良,10,5,１勝ｸﾗｽ,33.6,中団,16
8,,15,,,,,ヒラボクヒーロー,,牡,5,2,4,12,福島,T,2000,良,14,13,１勝ｸﾗｽ・若,37.3,逃げ,56,3,17,名古,D,1400,不,2,1,本宮山,----,先行,連,3,7,笠松,D,1600,良,1,1,エリカ,----,先行,5,1,30,名古,D,1400,良,1,1,Ｃ１０,----,逃げ,2,1,20,名古,D,2000,稍,3,1,七里の,----,逃げ,2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010509,2026.4.25,土,福島,1福5,9,雪うさぎ賞,1勝,芝,1200,B,2,良(暫定),晴(暫定),16,14:05,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,マナボニート,,牝,3,14,1,18,京都,D,1200,良,5,8,１勝ｸﾗｽ*,37.4,先行,2,1,5,京都,D,1200,良,1,2,新馬,37.4,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ロジケープ,,牡,3,6,3,15,中山,T,1200,良,3,1,１勝ｸﾗｽ*,34.7,先行,3,2,22,小倉,T,1200,良,1,2,未勝利,34.7,先行,15,11,9,東京,T,1400,良,3,1,未勝利*,35.2,先行,3,10,18,新潟,T,1600,良,3,6,未勝利*,33.7,差し,2,10,4,東京,T,1800,良,3,4,新馬,34.5,先行,初
2,,3,,,,,カシノリアーナ,,牝,3,12,1,31,小倉,T,1200,良,1,18,未勝利・若,34.2,差し,14,10,25,東京,T,1600,良,7,9,未勝利・牝*,35.1,後方,連,10,18,新潟,T,1200,良,12,16,未勝利*,35.7,中団,5,9,14,中山,T,1200,良,15,13,未勝利*,35.7,中団,9,7,12,小倉,T,1200,良,7,9,未勝利*,35.9,後方,連
2,,4,,,,,ニシノセイドウ,,牡,3,7,3,8,中山,T,1600,良,9,8,１勝ｸﾗｽ*,35.8,先行,3,2,14,東京,T,1400,良,7,8,１勝ｸﾗｽ*,33.8,中団,7,12,28,中山,T,1200,良,1,5,未勝利*,35.4,先行,3,12,7,中山,T,1200,良,4,6,新馬,34.7,先行,初,,,,,,,,,,,,
3,,5,,,,,ナクソス,,牡,3,19,12,13,阪神,T,1200,良,1,1,未勝利*,34.6,先行,4,11,15,福島,T,1200,良,5,14,未勝利*,34.9,中団,11,8,31,中京,T,1600,良,12,6,新馬,36.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,ジャスパールビー,,牝,3,6,3,15,中山,T,1200,良,13,11,１勝ｸﾗｽ*,34.9,後方,5,2,8,小倉,T,1200,良,7,11,かささぎ･1勝,34.8,後方,9,12,6,阪神,T,1200,良,7,5,さざんか･1勝,35.6,先行,2,11,24,福島,T,1200,良,1,3,未勝利*,34.9,逃げ,2,11,8,京都,T,1400,良,2,14,未勝利*,34.6,逃げ,5
4,,7,,,,,ムーンリットアイル,,牝,3,9,2,21,小倉,T,1200,良,1,1,未勝利・牝,34.8,先行,3,2,1,小倉,T,1200,良,2,2,未勝利,34.2,先行,3,1,12,京都,T,1400,良,3,10,未勝利,36.0,先行,7,11,22,京都,T,1200,良,7,3,未勝利*,34.8,中団,3,11,1,京都,T,1200,稍,2,1,未勝利*,34.1,追込,18
4,,8,,,,,クワイエットアイ,,牡,3,11,2,8,小倉,T,1200,良,15,9,かささぎ･1勝,38.0,先行,29,7,20,函館,T,1200,良,1,3,未勝利*,35.3,逃げ,2,7,6,函館,T,1200,稍,3,2,未勝利*,35.1,差し,2,6,22,函館,T,1200,重,2,3,新馬,35.8,先行,初,,,,,,,,,,,,
5,,9,,,,,ディヴァインスカイ,,牡,3,10,2,14,東京,T,1400,良,11,10,１勝ｸﾗｽ*,34.6,先行,9,12,13,中山,T,1200,良,9,7,黒松賞･1勝*,34.0,中団,5,11,8,福島,T,1200,良,1,3,新馬,35.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,メイショウテリオス,,牡,3,14,1,18,京都,D,1200,良,9,5,１勝ｸﾗｽ*,37.7,先行,11,11,1,京都,D,1200,不,1,6,未勝利*,36.0,先行,3,10,11,京都,D,1200,良,3,3,新馬,37.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ロンドンオービタル,,牝,3,6,3,15,中山,T,1200,良,11,5,１勝ｸﾗｽ*,34.4,後方,9,1,12,中山,T,1200,良,7,2,１勝ｸﾗｽ*,34.3,先行,4,12,13,中山,T,1200,良,2,4,黒松賞･1勝*,34.1,先行,4,11,15,福島,T,1200,良,1,2,未勝利*,35.2,先行,9,9,14,中山,T,1200,良,5,1,未勝利*,34.2,中団,8
6,,12,,,,,ウォーターデライト,,牡,3,8,2,28,阪神,T,1200,良,9,7,マーガレ(L),34.8,中団,3,2,7,小倉,T,1200,良,1,2,未勝利,35.3,逃げ,16,10,19,新潟,T,1400,稍,2,2,新馬,36.2,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,フェーダーローター,,牝,3,3,4,5,中山,T,1200,重,4,11,１勝ｸﾗｽ*,34.6,差し,3,3,15,中山,T,1200,良,10,10,１勝ｸﾗｽ*,34.1,後方,4,2,14,東京,T,1600,良,16,16,クイーンG3,36.1,先行,14,11,8,東京,T,1400,良,15,11,京王杯２G2,35.0,先行,5,10,5,東京,T,1400,良,1,16,未勝利*,34.2,先行,3
7,,14,,,,,ハッピーラッキー,,牡,3,3,4,5,中山,T,1200,重,2,4,１勝ｸﾗｽ*,34.2,差し,3,3,15,中山,T,1200,良,4,7,１勝ｸﾗｽ*,34.2,差し,14,12,6,中京,T,1200,良,1,2,未勝利*,33.8,差し,4,11,9,福島,T,1200,良,2,1,未勝利*,35.4,先行,3,10,18,新潟,T,1200,良,2,2,未勝利*,34.9,差し,3
8,,15,,,,,スルーザミル,,牝,3,6,3,16,浦和,D, 800,稍,4,3,浦和８,----,差し,2,2,26,浦和,D, 800,不,2,3,浦和８,----,先行,4,2,3,川崎,D,1500,良,13,11,青鵐特,----,後方,3,1,8,浦和,D,1400,良,9,10,ＵＲＡ,----,後方,2,12,25,浦和,D,1400,重,6,5,若鷹特,----,後方,9
8,,16,,,,,メローネ,,牝,3,4,3,29,中京,T,1200,良,1,2,未勝利,34.0,差し,4,2,28,小倉,T,1200,稍,3,6,未勝利,35.3,差し,14,11,24,福島,T,1200,良,8,5,未勝利*,35.3,先行,2,11,8,福島,T,1200,良,2,2,新馬,35.6,逃げ,初,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026042503010510,2026.4.25,土,福島,1福5,10,医王寺特別,2勝,芝,1200,B,2,良(暫定),晴(暫定),16,14:40,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
