レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010401,2026.8.2,日,札幌,1札4,1,,未勝利,ダート,1700,,4,稍(暫定),曇(暫定),14,10:00,牝,馬齢,３歳
3,,3,,,,,ロードアマルフィ,,牡,3,11,5,17,京都,D,1800,良,5,3,１勝ｸﾗｽ*,38.0,中団,3,4,25,京都,D,1800,稍,3,3,１勝ｸﾗｽ*,38.4,逃げ,4,3,28,阪神,D,1800,稍,1,1,未勝利,38.1,逃げ,4,3,1,小倉,D,1700,稍,3,1,未勝利,39.2,先行,2,2,15,小倉,D,1700,稍,2,1,未勝利,38.0,先行,3
4,B,4,,,,,マテンロウカナロア,,牡,4,3,7,11,函館,D,1700,重,4,1,１勝ｸﾗｽ,37.3,逃げ,11,4,25,福島,D,1700,良,9,4,１勝ｸﾗｽ,39.3,中団,2,4,12,福島,D,1700,良,2,1,１勝ｸﾗｽ,38.5,先行,7,2,22,小倉,D,1700,良,5,1,１勝ｸﾗｽ,39.3,中団,3,1,31,小倉,D,1700,良,2,2,１勝ｸﾗｽ,37.5,先行,17
5,,5,,,,,ココデイック,,牡,4,11,5,17,新潟,D,1800,良,3,1,１勝ｸﾗｽ,38.7,逃げ,3,4,25,福島,D,1700,良,3,3,１勝ｸﾗｽ,38.2,先行,4,3,28,中京,D,1900,稍,4,5,ロイヤル･1勝,38.4,先行,2,3,15,中京,D,1800,良,4,7,１勝ｸﾗｽ,37.3,差し,3,2,21,小倉,D,1700,良,5,7,１勝ｸﾗｽ,38.7,中団,19
6,,6,,,,,グランセレスト,,牡,3,2,7,18,函館,D,1700,良,4,3,１勝ｸﾗｽ,38.9,逃げ,12,4,26,東京,T,1600,良,7,6,１勝ｸﾗｽ*,35.1,先行,2,4,11,中山,T,2000,良,5,4,山藤賞･1勝*,36.8,逃げ,14,1,4,中山,T,1600,良,4,6,ジュニア(L),35.2,逃げ,5,11,30,東京,T,1600,良,7,4,ベゴニア･1勝,35.8,逃げ,4
6,,7,,,,,ステラデルークス,,牡,3,14,4,25,東京,D,1600,稍,7,6,１勝ｸﾗｽ*,37.1,後方,6,3,14,中山,D,1800,良,12,2,１勝ｸﾗｽ*,40.2,後方,5,2,10,東京,D,1600,稍,1,1,新馬,37.5,差し,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,,,,,タイセイジェイド,,牡,3,4,7,5,小倉,D,1700,不,7,2,１勝ｸﾗｽ,38.9,中団,10,4,26,京都,D,1400,良,3,3,１勝ｸﾗｽ*,37.4,先行,3,4,5,阪神,D,1800,重,9,8,１勝ｸﾗｽ*,36.6,後方,5,3,1,中山,D,1800,稍,4,4,１勝ｸﾗｽ*,39.1,先行,2,2,15,東京,D,1600,良,1,2,新馬,37.7,先行,初
7,,9,,,,,ゼルダ,,牝,3,8,6,7,阪神,D,1400,良,1,5,未勝利,36.9,逃げ,8,4,12,阪神,D,1400,稍,6,5,未勝利・牝,37.9,中団,13,1,12,京都,D,1400,良,8,1,未勝利・牝,39.1,中団,4,12,13,阪神,D,1400,良,2,3,未勝利・牝*,37.8,差し,3,11,22,京都,T,1600,良,4,5,新馬,35.7,先行,初
8,,10,,,,,セイントホース,,牡,3,22,3,1,阪神,D,1800,良,4,6,１勝ｸﾗｽ*,37.8,差し,4,1,31,京都,D,1800,良,7,11,１勝ｸﾗｽ*,36.8,中団,3,1,10,京都,D,1900,良,1,1,未勝利,37.6,差し,3,12,21,阪神,D,1800,稍,4,3,未勝利*,38.2,差し,3,11,29,京都,D,1800,良,4,8,未勝利*,37.2,ﾏｸﾘ,3
8,,11,,,,,カフジクロミエ,,牝,3,10,5,23,京都,D,1400,稍,8,13,１勝ｸﾗｽ*,37.6,中団,6,4,12,阪神,D,1400,稍,12,12,１勝ｸﾗｽ*,37.3,中団,3,3,21,阪神,D,1400,良,7,4,１勝ｸﾗｽ*,36.7,中団,6,2,7,京都,D,1400,良,2,8,１勝ｸﾗｽ*,37.7,追込,3,1,18,京都,D,1400,良,1,5,未勝利,37.8,差し,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010407,2026.8.2,日,札幌,1札4,7,,未勝利,芝,2000,A,4,稍(暫定),曇(暫定),16,13:20,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アールグレイ,,牝,3,4,7,4,福島,T,2000,良,5,2,未勝利・牝,37.0,逃げ,4,6,6,東京,T,2000,良,3,5,未勝利,34.6,逃げ,3,5,16,東京,T,2000,良,4,5,未勝利・牝,34.2,逃げ,3,4,26,福島,T,1200,良,10,4,未勝利・牝,34.8,中団,14,1,18,中山,T,1600,良,13,10,未勝利・牝,36.8,中団,4
2,,2,,,,,フクチャンブラック,,牡,3,2,7,19,函館,T,2000,重,5,12,未勝利,37.4,先行,4,6,21,函館,D,2400,良,6,7,未勝利,41.1,中団,9,4,18,中山,D,1800,良,9,8,未勝利,38.7,中団,2,4,5,阪神,T,2400,稍,11,8,未勝利,37.7,後方,8,2,10,京都,T,2400,良,4,11,未勝利,36.4,差し,4
3,,3,,,,,アイアムコロンブス,,牡,3,35,11,30,東京,T,2000,良,8,7,未勝利*,34.4,後方,4,11,2,東京,T,2000,良,7,3,新馬,34.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ウインベルチェーロ,,牝,3,3,7,12,福島,T,2000,稍,9,10,未勝利,37.2,後方,24,1,25,中山,D,1800,良,12,6,未勝利・牝,42.2,後方,2,1,12,中山,T,2000,良,13,12,未勝利,36.3,後方,20,8,24,札幌,T,2000,良,7,3,新馬,36.1,後方,初,,,,,,,,,,,,
5,,5,,,,,ゴールデンボブ,,牡,3,2,7,18,函館,D,2400,良,11,7,未勝利,41.4,後方,3,6,28,小倉,D,1700,稍,8,9,未勝利,38.9,中団,8,5,2,京都,D,1800,重,7,6,未勝利,38.2,中団,3,4,11,阪神,D,1400,重,7,12,未勝利,37.7,中団,9,2,10,京都,T,2400,良,15,6,未勝利,39.9,後方,2
5,,6,,,,,デルマアサマ,,牡,3,2,7,18,函館,T,1200,良,15,15,未勝利,35.5,後方,5,6,14,函館,T,1200,良,14,16,未勝利,34.9,後方,12,3,22,中京,D,1400,良,13,13,未勝利,40.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,,,,,ワダツミ,,牝,3,2,7,19,函館,T,2000,重,8,6,未勝利,37.5,中団,2,7,4,函館,T,1800,良,9,8,未勝利,34.7,後方,2,6,21,函館,T,1800,良,5,10,未勝利,35.4,中団,5,5,17,京都,T,1600,良,10,16,未勝利・牝,34.5,後方,18,1,11,京都,T,1800,良,13,18,未勝利,35.1,中団,3
6,,8,,,,,スリールーディカ,,牝,3,3,7,12,函館,T,2000,重,4,8,未勝利・牝,38.7,先行,3,6,20,函館,T,2000,良,11,16,未勝利,35.9,後方,6,5,10,京都,T,2000,良,10,9,未勝利,36.0,後方,7,3,21,阪神,D,1800,稍,8,5,未勝利・牝,39.3,後方,12,12,28,阪神,T,1600,良,8,5,新馬,34.3,後方,初
7,,9,,,,,メイショウローゼ,,牝,3,4,7,4,函館,T,1800,良,12,3,未勝利,34.8,後方,2,6,20,函館,T,1800,良,2,3,未勝利・牝,35.7,差し,6,5,10,京都,T,1600,良,7,7,未勝利,33.9,中団,2,4,25,京都,T,1800,良,7,9,未勝利・牝,34.6,後方,4,3,28,阪神,T,1600,良,6,3,未勝利,34.3,後方,2
7,,10,,,,,フォーティンブラス,,牡,3,13,5,2,新潟,T,2200,稍,12,7,未勝利,36.9,中団,2,4,18,福島,T,2600,良,5,3,未勝利,35.2,先行,10,2,7,京都,D,1900,良,5,3,未勝利,38.8,先行,2,1,24,京都,D,1800,良,3,8,新馬,37.1,差し,初,,,,,,,,,,,,
8,,11,,,,,デイズインザサン,,牝,3,3,7,12,函館,T,2600,重,8,12,未勝利,37.6,中団,連,7,4,函館,T,1800,良,13,11,未勝利,34.9,後方,2,6,20,函館,T,2000,良,5,12,未勝利,34.9,中団,5,5,17,東京,T,1800,良,9,14,未勝利,34.4,中団,13,2,15,東京,T,1800,良,11,16,未勝利,35.2,中団,初
8,,12,,,,,ヤクジョ,,牡,3,2,7,19,函館,T,2000,重,7,13,未勝利,37.3,中団,2,7,5,函館,T,2000,良,11,7,未勝利,35.5,後方,2,6,20,函館,T,2000,良,14,5,未勝利,36.1,後方,17,2,22,小倉,T,2000,良,4,5,未勝利,35.8,追込,2,2,7,小倉,T,2000,稍,7,9,未勝利・若,35.7,後方,2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010408,2026.8.2,日,札幌,1札4,8,,1勝,芝,1200,A,2,稍(暫定),曇(暫定),16,13:50,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,エコロハート,,牝,4,2,7,18,函館,T,1200,良,5,9,１勝ｸﾗｽ・牝,34.8,後方,8,5,24,新潟,T,1200,稍,8,8,１勝ｸﾗｽ,35.2,先行,10,3,15,中京,T,1200,良,7,10,１勝ｸﾗｽ,33.9,中団,2,3,1,小倉,T,1200,良,5,9,１勝ｸﾗｽ,35.3,中団,5,1,25,小倉,T,1200,良,12,4,八幡特別･1勝,33.7,中団,10
2,,2,,,,,サトノワーグナー,,牡,3,5,6,28,福島,D,1150,良,1,2,未勝利,37.3,先行,3,6,6,東京,D,1400,稍,3,2,未勝利,37.6,先行,4,5,9,東京,D,1600,良,6,3,未勝利,37.9,逃げ,3,4,19,福島,D,1700,良,4,1,未勝利,39.0,先行,13,1,17,中山,T,2000,良,8,2,未勝利,35.7,先行,2
3,,3,,,,,ブライトアゲイン,,牝,5,4,7,5,函館,T,1200,良,5,5,１勝ｸﾗｽ,35.1,先行,3,6,13,阪神,T,1200,良,5,2,１勝ｸﾗｽ,34.3,中団,5,5,10,京都,T,1200,良,4,5,１勝ｸﾗｽ,33.8,差し,4,4,12,福島,T,1200,良,7,6,１勝ｸﾗｽ,34.7,先行,8,2,14,小倉,T,1200,良,9,4,１勝ｸﾗｽ,35.0,中団,2
3,B,4,,,,,グレートスティック,,牡,3,4,7,7,門別,D,1000,良,1,3,比布駅,----,先行,2,6,23,門別,D,1000,稍,4,4,グラン,----,先行,2,6,9,門別,D,1000,重,5,1,日高地,----,先行,4,5,13,門別,D,1000,良,4,1,ニリン,----,先行,2,4,29,門別,D,1200,良,5,6,グラン,----,先行,2
4,,5,,,,,ザカリナン,,牡,4,2,7,19,函館,T,1200,重,2,5,１勝ｸﾗｽ,35.3,先行,13,4,18,福島,T,1200,良,5,5,１勝ｸﾗｽ,34.0,後方,3,3,29,阪神,T,1400,良,5,8,１勝ｸﾗｽ,34.4,先行,13,12,27,阪神,T,1800,良,11,12,１勝ｸﾗｽ,35.3,先行,3,12,6,阪神,T,1600,良,9,9,１勝ｸﾗｽ,34.2,逃げ,14
4,,6,,,,,ロードクラシコ,,牡,3,2,7,19,函館,T,1200,重,7,2,１勝ｸﾗｽ,36.5,逃げ,2,7,4,函館,T,1200,良,1,6,未勝利,34.7,逃げ,4,6,7,東京,T,1600,良,9,9,未勝利,35.4,先行,26,12,6,中京,T,1200,良,11,6,未勝利*,34.7,中団,15,8,23,新潟,T,1600,良,11,2,新馬,34.9,逃げ,初
5,,7,,,,,ブライアーヒル,,牝,4,5,6,27,函館,T,1200,稍,6,8,長万部特･1勝,34.1,後方,2,6,13,函館,T,1200,稍,7,7,１勝ｸﾗｽ,33.2,後方,13,3,15,中京,T,1200,良,17,16,１勝ｸﾗｽ,34.7,後方,3,2,22,小倉,T,1200,良,12,13,１勝ｸﾗｽ・牝,34.3,後方,3,2,1,小倉,T,1200,良,14,10,１勝ｸﾗｽ,35.5,中団,10
5,,8,,,,,アースコーリング,,牡,3,6,6,23,門別,D,1000,稍,2,3,リナリ,----,先行,2,6,9,門別,D,1000,重,6,5,日高地,----,先行,2,5,23,新潟,T,1000,稍,11,14,はやぶさ･1勝,33.4,後方,6,4,15,門別,D,1200,良,7,6,２５周,----,後方,23,11,5,門別,D,1000,稍,4,6,グラン,----,差し,連
6,B,9,,,,,アートフォーム,,牝,5,5,6,28,函館,T,1200,良,9,13,１勝ｸﾗｽ,34.3,後方,2,6,14,函館,T,1200,良,11,13,１勝ｸﾗｽ,34.0,後方,9,4,11,福島,T,1200,良,9,9,１勝ｸﾗｽ・牝,34.1,後方,9,2,7,小倉,T,1200,稍,9,12,１勝ｸﾗｽ・牝,34.9,中団,12,11,16,福島,T,1200,良,5,12,１勝ｸﾗｽ,34.5,中団,8
6,,10,,,,,シャインズオンユー,,牡,5,2,7,19,函館,T,1200,重,4,9,１勝ｸﾗｽ,34.8,差し,5,6,14,函館,T,1200,良,8,12,１勝ｸﾗｽ,33.7,後方,4,5,16,新潟,T,1400,良,13,11,１勝ｸﾗｽ,34.0,後方,3,4,25,京都,T,1400,良,13,16,１勝ｸﾗｽ,33.4,後方,連,4,19,福島,T,1200,良,14,13,須賀川特･1勝,33.4,後方,3
7,,11,,,,,ダブルチャレンジ,,牝,3,3,7,12,函館,T,1200,重,3,3,１勝ｸﾗｽ,36.1,先行,3,6,21,函館,T,1200,良,5,7,１勝ｸﾗｽ・牝,35.4,逃げ,4,5,23,新潟,T,1000,稍,16,6,はやぶさ･1勝,35.4,逃げ,12,2,28,小倉,T,1200,稍,1,1,未勝利,36.3,逃げ,連,2,21,小倉,T,1200,良,2,8,未勝利・牝,35.1,先行,2
7,,12,,,,,レッドカメリア,,牝,6,3,7,12,福島,T,1200,稍,5,11,１勝ｸﾗｽ,34.1,後方,連,7,4,福島,T,1200,良,7,13,１勝ｸﾗｽ・牝,34.5,後方,12,4,11,福島,T,1200,良,14,10,１勝ｸﾗｽ・牝,35.0,中団,10,1,31,小倉,T,1200,良,8,10,１勝ｸﾗｽ,33.9,中団,12,11,9,福島,T,1200,良,6,6,１勝ｸﾗｽ,34.5,中団,3
8,,13,,,,,ディーズメンフィス,,牝,3,5,6,28,函館,T,1200,良,3,4,１勝ｸﾗｽ,34.9,逃げ,2,6,13,函館,T,1200,稍,1,7,未勝利,34.6,逃げ,8,4,19,中山,D,1200,良,8,5,未勝利,38.4,先行,7,2,28,中山,D,1200,重,6,6,未勝利・牝,37.8,先行,27,8,23,札幌,T,1500,稍,4,8,新馬,37.2,ﾏｸﾘ,初
8,,14,,,,,ジーティーエスピ,,牡,4,連,7,25,札幌,T,1200,良,4,3,１勝ｸﾗｽ,34.4,差し,11,5,10,京都,T,1200,良,2,3,１勝ｸﾗｽ,33.6,先行,3,4,18,福島,T,1200,良,3,2,１勝ｸﾗｽ,34.2,差し,10,2,8,小倉,T,1200,良,8,1,１勝ｸﾗｽ,35.3,先行,4,1,10,京都,D,1200,良,6,1,１勝ｸﾗｽ,36.8,中団,7
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010409,2026.8.2,日,札幌,1札4,9,,2勝,ダート,1000,,2,稍(暫定),曇(暫定),12,14:20,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ヒットミー,,牝,4,3,7,12,函館,D,1000,不,2,7,噴火湾特･2勝,35.0,先行,4,6,14,函館,D,1000,良,1,4,１勝ｸﾗｽ・牝,34.8,差し,9,4,12,中山,D,1200,良,7,7,１勝ｸﾗｽ・牝,37.7,先行,4,3,15,中山,D,1200,良,2,9,１勝ｸﾗｽ・牝,36.9,差し,10,1,4,中山,D,1200,稍,14,6,１勝ｸﾗｽ・牝,39.2,中団,12
2,,2,,,,,デアプリームス,,牝,3,3,7,12,函館,D,1000,不,4,3,噴火湾特･2勝,35.4,逃げ,4,6,13,函館,D,1000,稍,1,2,１勝ｸﾗｽ,34.7,先行,14,3,8,中山,D,1200,稍,1,2,未勝利,37.7,先行,3,2,15,京都,D,1400,良,3,7,未勝利,38.9,先行,3,1,24,小倉,T,2000,良,10,9,新馬,35.0,中団,初
3,,3,,,,,エコロレバン,,牝,3,3,7,12,函館,D,1000,不,12,2,噴火湾特･2勝,35.8,後方,12,4,19,阪神,D,1200,良,1,5,１勝ｸﾗｽ*,37.0,逃げ,8,2,21,小倉,D,1000,良,1,2,未勝利,35.8,逃げ,4,1,24,小倉,D,1000,良,2,3,未勝利,36.7,先行,10,11,15,京都,D,1200,良,3,4,新馬,37.1,先行,初
4,,4,,,,,ベニシア,,牝,5,10,5,21,大井,D,1200,稍,11,10,メトロ,----,後方,6,4,11,中山,D,1200,稍,14,15,２勝ｸﾗｽ・牝,37.4,後方,7,2,22,小倉,D,1000,良,1,14,１勝ｸﾗｽ,36.5,逃げ,11,12,6,中山,D,1200,良,7,11,１勝ｸﾗｽ,36.8,中団,3,11,15,福島,D,1150,良,6,12,１勝ｸﾗｽ,37.6,中団,9
5,B,5,,,,,パールフロント,,牝,4,4,7,4,小倉,D,1000,不,2,4,雲仙特別･2勝,33.5,追込,12,4,12,福島,D,1150,良,7,2,喜多方特･2勝,36.7,中団,8,2,14,小倉,D,1000,良,5,2,伊万里特･2勝,35.5,中団,2,1,31,小倉,D,1000,良,4,3,有田特別･2勝,35.9,差し,10,11,22,福島,D,1150,良,4,3,福島放送･2勝,37.0,差し,3
5,,6,,,,,ストロングボンド,,セ,3,3,7,12,函館,D,1000,不,8,12,噴火湾特･2勝,35.0,後方,32,11,27,園田,D,1400,稍,12,8,兵庫ジG2,----,後方,2,11,16,福島,T,1200,良,16,16,福島２歳,36.7,中団,6,10,3,船橋,D,1200,良,1,3,フュー,----,逃げ,14,6,30,船橋,D,1200,良,4,1,黄雀風,----,逃げ,3
6,B,7,,,,,ララアヴリル,,セ,4,13,5,3,新潟,T,1000,良,11,5,邁進特Ｈ･2勝,33.6,中団,9,3,1,小倉,T,1200,良,14,8,西日本新･2勝,35.8,先行,2,2,14,小倉,D,1000,良,4,3,伊万里特･2勝,36.1,逃げ,2,1,31,小倉,D,1000,良,3,5,有田特別･2勝,36.4,先行,連,1,25,小倉,D,1000,良,1,1,１勝ｸﾗｽ,35.9,逃げ,12
6,B,8,,,,,アイアムイチバン,,牡,4,10,5,24,新潟,D,1200,稍,15,5,火打山特･2勝,38.3,後方,3,5,3,東京,D,1300,稍,3,3,２勝ｸﾗｽ,36.8,逃げ,3,4,12,福島,D,1150,良,4,4,喜多方特･2勝,37.4,先行,4,3,14,中山,D,1200,良,1,10,１勝ｸﾗｽ,37.0,先行,6,2,1,東京,D,1400,良,10,8,１勝ｸﾗｽ,38.6,中団,40
7,B,9,,,,,サベージラヴ,,牝,5,3,7,12,函館,D,1000,不,10,10,噴火湾特･2勝,35.7,中団,13,4,12,福島,D,1150,良,15,13,喜多方特･2勝,38.6,後方,34,8,17,札幌,D,1000,稍,4,4,大通公園･2勝,36.2,先行,5,7,13,函館,D,1000,良,4,8,噴火湾特･2勝,35.9,先行,2,6,28,函館,D,1000,稍,1,7,１勝ｸﾗｽ,35.9,逃げ,2
7,B,10,,,,,クインズシフォン,,牝,4,8,6,7,東京,D,1400,良,13,10,八王子特･2勝,38.2,先行,8,4,11,中山,D,1200,稍,6,6,２勝ｸﾗｽ・牝,36.6,中団,9,2,8,小倉,D,1000,良,1,4,１勝ｸﾗｽ,35.9,差し,3,1,17,中山,D,1200,良,3,9,１勝ｸﾗｽ,37.1,差し,3,12,28,中山,D,1200,良,5,6,１勝ｸﾗｽ,37.7,中団,13
8,B,11,,,,,ジーベック,,牡,5,3,7,11,函館,T,1200,稍,8,10,ＨＴＢ杯･2勝,34.4,後方,9,5,10,京都,D,1400,良,5,9,２勝ｸﾗｽ,37.0,中団,連,5,2,京都,D,1200,稍,7,11,京極特別･2勝,35.1,後方,連,4,26,東京,D,1400,稍,11,14,２勝ｸﾗｽ,37.1,中団,2,4,12,福島,D,1150,良,9,10,喜多方特･2勝,36.8,後方,9
8,,12,,,,,ビーマックス,,牡,4,3,7,12,函館,D,1000,不,3,8,噴火湾特･2勝,34.6,差し,13,4,11,阪神,D,1200,重,13,9,２勝ｸﾗｽ,36.8,中団,6,3,1,中山,D,1200,良,6,5,２勝ｸﾗｽ,37.2,先行,5,1,24,京都,D,1200,良,7,11,２勝ｸﾗｽ,37.0,中団,7,12,6,中京,D,1200,良,6,5,中京日経･2勝,36.9,先行,2
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080201010410,2026.8.2,日,札幌,1札4,10,ポプラＳ,3勝,ダート,1700,,4,稍(暫定),曇(暫定),14,14:50,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,サムシャイン,,牡,4,9,5,31,東京,D,1600,良,2,5,ＡＲＦ杯･3勝,35.7,差し,9,3,28,中山,D,1800,重,1,2,２勝ｸﾗｽ,37.6,先行,9,1,25,京都,D,1800,良,3,2,２勝ｸﾗｽ,36.0,追込,3,1,5,中山,D,1800,稍,10,1,初茜賞･2勝,40.6,先行,26,7,5,函館,D,1700,重,3,1,竜飛崎特･2勝,37.5,逃げ,2
2,,2,,,,,キュールエフウジン,,牡,7,6,6,21,阪神,D,1800,重,15,16,姫路Ｓ･3勝,39.7,後方,10,4,12,阪神,D,2000,良,12,13,梅田Ｓ･3勝,37.1,後方,2,3,29,中京,D,1900,良,13,15,伊勢ＳＨ･3勝,37.7,後方,15,12,14,阪神,D,2000,良,14,12,竹田城Ｈ･3勝,37.9,後方,6,11,1,京都,D,1800,重,10,11,ハロウィ･3勝,36.1,後方,3
3,B,3,,,,,タイセイミッション,,セ,5,5,6,28,福島,D,1700,良,6,6,鶴ヶ城Ｓ･3勝,38.4,先行,12,4,5,中山,D,1800,重,10,4,アリエＨ･3勝,39.2,先行,6,2,22,小倉,D,1700,良,1,3,和布刈特･2勝,37.4,先行,2,2,8,小倉,D,1700,良,3,6,由布院特･2勝,39.0,逃げ,8,12,13,中京,D,1800,良,7,5,鳴海特別･2勝,37.5,先行,4
4,,4,,,,,スマートケープ,,牝,6,3,7,12,福島,D,1700,稍,8,5,天の川Ｓ･3勝,38.8,逃げ,6,5,30,京都,D,1800,良,16,12,桃山ＳＨ･3勝,38.1,中団,41,8,16,札幌,D,1700,良,11,1,報知杯Ｈ･3勝,40.2,逃げ,2,8,2,札幌,D,1700,良,1,3,大倉山特･2勝,36.6,先行,4,7,5,福島,D,1700,良,2,3,横手特別･2勝,36.6,先行,11
5,,5,,,,,シーズザスローン,,牡,3,2,7,19,函館,D,1700,不,1,2,駒場特別･2勝,36.4,先行,2,7,4,函館,D,1700,良,1,1,１勝ｸﾗｽ,36.5,先行,2,6,21,函館,D,1700,良,2,1,１勝ｸﾗｽ,36.9,先行,12,3,28,阪神,T,1800,良,7,5,毎日杯G3,34.2,先行,5,2,22,東京,D,1600,良,7,5,ヒヤシン(L),39.1,先行,7
6,,6,,,,,チャーリー,,牡,3,6,6,21,函館,D,1700,良,1,1,檜山特別･2勝,36.7,先行,12,3,28,中山,D,1800,重,3,2,伏竜Ｓ,37.4,追込,4,3,1,中山,D,1800,稍,1,1,１勝ｸﾗｽ*,36.8,先行,6,1,21,船橋,D,1800,良,3,2,ブルーG3,----,先行,5,12,14,中山,D,1800,稍,5,3,１勝ｸﾗｽ*,37.7,後方,6
7,,7,,,,,スマートカイロス,,牡,4,16,4,12,阪神,D,1800,良,1,6,川西特別･2勝,36.6,逃げ,12,1,18,京都,D,1800,良,10,4,大津特別･2勝,37.7,中団,連,1,10,中山,D,1800,良,6,4,２勝ｸﾗｽ,38.4,中団,3,12,21,阪神,D,1800,重,5,6,２勝ｸﾗｽ,38.1,先行,連,12,13,中山,D,1800,良,10,5,２勝ｸﾗｽ,39.9,逃げ,9
7,,8,,,,,ヘニーガイスト,,牡,4,10,5,24,東京,D,1600,稍,1,1,三峰山特･2勝,35.3,先行,68,2,1,東京,D,1600,良,1,1,１勝ｸﾗｽ*,36.1,先行,3,1,12,中京,D,1400,良,4,2,１勝ｸﾗｽ*,36.1,追込,7,11,23,東京,D,1400,稍,1,1,新馬,35.1,差し,初,,,,,,,,,,,,
8,B,9,,,,,アイウィル,,牡,5,5,6,28,福島,D,1700,良,4,10,鶴ヶ城Ｓ･3勝,37.4,差し,18,2,21,小倉,D,1700,良,5,9,小倉城Ｓ･3勝,37.2,中団,2,2,7,小倉,D,1700,良,8,8,豊前ＳＨ･3勝,37.7,中団,2,1,25,小倉,D,1700,良,1,5,響灘特別･2勝,36.6,先行,3,1,5,中山,D,1800,稍,3,3,初茜賞･2勝,38.9,先行,10
8,,10,,,,,フルールドール,,牝,3,7,6,17,川崎,D,2100,稍,7,5,関東オG2,----,中団,9,4,12,阪神,T,2000,良,11,11,忘れな草(L),37.7,先行,17,12,17,川崎,D,1600,稍,7,4,全日本G1,----,中団,6,11,3,門別,D,1800,重,2,3,JBC２歳G3,----,先行,4,10,4,京都,D,1800,重,1,2,未勝利*,37.7,先行,9
