レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040901,2026.9.27,日,中山,4中9,1,,未勝利,ダート,1200,,2,重(暫定),曇(暫定),16,10:00,牝,馬齢,２歳
3,,5,,,,,ショウナンマリーナ,,牝,4,9,7,25,新潟,T,1400,良,12,16,１勝ｸﾗｽ・牝,34.5,中団,9,5,23,東京,T,1600,良,8,16,１勝ｸﾗｽ,35.8,逃げ,2,5,9,新潟,D,1800,稍,11,14,１勝ｸﾗｽ・牝,42.1,中団,4,4,12,福島,D,1700,良,8,13,１勝ｸﾗｽ・牝,38.8,中団,10,2,1,東京,D,1600,良,11,11,１勝ｸﾗｽ,39.3,先行,3
3,,6,,,,,デイジー,,牝,5,3,9,5,中山,T,1800,良,2,3,古作特別･1勝,34.4,先行,3,8,16,新潟,T,1800,良,2,5,１勝ｸﾗｽ,33.6,先行,18,4,11,福島,T,1800,良,12,2,浄土平特･1勝,36.8,中団,13,1,11,中山,T,1600,良,3,2,１勝ｸﾗｽ,35.2,先行,7,11,22,福島,T,1800,良,2,4,高湯温泉･1勝,34.7,先行,2
4,,7,,,,,スワローシチー,,牡,4,2,9,13,中山,T,1600,稍,7,11,１勝ｸﾗｽ,34.3,後方,7,7,25,新潟,T,1800,良,4,5,１勝ｸﾗｽ,33.5,差し,5,6,21,東京,T,1600,稍,8,7,１勝ｸﾗｽ,34.9,中団,2,6,7,東京,T,1600,良,2,3,１勝ｸﾗｽ,34.7,差し,10,3,29,中京,T,2200,良,8,5,１勝ｸﾗｽ,34.7,中団,5
4,,8,,,,,ジャグアール,,牡,5,3,9,5,中山,T,1800,良,11,10,古作特別･1勝,34.4,後方,7,7,19,福島,T,1800,良,13,11,１勝ｸﾗｽ,35.8,中団,2,7,5,福島,T,1800,良,2,5,１勝ｸﾗｽ,34.2,先行,8,5,9,新潟,T,1800,良,7,6,粟島特別･1勝,36.8,先行,3,4,19,福島,T,1800,良,3,9,１勝ｸﾗｽ,34.6,差し,9
5,,9,,,,,ポッドロルフ,,牡,4,10,7,19,福島,T,1800,良,9,9,１勝ｸﾗｽ,35.6,中団,4,6,21,東京,T,1600,稍,5,9,１勝ｸﾗｽ,34.7,中団,3,5,31,東京,T,1800,良,4,4,１勝ｸﾗｽ,34.7,先行,7,4,12,中山,T,1600,良,6,8,１勝ｸﾗｽ,35.0,先行,4,3,14,中京,T,1600,良,2,13,１勝ｸﾗｽ,34.1,差し,9
5,,10,,,,,デスサイズ,,牡,3,6,8,15,新潟,T,1400,良,18,2,１勝ｸﾗｽ,34.7,後方,10,6,7,東京,T,1600,良,7,5,１勝ｸﾗｽ,35.3,逃げ,3,5,17,東京,D,1400,良,1,1,未勝利,37.4,逃げ,8,3,22,中山,D,1200,良,3,1,未勝利,38.3,先行,3,2,28,中山,D,1200,重,2,2,未勝利,36.9,先行,4
6,B,11,,,,,シックスパック,,牡,4,4,8,30,札幌,D,1700,稍,9,9,１勝ｸﾗｽ,38.5,先行,14,5,23,東京,D,1400,稍,14,7,１勝ｸﾗｽ,36.5,先行,25,11,28,笠松,D,1400,良,1,1,平湯温,----,先行,4,11,5,笠松,D,1400,良,1,1,Ｃ１９,----,先行,8,9,7,阪神,T,2000,良,9,12,未勝利,37.2,先行,9
6,,12,,,,,ニシノコマチムスメ,,牝,5,4,8,30,新潟,T,1800,稍,5,8,１勝ｸﾗｽ・牝,35.1,中団,4,8,2,新潟,T,1800,良,11,12,五頭連峰･1勝,33.3,後方,3,7,12,福島,T,1800,稍,3,14,織姫賞･1勝,35.4,追込,11,4,25,福島,T,1800,良,10,9,１勝ｸﾗｽ・牝,36.9,中団,9,2,21,小倉,T,1800,良,10,6,１勝ｸﾗｽ・牝,35.7,後方,2
7,,13,,,,,ナハトナナレオン,,牝,3,2,9,13,中山,T,1600,稍,3,3,１勝ｸﾗｽ,34.8,差し,7,7,26,札幌,T,1500,良,2,2,１勝ｸﾗｽ,34.8,先行,17,3,28,中山,T,1600,稍,1,2,未勝利,35.4,逃げ,4,3,1,中山,T,1600,良,3,5,未勝利,34.9,先行,4,1,31,京都,T,1600,良,4,7,未勝利,36.0,先行,4
7,,14,,,,,カイトグート,,牝,5,3,9,6,中山,T,1200,重,12,12,１勝ｸﾗｽ,36.3,後方,12,6,13,函館,T,1200,稍,6,8,１勝ｸﾗｽ,34.1,先行,5,5,10,新潟,T,1200,良,9,11,１勝ｸﾗｽ,34.2,後方,15,1,24,中山,T,1600,良,11,9,１勝ｸﾗｽ,35.3,中団,6,12,14,中京,T,1600,稍,6,12,１勝ｸﾗｽ,34.6,中団,5
8,,15,,,,,ジーティーシンドウ,,牡,3,24,4,11,中山,T,1600,良,9,9,ニュージG2,34.5,中団,3,3,21,中山,T,1600,良,4,2,１勝ｸﾗｽ*,34.8,先行,11,1,4,中山,T,1600,良,3,3,ジュニア(L),35.1,先行,3,12,14,中山,T,1600,稍,1,1,新馬,35.6,先行,初,,,,,,,,,,,,
8,,16,,,,,サンヴィクトワール,,牝,3,36,1,18,中山,T,1600,良,1,1,未勝利・牝,34.7,差し,4,12,20,中山,T,1800,良,2,1,未勝利*,35.0,逃げ,3,11,30,東京,T,1800,良,3,3,新馬,33.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040908,2026.9.27,日,中山,4中9,8,,2勝,ダート,1800,,4,重(暫定),曇(暫定),16,13:55,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ヴォルスター,,牡,5,6,8,16,新潟,D,1800,良,8,10,瀬波温泉･2勝,40.0,先行,12,5,24,新潟,S,2890,稍,11,11,障害未勝利,13.9,中団,3,5,2,新潟,S,2890,重,12,10,障害未勝利,13.8,中団,6,3,21,阪神,D,1800,良,11,12,２勝ｸﾗｽ,40.0,後方,2,3,8,中山,D,1800,稍,10,11,２勝ｸﾗｽ,41.4,逃げ,3
2,,2,,,,,ロードソルスティス,,牡,4,8,8,2,新潟,D,1800,良,14,7,苗場特別･2勝,40.7,逃げ,17,4,4,中山,D,1800,重,1,5,１勝ｸﾗｽ,37.0,先行,3,3,15,中山,D,1800,良,3,8,１勝ｸﾗｽ,38.7,差し,2,2,28,中山,D,1800,重,5,8,１勝ｸﾗｽ,40.3,中団,21,10,4,東京,D,1600,良,13,7,１勝ｸﾗｽ,37.6,後方,14
2,,3,,,,,アンティミスト,,牡,3,11,7,11,福島,D,1700,良,1,5,１勝ｸﾗｽ,37.4,先行,3,6,21,東京,D,1400,重,5,7,１勝ｸﾗｽ,35.4,中団,10,4,12,阪神,D,1400,稍,6,11,１勝ｸﾗｽ*,36.3,中団,5,3,7,中山,D,1200,重,3,10,１勝ｸﾗｽ*,37.6,追込,8,1,11,中山,D,1200,良,10,10,１勝ｸﾗｽ*,38.3,後方,2
3,,4,,,,,マリンバンカー,,牡,5,21,5,2,東京,D,1600,稍,10,8,２勝ｸﾗｽ,36.7,中団,3,4,11,中山,D,1800,稍,1,2,１勝ｸﾗｽ,38.1,先行,2,3,29,中山,D,1800,稍,3,1,１勝ｸﾗｽ,39.5,先行,4,2,28,中山,D,1800,重,2,2,１勝ｸﾗｽ,39.3,先行,連,2,21,東京,D,1600,良,3,10,１勝ｸﾗｽ,35.9,差し,4
3,B,5,,,,,ブレードサクセス,,牡,5,2,9,13,中山,D,1800,稍,7,4,２勝ｸﾗｽ,39.4,逃げ,4,8,16,新潟,D,1800,良,11,2,瀬波温泉･2勝,40.7,逃げ,20,3,28,中山,D,1800,重,4,3,２勝ｸﾗｽ,38.7,逃げ,2,3,15,中山,D,1800,良,1,2,１勝ｸﾗｽ,39.1,逃げ,7,1,25,中山,D,1800,良,8,2,１勝ｸﾗｽ,41.7,逃げ,2
4,,6,,,,,テーオーライマン,,牡,4,13,6,28,小倉,D,1700,稍,5,2,西部日Ｈ･2勝,38.9,先行,5,5,24,京都,D,1800,良,5,3,２勝ｸﾗｽ,37.8,中団,3,5,3,京都,D,1800,稍,5,3,六波羅特･2勝,37.2,中団,6,3,22,中京,D,1900,良,9,1,弥富特別･2勝,38.1,中団,3,2,28,小倉,D,1700,重,2,3,早鞆特Ｈ･2勝,37.5,差し,10
4,,7,,,,,コスモオピニオン,,牡,6,3,9,6,札幌,D,1700,良,12,10,旭川特別･2勝,38.7,中団,25,3,15,中山,T,1600,良,8,5,２勝ｸﾗｽ,34.2,後方,2,2,28,中山,T,1600,良,4,6,２勝ｸﾗｽ,34.9,差し,2,2,15,東京,T,1600,良,6,12,２勝ｸﾗｽ,33.4,後方,6,1,5,中山,T,2000,良,8,8,初日の出･2勝,34.7,中団,3
5,B,8,,,,,ホークライト,,セ,4,17,5,30,東京,D,2100,良,7,3,２勝ｸﾗｽ,39.6,先行,9,3,28,中山,D,1800,重,16,1,２勝ｸﾗｽ,40.3,後方,3,3,7,中山,D,1800,重,1,1,１勝ｸﾗｽ,37.8,先行,7,1,18,中山,D,1800,良,2,1,１勝ｸﾗｽ,38.6,先行,3,12,27,中山,D,1800,稍,2,1,１勝ｸﾗｽ,38.3,ﾏｸﾘ,8
5,,9,,,,,タイヨウフレア,,牝,4,3,9,6,札幌,D,1700,良,8,12,旭川特別･2勝,37.3,後方,7,7,19,函館,T,1800,重,13,12,かもめ島･2勝,38.9,後方,4,6,21,函館,D,1700,良,7,9,檜山特別･2勝,38.1,先行,連,6,14,函館,D,1700,良,8,11,津軽海Ｈ･2勝,37.5,中団,8,4,19,中山,D,1800,良,11,11,利根川特･2勝,39.3,後方,8
6,,10,,,,,フクチャントウメイ,,セ,5,8,8,2,新潟,D,1800,良,8,14,苗場特別･2勝,37.6,後方,8,6,7,東京,D,1400,良,9,12,八王子特･2勝,36.8,後方,15,2,22,東京,D,1400,良,10,15,大島特別･2勝,36.5,後方,12,11,30,東京,D,1400,良,16,15,アプロー･2勝,37.9,後方,8,10,4,東京,D,1400,良,14,9,２勝ｸﾗｽ,37.6,中団,20
6,,11,,,,,メディチパワー,,牡,3,3,9,6,中山,D,1800,不,1,3,１勝ｸﾗｽ,37.6,先行,5,8,2,新潟,D,1800,良,6,2,１勝ｸﾗｽ,38.7,後方,10,5,23,東京,D,1600,重,4,9,１勝ｸﾗｽ*,35.1,差し,5,4,18,中山,D,1800,良,1,5,未勝利,38.9,先行,2,4,4,中山,D,1800,稍,2,6,未勝利,38.1,先行,3
7,,12,,,,,シューティングガイ,,牡,3,12,7,4,福島,D,1700,稍,1,2,１勝ｸﾗｽ,37.4,逃げ,8,5,10,東京,D,2100,良,15,9,１勝ｸﾗｽ*,39.3,後方,4,4,11,福島,D,1700,良,1,2,未勝利,37.9,先行,20,11,24,東京,D,1600,良,4,3,未勝利*,37.9,先行,2,11,8,福島,D,1700,良,3,7,未勝利*,39.3,逃げ,8
7,B,13,,,,,ピコシー,,牡,4,4,8,30,新潟,D,1800,良,5,8,両津湾特･2勝,38.5,中団,6,7,18,福島,D,1700,良,5,5,米沢特別･2勝,38.4,中団,13,4,19,中山,D,1800,良,6,5,利根川特･2勝,38.1,後方,2,4,4,中山,D,1800,重,3,4,千葉日報･2勝,37.3,差し,12,1,10,中山,D,1800,良,4,5,２勝ｸﾗｽ,37.8,差し,4
8,,14,,,,,レッドライトニング,,牡,5,5,8,23,札幌,D,1700,良,4,6,WASJ第３･2勝,37.3,ﾏｸﾘ,7,7,4,函館,D,1700,良,11,8,竜飛崎特･2勝,38.5,中団,2,6,21,函館,D,1700,良,3,3,檜山特別･2勝,37.6,先行,9,4,18,福島,D,1700,良,2,6,ラジオＨ･2勝,37.9,ﾏｸﾘ,9,2,15,東京,T,1600,良,8,11,２勝ｸﾗｽ,34.3,中団,5
8,,15,,,,,ドゥマーヴェリック,,牡,4,13,6,27,福島,D,1700,稍,3,1,いわき特･2勝,37.1,先行,10,4,19,中山,D,1800,良,3,4,利根川特･2勝,37.8,先行,4,3,22,中山,D,1800,良,1,1,１勝ｸﾗｽ,38.1,先行,8,1,25,中山,D,1800,良,4,1,１勝ｸﾗｽ,40.5,先行,2,1,11,中山,D,1800,良,2,2,１勝ｸﾗｽ,38.9,先行,10
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040909,2026.9.27,日,中山,4中9,9,サフラン賞,1勝,芝,1600,C,3,重(暫定),曇(暫定),16,14:25,牝,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,リリカルフレア,,牝,2,9,7,26,新潟,T,1400,良,1,1,未勝利・牝*,34.9,差し,7,6,6,東京,T,1400,良,2,1,新馬,34.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,シルクドマルス,,牝,2,10,7,18,福島,T,1800,良,1,1,新馬・牝,35.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,シルバーウィル,,牝,2,7,8,8,札幌,T,1800,稍,1,3,新馬,35.2,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,シュヴァルツペルレ,,牝,2,3,9,5,札幌,T,1500,稍,1,6,新馬,35.1,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,セプタードアイル,,牝,2,9,7,25,新潟,T,1600,良,1,5,新馬・牝,32.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,ユーダブルワン,,牝,2,10,7,19,小倉,T,1800,良,1,3,新馬,35.3,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,リサナウト,,牝,2,11,7,12,福島,T,1800,稍,1,1,新馬,35.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040910,2026.9.27,日,中山,4中9,10,茨城新聞杯,2勝,芝,2000,C,4,重(暫定),曇(暫定),18,15:00,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,スイートオレンジ,,牝,4,4,8,30,中京,T,2200,良,5,9,熊野特別･2勝,34.4,先行,4,8,1,新潟,T,2200,良,1,3,燕特別･1勝,34.0,差し,2,7,19,福島,T,1800,良,2,7,１勝ｸﾗｽ,35.4,差し,10,5,10,新潟,T,2400,良,7,5,荒川峡特･1勝,36.2,中団,3,4,18,福島,T,2000,良,5,2,桑折特別･1勝,34.0,中団,5
1,,2,,,,,プリズマジコ,,牡,5,6,8,15,新潟,T,2200,良,止,13,阿賀野川･2勝,----,,5,7,12,小倉,T,2000,良,5,2,西部スＨ･2勝,36.5,後方,6,5,31,東京,T,2400,良,10,12,青嵐賞･2勝,33.8,中団,13,2,28,小倉,T,2000,稍,13,7,別府特別･2勝,37.3,中団,18,10,25,京都,T,1800,良,8,6,２勝ｸﾗｽ,34.1,後方,11
2,,3,,,,,フナデ,,牡,5,3,9,6,札幌,T,1800,良,10,10,ＨＴＢ賞･2勝,35.8,後方,8,7,12,函館,T,1800,重,6,11,北海Ｈ･2勝,35.3,中団,15,3,28,中山,T,2000,稍,11,11,２勝ｸﾗｽ,35.3,後方,4,2,28,小倉,T,2000,稍,11,5,別府特別･2勝,37.3,先行,3,2,7,小倉,T,1800,稍,5,7,ＲＫＢ賞･2勝,35.1,後方,8
2,,4,,,,,コスモイシュタル,,牝,4,10,7,19,福島,T,2000,良,3,4,猪苗代特･2勝,35.3,先行,3,6,28,福島,T,2000,良,3,4,松島特別･2勝,35.0,差し,5,5,24,東京,T,1800,良,3,4,国分寺Ｈ･2勝,34.4,先行,3,5,2,新潟,T,1800,稍,3,4,胎内川特･2勝,34.7,差し,3,4,12,福島,T,2000,良,1,4,１勝ｸﾗｽ・若,35.1,先行,3
3,,5,,,,,ハニードレス,,牝,4,4,8,29,札幌,T,2000,稍,3,7,札幌日刊･2勝,36.8,差し,6,7,19,函館,T,1800,重,6,9,かもめ島･2勝,36.4,中団,11,5,2,新潟,T,1800,稍,12,6,胎内川特･2勝,35.6,中団,10,2,21,小倉,T,1800,良,1,3,１勝ｸﾗｽ・牝,35.6,差し,10,12,14,中山,T,1800,稍,6,9,１勝ｸﾗｽ,36.1,先行,8
3,,6,,,,,ミツカネベネラ,,牝,3,18,5,24,東京,T,2400,良,16,18,優駿牝馬G1,33.9,後方,3,5,2,東京,T,1800,良,6,11,スイート(L),34.4,逃げ,11,2,14,東京,T,1600,良,14,12,クイーンG3,34.7,後方,9,12,14,阪神,T,1600,良,12,8,阪神ジュG1,35.5,中団,7,10,25,東京,T,1600,稍,2,9,アルテミG3,34.0,先行,8
4,,7,,,,,ドナルンバ,,牝,3,11,7,11,福島,T,2000,良,1,1,１勝ｸﾗｽ,34.6,先行,10,5,2,東京,T,1800,良,3,4,スイート(L),33.9,先行,5,3,29,中山,T,2000,良,2,1,ミモザ賞･1勝,34.4,先行,4,2,28,中山,T,1800,良,2,4,１勝ｸﾗｽ・牝*,35.7,先行,5,1,25,中山,T,1800,良,4,8,若竹賞･1勝*,35.2,先行,13
4,,8,,,,,ベネスピラ,,牡,4,5,8,23,札幌,T,1800,良,12,7,WASJ第４･2勝,37.4,先行,10,6,13,函館,T,1800,稍,11,6,松前特別･2勝,37.0,先行,4,5,17,新潟,T,2000,良,1,1,１勝ｸﾗｽ,34.2,逃げ,4,4,18,中山,T,2000,良,4,2,１勝ｸﾗｽ,34.9,先行,2,4,4,中山,T,2000,良,2,6,１勝ｸﾗｽ,35.8,先行,7
5,,9,,,,,ルージュボヤージュ,,牝,3,13,6,28,福島,T,1800,良,10,5,ラジオNIＨG3,35.0,先行,10,4,18,中山,T,1800,良,1,2,１勝ｸﾗｽ・牝*,33.1,逃げ,8,2,22,東京,T,1600,良,5,4,１勝ｸﾗｽ*,35.3,先行,32,7,13,福島,T,1800,良,1,1,新馬,35.7,先行,初,,,,,,,,,,,,
5,B,10,,,,,サンライズバブル,,牡,4,2,9,13,阪神,T,2000,良,4,6,能勢特別･2勝,34.3,差し,21,4,18,中山,T,2000,良,1,5,１勝ｸﾗｽ,34.3,先行,3,3,29,中京,T,2200,良,7,3,１勝ｸﾗｽ,34.3,後方,2,3,14,中京,T,2200,良,4,4,鶴舞特別･1勝,35.3,追込,3,2,22,阪神,T,2400,良,5,5,１勝ｸﾗｽ,35.3,先行,2
6,,11,,,,,アイキャンドウイッ,,牡,7,5,8,23,中京,T,1600,良,8,12,有松特別･2勝,33.9,中団,47,9,28,中山,T,2000,良,11,8,茨城新聞･2勝,34.4,後方,12,7,6,福島,T,1800,良,6,4,白河特別･2勝,35.9,中団,2,6,22,阪神,T,2000,良,4,3,高砂特別･2勝,36.1,先行,11,4,5,中山,T,1600,良,4,6,２勝ｸﾗｽ,34.9,先行,5
6,,12,,,,,ダノンカゼルタ,,セ,4,3,9,6,阪神,T,1600,良,6,4,武田尾特･2勝,35.0,先行,8,7,12,小倉,T,2000,良,2,4,西部スＨ･2勝,36.4,先行,3,6,21,阪神,T,2000,稍,4,5,高砂特別･2勝,36.7,先行,3,5,31,東京,T,2400,良,12,9,青嵐賞･2勝,36.0,逃げ,3,5,9,京都,T,2000,良,5,5,鴨川特別･2勝,34.7,中団,6
7,,13,,,,,ジェットブレード,,牡,4,4,8,30,中京,T,2200,良,4,14,熊野特別･2勝,34.3,逃げ,6,7,19,福島,T,2000,良,10,7,猪苗代特･2勝,36.4,中団,9,5,17,新潟,T,2000,良,6,12,信濃川特･2勝,33.5,中団,3,4,26,京都,T,2200,良,10,6,比良山Ｈ･2勝,36.1,先行,4,3,28,中京,T,2200,良,4,6,ターフオ･2勝,33.4,差し,2
7,,14,,,,,レイヤードレッド,,牡,4,連,9,19,中山,T,2500,良,6,11,九十九里･2勝,36.6,先行,8,7,25,札幌,T,2600,良,9,8,ライラッ･2勝,36.4,中団,2,7,12,函館,T,1800,重,8,12,北海Ｈ･2勝,35.4,中団,2,6,27,函館,T,2000,稍,7,6,洞爺湖特･2勝,35.6,中団,2,6,13,函館,T,1800,稍,7,9,松前特別･2勝,34.6,中団,11
7,,15,,,,,マイネルバーテクス,,牡,5,4,8,29,札幌,T,2000,稍,11,14,札幌日刊･2勝,38.2,中団,41,11,16,東京,T,1800,良,4,11,２勝ｸﾗｽ,33.8,先行,3,10,25,京都,T,1800,良,6,12,２勝ｸﾗｽ,34.3,中団,7,9,7,札幌,T,1800,稍,11,13,ＨＴＢ賞･2勝,37.2,後方,連,8,30,札幌,T,2000,稍,8,8,札幌日刊･2勝,37.3,中団,4
8,,16,,,,,トレミニョン,,牝,5,10,7,19,函館,T,1800,重,9,10,かもめ島･2勝,35.8,後方,5,6,13,函館,T,1800,稍,4,13,松前特別･2勝,34.5,差し,12,3,21,中山,T,1800,良,12,7,館山特Ｈ･2勝,35.0,先行,10,1,11,中山,T,1800,良,8,7,初咲賞･2勝,34.7,後方,18,9,7,札幌,T,1800,稍,8,8,ＨＴＢ賞･2勝,37.4,先行,2
8,,17,,,,,マテンロウギフト,,牡,4,18,5,24,京都,T,1800,良,消,--,聖護院特･2勝,----,,15,2,7,小倉,T,1800,稍,8,2,ＲＫＢ賞･2勝,35.8,中団,12,11,15,福島,T,1800,良,1,6,土湯温泉･1勝,35.9,先行,7,9,28,阪神,T,1800,良,8,7,１勝ｸﾗｽ,34.5,中団,11,7,13,小倉,T,1800,良,1,1,未勝利,35.8,差し,4
8,,18,,,,,ジャンビ,,牝,5,4,8,29,新潟,T,2000,稍,11,14,赤倉特Ｈ･2勝,34.6,後方,3,8,8,新潟,T,1800,良,5,8,三面川特･2勝,33.0,中団,12,5,17,新潟,T,2000,良,15,9,信濃川特･2勝,33.9,後方,4,4,19,中山,T,2000,良,11,11,野島崎特･2勝,34.1,後方,5,3,14,中山,T,2000,良,6,9,房総特別･2勝,34.7,後方,15
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092706040911,2026.9.27,日,中山,4中9,11,スプリンターズＳ,Ｇ１,芝,1200,C,2,重(暫定),曇(暫定),16,15:40,,定量,３上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,レッドモンレーヴ,,牡,7,3,9,6,阪神,T,1200,良,16,7,セントウG2,32.6,後方,23,3,29,中京,T,1200,良,2,15,高松宮記G1,32.5,差し,7,2,10,東京,T,1600,良,8,10,東京新聞G3,32.9,後方,12,11,16,東京,T,1400,良,2,3,オーロＨ(L),32.5,追込,5,10,13,京都,T,1400,良,9,15,スワンＳG2,33.0,後方,18
1,,2,,,,,アイサンサン,,牝,4,19,5,17,東京,T,1600,良,13,13,ヴィクトG1,32.9,後方,8,3,22,中京,T,1400,良,1,12,愛知杯G3,34.2,逃げ,4,2,22,阪神,T,1400,良,1,2,戎橋Ｓ･3勝,34.1,逃げ,3,2,1,東京,T,1400,良,6,5,節分Ｓ･3勝,34.2,先行,12,11,8,京都,T,1600,良,10,3,清水Ｓ･3勝,34.6,先行,4
2,,3,,,,,ママコチャ,,牝,7,3,9,6,阪神,T,1200,良,3,5,セントウG2,33.4,差し,11,6,24,浦和,D,1400,稍,5,4,さきたG1,----,先行,10,4,15,大井,D,1200,良,5,3,東京スG3,----,中団,2,3,29,中京,T,1200,良,9,4,高松宮記G1,32.8,後方,4,2,28,中山,T,1200,良,4,3,オーシャG3,34.3,差し,17
2,,4,,,,,ジューンブレア,,牝,5,26,3,29,中京,T,1200,良,17,6,高松宮記G1,35.4,先行,13,12,27,阪神,T,1400,良,11,2,阪神カッG2,35.9,逃げ,13,9,28,中山,T,1200,良,2,7,スプリンG1,33.2,逃げ,7,8,10,中京,T,1200,良,2,1,ＣＢＣ賞ＨG3,33.0,差し,8,6,14,函館,T,1200,良,2,3,函館スプG3,33.7,先行,15
3,,5,,,,,サウンドモリアーナ,,牝,4,5,8,23,札幌,T,1200,良,1,5,キーンラG3,33.6,先行,7,7,5,小倉,T,1200,重,6,8,北九州記ＨG3,35.2,先行,10,4,26,福島,T,1200,良,1,3,モルガナＨ,33.7,先行,4,3,29,中山,T,1200,良,1,7,船橋Ｓ･3勝,34.1,逃げ,13,12,28,阪神,T,1200,良,3,6,カウント･3勝,33.6,逃げ,5
3,,6,,,,,ワールズエンド,,牡,5,16,6,7,東京,T,1600,良,2,7,安田記念G1,34.2,逃げ,5,5,2,東京,T,1400,良,1,3,京王杯スG2,33.4,逃げ,20,12,13,阪神,T,1600,良,2,2,リゲルＳ(L),33.5,先行,9,10,13,京都,T,1400,良,8,1,スワンＳG2,34.3,逃げ,11,7,26,新潟,T,1400,良,1,1,新潟日報･3勝,33.2,逃げ,28
