レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062102010401,2026.6.21,日,函館,1函4,1,,未勝利,芝,1200,A,2,良(暫定),曇(暫定),16,09:50,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ステキサプライズ,,牡,3,9,4,19,中山,D,1200,良,12,8,未勝利,38.4,中団,10,2,7,東京,D,1300,良,12,14,未勝利,39.0,中団,3,1,18,中山,D,1200,良,5,10,未勝利,39.1,中団,4,12,21,中山,T,1600,重,14,10,未勝利*,39.1,先行,12,9,28,中山,T,1200,良,9,9,未勝利*,33.6,後方,12
2,,2,,,,,ユーベルジーク,,牝,3,4,5,24,東京,D,1300,稍,11,10,未勝利,39.4,中団,6,4,12,福島,T,1200,良,9,8,未勝利,35.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,エコロデュラン,,牡,3,4,5,23,京都,T,1200,良,9,12,未勝利,34.5,中団,10,3,15,阪神,D,1200,良,12,9,未勝利,39.9,先行,2,3,1,小倉,D,1000,稍,11,5,未勝利,37.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,B,4,,,,,マーマレードスカイ,,牝,3,7,5,2,東京,D,1400,重,16,3,未勝利・牝,40.2,先行,4,4,4,中山,D,1200,稍,4,5,未勝利・牝,37.4,差し,2,3,21,中山,D,1200,良,2,4,未勝利・牝,38.9,先行,14,12,14,中山,D,1200,稍,5,6,新馬,38.5,先行,初,,,,,,,,,,,,
5,,5,,,,,ソパデアホ,,牡,3,6,5,10,東京,D,1400,良,12,12,未勝利,38.3,後方,6,3,28,中京,D,1400,稍,12,11,未勝利,39.7,中団,7,2,7,東京,T,1800,良,16,8,新馬,37.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,,,,,シェイプオブユー,,牝,3,8,4,26,福島,D,1150,良,4,2,未勝利・牝,38.7,逃げ,2,4,11,福島,D,1150,良,2,7,未勝利,37.8,逃げ,20,11,24,福島,D,1150,良,5,5,未勝利*,39.0,先行,5,10,18,京都,D,1400,稍,6,10,新馬,38.7,逃げ,連,10,11,京都,T,1400,良,消,--,新馬・牝,----,,初
6,,7,,,,,カッサンドラ,,牝,3,8,4,26,福島,D,1150,良,6,4,未勝利・牝,38.7,中団,10,2,14,小倉,D,1000,良,6,8,未勝利,36.5,中団,3,1,24,小倉,D,1000,良,5,10,未勝利,36.2,中団,10,11,16,東京,T,1400,良,18,8,未勝利・牝*,36.7,逃げ,7,9,28,阪神,T,1400,良,8,10,未勝利・牝*,35.4,中団,7
6,,8,,,,,コウユーネロガ,,牝,3,6,5,10,新潟,T,1000,良,4,7,未勝利,33.6,差し,11,2,21,小倉,D,1000,良,7,7,未勝利,37.2,先行,2,2,7,小倉,D,1000,良,3,4,未勝利,36.6,先行,2,1,24,小倉,D,1000,良,4,9,未勝利,36.7,差し,9,11,22,京都,D,1200,良,9,12,未勝利・牝*,37.5,中団,8
7,,9,,,,,ライトオブジアース,,牝,3,5,5,17,新潟,D,1800,良,12,2,未勝利・牝,43.6,逃げ,21,12,20,中京,T,1600,稍,11,4,未勝利・牝*,36.7,先行,10,10,11,京都,T,1400,良,16,2,新馬・牝,34.6,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
7,B,10,,,,,ワイドアルバ,,牡,3,連,6,13,函館,D,1000,稍,9,8,未勝利,35.1,後方,8,4,18,福島,D,1150,良,6,7,未勝利,37.8,先行,10,2,7,小倉,D,1000,良,6,5,未勝利,36.2,後方,5,1,4,京都,D,1200,良,12,11,未勝利,38.4,先行,6,11,24,福島,D,1150,良,7,9,未勝利*,38.5,中団,6
8,,11,,,,,ラブデウザ,,牝,3,8,4,26,福島,D,1150,良,9,9,未勝利・牝,37.5,中団,5,3,21,中山,D,1200,良,6,5,未勝利・牝,39.5,先行,3,3,1,小倉,D,1000,稍,4,13,未勝利,35.9,差し,4,1,29,佐賀,D,1400,良,6,2,ノカイ,----,中団,11,11,15,東京,D,1400,良,11,8,未勝利・牝*,40.8,先行,3
8,,12,,,,,グレイトソン,,牡,3,7,5,2,京都,D,1200,重,2,1,未勝利,35.8,逃げ,2,4,18,阪神,D,1200,良,2,3,未勝利,36.5,逃げ,2,4,5,阪神,D,1200,重,2,5,未勝利,36.5,逃げ,12,1,12,京都,D,1200,良,6,11,未勝利,38.4,先行,3,12,20,阪神,D,1800,良,9,16,新馬,39.9,逃げ,初
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062102010404,2026.6.21,日,函館,1函4,4,,未勝利,芝,1800,A,4,良(暫定),曇(暫定),16,11:20,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ベアサナエチャン,,牝,3,4,5,24,東京,T,1600,良,3,4,未勝利・牝,34.0,差し,3,5,3,東京,T,1600,良,5,2,未勝利,33.8,中団,3,4,11,中山,T,1600,良,4,5,未勝利,35.2,先行,7,2,21,東京,T,1600,良,5,5,未勝利,33.9,後方,3,1,31,東京,T,1600,良,4,3,未勝利,34.7,差し,4
1,,2,,,,,ワダツミ,,牝,3,5,5,17,京都,T,1600,良,10,16,未勝利・牝,34.5,後方,18,1,11,京都,T,1800,良,13,18,未勝利,35.1,中団,3,12,20,阪神,T,1600,良,16,14,新馬・牝,34.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
2,B,3,,,,,コスモクラシック,,牡,3,10,4,12,福島,T,1800,良,15,3,未勝利,36.8,先行,20,11,22,福島,T,1800,良,13,5,未勝利*,37.0,中団,2,11,8,京都,T,1800,良,5,5,未勝利*,35.0,先行,5,10,5,東京,T,1800,良,4,6,未勝利*,34.8,先行,3,9,15,中山,T,1800,良,2,4,未勝利*,35.0,先行,3
2,,4,,,,,エイシンインアウト,,牡,3,17,2,21,阪神,D,1800,良,5,2,未勝利,37.9,中団,3,2,1,小倉,D,1700,良,4,6,未勝利,38.5,追込,3,1,12,京都,D,1800,良,3,10,新馬,37.4,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
