レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020401,2026.3.8,日,中山,2中4,1,,未勝利,ダート,1800,,4,稍,晴,16,10:05,牝,馬齢,３歳
8,,15,,,,,ベルオーシャン,,牝,3,10,12,27,中山,D,1200,稍,5,7,未勝利・牝*,38.2,中団,10,10,19,新潟,T,1400,稍,3,14,新馬,36.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,アイアンクラッド,,牡,3,10,12,27,中山,D,1200,稍,8,3,新馬,39.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020403,2026.3.8,日,中山,2中4,3,,未勝利,ダート,1800,,4,稍,晴,16,11:05,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アイムスティルミー,,セ,3,3,2,15,東京,D,2100,良,2,9,未勝利,37.8,差し,3,1,24,小倉,T,1800,良,16,12,未勝利,37.6,後方,11,11,9,東京,T,1800,良,11,10,未勝利*,36.6,中団,5,10,4,東京,T,2000,良,5,7,未勝利*,35.5,逃げ,3,9,15,中山,T,1800,良,6,6,未勝利*,35.3,先行,6
2,,2,,,,,マイネルゼーロス,,牡,3,4,2,8,小倉,D,1700,良,2,9,未勝利,40.6,先行,連,2,1,小倉,D,1700,良,5,7,未勝利,39.3,中団,4,1,5,中山,T,2000,良,11,15,未勝利,36.9,先行,11,10,18,新潟,T,1600,良,7,7,未勝利*,34.1,後方,4,9,21,中山,T,1800,良,5,3,未勝利*,36.2,先行,2
3,,3,,,,,ラッキースウィッチ,,牡,3,10,12,27,中山,T,2000,良,11,8,未勝利*,37.2,先行,2,12,14,中山,T,2000,稍,2,13,未勝利*,36.9,先行,12,9,21,中山,T,2000,良,9,5,新馬,35.8,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,カスターニエ,,牝,3,5,2,1,東京,D,1600,良,9,12,未勝利・牝,38.4,後方,5,12,27,中山,D,1200,稍,16,11,未勝利*,41.4,後方,4,11,29,東京,D,1400,良,9,8,新馬,38.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,5,,,,,グランフィエスタ,,牡,3,2,2,22,東京,T,1800,良,16,12,未勝利,34.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,6,,,,,ゲンパチミスティ,,牝,3,6,1,25,中山,D,1800,良,9,14,未勝利・牝,42.6,中団,連,1,18,中山,D,1800,良,11,15,未勝利・牝,42.4,後方,12,10,26,東京,T,1800,稍,16,12,新馬,36.8,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,7,,,,,アルファマリブ,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,ウインエンブレム,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,9,,,,,ロット,,牝,3,4,2,7,京都,D,1400,良,10,10,未勝利,37.5,後方,3,1,18,中山,D,1200,良,7,8,未勝利,39.4,中団,5,12,13,中山,T,1600,良,11,9,未勝利*,35.3,後方,7,10,26,東京,T,1600,稍,3,6,未勝利*,35.7,先行,3,10,5,東京,T,1400,良,10,10,未勝利*,34.4,中団,3
6,,10,,,,,サンドッグ,,牡,3,3,2,14,京都,T,1800,良,17,12,未勝利,39.4,中団,7,12,28,中山,D,1800,良,14,14,新馬,43.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,11,,,,,ロードキャリバー,,牡,3,連,2,28,中山,D,1800,重,11,9,未勝利,41.0,後方,2,2,15,京都,D,1800,良,10,10,未勝利,40.4,後方,2,2,1,東京,T,1600,良,16,14,新馬,35.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,12,,,,,ウルヴァリン,,牡,3,2,2,22,東京,D,2100,良,12,13,未勝利,38.8,後方,6,1,12,中山,D,1800,良,10,15,未勝利,41.7,後方,3,12,21,中山,D,1200,不,12,8,未勝利*,38.1,後方,3,11,30,東京,D,1600,良,12,15,未勝利*,39.5,中団,3,11,9,東京,D,1600,稍,11,13,未勝利*,40.3,中団,3
8,,13,,,,,ホノボノ,,牡,3,2,2,21,小倉,D,1700,良,4,9,未勝利,38.7,差し,連,2,15,小倉,T,1800,稍,16,11,未勝利,36.7,後方,13,11,16,東京,T,1800,良,12,10,未勝利*,37.1,先行,3,10,25,新潟,T,1800,良,7,8,未勝利*,35.1,逃げ,13,7,27,新潟,T,1600,良,8,8,新馬,34.5,中団,初
8,,14,,,,,アラビアンドリーム,,牡,3,7,1,18,中山,D,1800,良,4,3,未勝利,39.5,ﾏｸﾘ,2,1,4,中山,D,1800,稍,6,1,未勝利,41.9,先行,3,12,13,中山,D,1800,良,2,1,新馬,39.0,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020405,2026.3.8,日,中山,2中4,5,,未勝利,芝,1800,A,4,良,晴,16,12:25,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ニシノマルガリート,,牡,3,10,12,27,中山,T,1600,良,12,6,新馬,35.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,ランウェイミューズ,,牝,3,12,12,14,中山,T,1600,稍,2,2,新馬,36.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,,,,,トーセンブリラーレ,,牡,3,9,1,5,中山,D,1800,稍,11,8,未勝利,41.9,後方,3,12,14,中京,D,1800,稍,5,7,新馬,39.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ハニージョー,,牡,3,20,10,18,東京,T,1600,良,3,7,新馬,34.5,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,サンサブリミナル,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,,,,,フックセンチョウ,,牡,3,9,1,5,中山,D,1200,稍,16,14,未勝利,38.8,後方,12,10,13,東京,T,1400,良,11,12,未勝利*,35.9,後方,2,9,27,中山,T,1600,良,16,13,未勝利*,35.6,後方,3,9,6,中山,T,1200,良,12,14,新馬,34.2,後方,初,,,,,,,,,,,,
4,,7,,,,,カンティーナ,,牝,3,3,2,15,東京,T,1800,良,3,6,未勝利,34.3,先行,13,11,16,東京,T,1800,良,11,7,未勝利*,36.5,中団,8,9,20,中山,T,2000,良,6,3,未勝利*,34.7,中団,4,8,24,新潟,T,2000,良,2,1,新馬,36.2,先行,初,,,,,,,,,,,,
4,,8,,,,,フクスケ,,牡,3,11,12,20,中山,T,1800,良,15,16,未勝利*,36.1,中団,9,10,18,東京,D,1600,良,11,8,未勝利*,44.0,先行,3,9,28,中山,T,2000,良,9,16,新馬,35.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ラベルセーヌ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,,,,,コールリッジ,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ベルランコントル,,牝,3,11,12,20,中山,T,1800,良,14,4,未勝利*,36.0,ﾏｸﾘ,2,12,7,中山,T,1800,良,3,4,未勝利*,34.5,差し,3,11,15,福島,T,2000,良,4,2,未勝利*,36.2,先行,7,9,28,中山,T,2000,良,5,4,新馬,35.6,先行,初,,,,,,,,,,,,
6,,12,,,,,アレステリオス,,牡,3,11,12,20,中山,D,1800,良,10,10,未勝利*,39.7,後方,7,11,2,東京,T,2000,良,4,6,新馬,34.5,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ショウナンサイオウ,,牡,3,2,2,22,東京,T,1800,良,3,6,未勝利,33.8,差し,12,11,30,東京,D,1600,良,16,7,未勝利*,42.8,後方,3,11,9,東京,D,1600,稍,8,2,未勝利*,38.5,中団,3,10,18,東京,T,1600,良,5,3,新馬,34.5,先行,初,,,,,,,,,,,,
7,,14,,,,,ポイズンオーク,,牝,3,8,1,12,中山,D,1800,良,7,5,未勝利・牝,40.1,中団,4,12,13,中山,D,1800,良,4,3,新馬,40.8,差し,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,,,,,ギリーカラム,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,,,,,アルペンローゼ,,牝,3,3,2,14,東京,T,1800,良,4,9,未勝利・牝,34.4,先行,13,11,16,東京,D,1600,良,10,10,新馬,37.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030806020406,2026.3.8,日,中山,2中4,6,,1勝,ダート,1200,,2,稍,晴,16,12:55,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ピクラリーダ,,牝,5,26,9,6,中山,D,1200,稍,15,14,１勝ｸﾗｽ,38.3,中団,4,8,9,札幌,D,1000,重,11,8,１勝ｸﾗｽ,38.1,先行,2,7,27,札幌,D,1000,不,3,7,１勝ｸﾗｽ,35.5,逃げ,2,7,12,函館,D,1000,良,10,11,１勝ｸﾗｽ,37.4,先行,8,5,18,新潟,D,1200,良,13,12,１勝ｸﾗｽ,40.3,逃げ,14
1,,2,,,,,ショウナンラリー,,牡,4,17,11,8,東京,D,1300,良,16,3,１勝ｸﾗｽ,39.7,先行,10,8,30,札幌,D,1000,重,5,2,１勝ｸﾗｽ,35.2,先行,7,7,12,函館,D,1000,良,1,3,未勝利,35.6,先行,2,6,29,函館,D,1000,良,3,2,未勝利,36.1,先行,連,6,22,函館,D,1000,重,5,2,未勝利,36.6,先行,4
2,,3,,,,,カーヌスティ,,牡,4,4,2,10,東京,D,1300,稍,5,3,１勝ｸﾗｽ,37.5,先行,2,1,24,中山,D,1200,良,4,4,１勝ｸﾗｽ,37.8,差し,10,11,13,門別,D,1000,稍,1,1,来年も,----,先行,3,10,29,門別,D,1000,稍,1,1,ローズ,----,先行,3,10,8,門別,D,1000,良,1,1,グラン,----,先行,2
2,B,4,,,,,カーリングホリデー,,牝,5,23,9,27,中山,D,1800,良,14,15,１勝ｸﾗｽ・牝,38.9,後方,14,6,22,東京,D,1600,良,12,15,１勝ｸﾗｽ・牝,38.6,後方,9,4,19,福島,D,1700,良,12,13,１勝ｸﾗｽ・牝,39.7,後方,8,2,22,東京,D,1600,良,13,11,１勝ｸﾗｽ,38.6,後方,10,12,15,中京,D,1400,良,13,14,１勝ｸﾗｽ・若,37.3,後方,8
3,,5,,,,,ルクスマーベリック,,セ,5,11,12,20,中山,D,1200,良,6,12,１勝ｸﾗｽ,37.2,中団,4,11,22,福島,T,1800,良,15,12,高湯温泉･1勝,36.1,先行,15,8,10,新潟,T,1400,重,9,10,１勝ｸﾗｽ,35.4,後方,4,7,13,小倉,T,1800,良,5,8,１勝ｸﾗｽ,37.4,先行,3,6,21,阪神,T,1600,良,9,9,１勝ｸﾗｽ,35.6,中団,23
3,,6,,,,,エンジェルブリーズ,,牝,4,11,12,20,中山,D,1200,良,7,7,１勝ｸﾗｽ,36.5,後方,9,10,18,東京,T,1400,良,12,4,１勝ｸﾗｽ,33.1,後方,25,4,27,東京,T,2000,良,14,5,フローラG2,34.9,先行,8,3,1,中山,T,1800,良,1,7,未勝利,34.1,先行,初,,,,,,,,,,,,
4,,7,,,,,ルイステソーロ,,セ,4,15,11,24,福島,D,1150,良,11,2,１勝ｸﾗｽ,38.1,先行,6,10,13,東京,D,1300,良,6,1,１勝ｸﾗｽ,36.3,中団,3,9,20,中山,D,1200,重,3,4,１勝ｸﾗｽ,37.1,差し,19,5,10,京都,D,1200,重,6,14,１勝ｸﾗｽ*,35.6,後方,4,4,13,中山,D,1200,良,12,12,１勝ｸﾗｽ*,37.6,後方,20
4,,8,,,,,セイゲン,,セ,7,11,12,20,中山,D,1200,良,10,16,１勝ｸﾗｽ,36.5,後方,4,11,24,東京,D,1400,良,8,14,１勝ｸﾗｽ,37.0,後方,5,10,19,新潟,D,1200,稍,7,12,１勝ｸﾗｽ,36.4,後方,7,8,30,札幌,D,1000,重,10,11,１勝ｸﾗｽ,34.3,後方,2,8,17,札幌,D,1000,稍,4,8,１勝ｸﾗｽ,34.8,差し,3
5,B,9,,,,,グルーヴィーオン,,牝,4,3,2,15,東京,D,1400,良,4,10,１勝ｸﾗｽ,36.9,先行,12,11,22,福島,D,1150,良,12,10,１勝ｸﾗｽ,37.7,後方,9,9,20,中山,D,1200,重,7,11,１勝ｸﾗｽ・牝,37.8,中団,9,7,22,浦和,D,1400,良,1,2,ツイン,----,逃げ,5,6,15,東京,D,1400,重,6,5,未勝利・牝,37.4,先行,3
5,,10,,,,,マクミランテソーロ,,牡,5,3,2,15,東京,D,1400,良,2,1,１勝ｸﾗｽ,36.9,逃げ,11,11,30,東京,D,1400,良,7,1,１勝ｸﾗｽ,38.6,先行,2,11,15,東京,D,1400,良,2,3,１勝ｸﾗｽ,36.9,逃げ,3,10,25,東京,D,1400,稍,3,2,１勝ｸﾗｽ,36.8,先行,12,8,3,札幌,D,1700,良,6,4,１勝ｸﾗｽ,39.9,先行,4
6,,11,,,,,ブリックンクリック,,セ,4,12,12,13,中山,D,1200,良,10,8,１勝ｸﾗｽ,36.6,後方,3,11,24,東京,D,1400,良,16,8,１勝ｸﾗｽ,39.5,先行,7,10,4,東京,D,1400,良,10,12,１勝ｸﾗｽ,38.2,先行,11,7,20,福島,D,1700,良,13,6,１勝ｸﾗｽ,40.5,先行,9,5,18,東京,D,1400,重,1,3,未勝利,36.3,先行,8
6,,12,,,,,サヨノジャンボリー,,牡,4,16,11,16,福島,D,1150,良,9,9,１勝ｸﾗｽ・若,37.5,後方,5,10,11,東京,D,1400,稍,15,12,１勝ｸﾗｽ,38.7,先行,3,9,20,中山,D,1200,重,9,6,１勝ｸﾗｽ,37.7,後方,2,9,6,中山,D,1200,稍,11,4,１勝ｸﾗｽ,37.5,逃げ,14,6,1,京都,D,1400,良,8,11,１勝ｸﾗｽ*,38.4,中団,9
7,,13,,,,,アイアンソリッド,,牝,4,11,12,21,中京,D,1200,稍,6,11,１勝ｸﾗｽ・若,37.4,先行,2,12,6,中京,D,1200,良,10,6,１勝ｸﾗｽ,39.6,先行,4,11,8,福島,D,1150,良,8,10,１勝ｸﾗｽ,37.5,中団,3,10,19,新潟,D,1200,重,4,6,１勝ｸﾗｽ・牝,37.1,差し,18,6,14,東京,D,1400,良,13,6,１勝ｸﾗｽ・牝,37.7,中団,4
7,,14,,,,,アルマーレシチー,,セ,5,10,12,28,中山,D,1200,良,6,10,１勝ｸﾗｽ,37.3,後方,9,10,26,新潟,D,1200,稍,8,11,１勝ｸﾗｽ・若,37.4,中団,19,6,17,川崎,D,1500,良,9,7,ジュー,----,中団,8,4,20,福島,D,1700,良,13,9,１勝ｸﾗｽ,39.7,中団,6,3,8,中山,D,1800,稍,15,12,１勝ｸﾗｽ,40.4,後方,4
