レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041103010101,2026.4.11,土,福島,1福1,1,,未勝利,ダート,1700,,4,良(暫定),曇(暫定),15,09:45,,馬齢,３歳
4,,7,,,,,マイネルパーロル,,牡,3,9,2,10,東京,T,2400,良,8,15,未勝利,35.1,後方,19,9,28,中山,T,2000,良,10,11,未勝利*,35.4,中団,2,9,14,中山,T,1800,良,8,9,新馬,34.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,スノーエルヴァ,,牝,3,7,2,22,東京,T,1800,良,13,11,未勝利,34.7,後方,15,11,9,東京,T,1800,良,10,5,未勝利*,35.5,後方,3,10,19,東京,T,1800,良,2,10,新馬,34.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,バチラ,,牡,3,2,3,29,中京,T,2000,良,7,6,未勝利,34.8,先行,8,2,1,小倉,T,2000,良,9,6,未勝利,35.9,中団,2,1,18,京都,T,2000,良,5,6,新馬,35.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,10,,,,,グランドフィナーレ,,牡,3,11,1,25,小倉,T,2000,良,17,14,未勝利,37.6,中団,4,12,27,阪神,T,2000,良,8,11,新馬,35.3,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,アスクファイアモア,,牡,3,2,3,28,中京,T,2200,良,8,8,未勝利,35.4,後方,連,3,22,阪神,T,2400,良,10,6,未勝利,34.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,B,12,,,,,ローレルエース,,牡,3,5,3,7,中山,T,2200,稍,9,17,未勝利,36.9,中団,20,10,19,東京,T,1800,良,13,16,新馬,34.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,,,,,ブルージェネシス,,牡,3,8,2,15,小倉,T,1800,稍,8,13,未勝利,35.9,中団,6,1,4,中山,D,1800,稍,12,5,未勝利,43.2,中団,8,11,9,東京,T,1800,良,12,7,未勝利*,36.9,先行,5,10,4,東京,T,2000,良,6,6,未勝利*,35.2,先行,3,9,15,中山,T,1800,良,4,7,未勝利*,35.2,逃げ,3
8,,14,,,,,ロスニーニョス,,牡,3,3,3,22,中京,T,2000,良,10,12,未勝利,35.8,後方,3,3,1,小倉,T,1800,良,12,8,未勝利,37.7,後方,10,12,21,阪神,D,1800,稍,12,5,未勝利*,40.6,後方,2,12,6,阪神,T,2000,良,6,7,新馬,34.6,後方,初,,,,,,,,,,,,
8,,15,,,,,アルタティール,,牡,3,6,2,28,中山,T,2000,良,15,16,未勝利,35.2,後方,8,1,4,中山,T,2000,良,15,16,新馬,36.4,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041103010107,2026.4.11,土,福島,1福1,7,,1勝,ダート,1700,,4,良(暫定),曇(暫定),15,13:05,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,プロスペクト,,牡,5,7,2,22,小倉,D,1700,良,4,7,１勝ｸﾗｽ,38.6,差し,7,1,5,京都,D,1800,良,止,15,１勝ｸﾗｽ,----,,3,12,13,中京,D,1400,良,8,12,１勝ｸﾗｽ,37.4,中団,12,9,21,阪神,T,2000,良,11,12,１勝ｸﾗｽ,36.5,中団,2,9,6,阪神,T,2000,良,6,4,１勝ｸﾗｽ,38.2,先行,9
2,,2,,,,,ルージュマローネ,,牝,4,3,3,22,中京,D,1800,良,10,11,１勝ｸﾗｽ,37.7,中団,8,1,24,中山,D,1800,良,7,7,１勝ｸﾗｽ・牝,40.0,中団,10,11,16,福島,D,1700,良,10,4,１勝ｸﾗｽ・牝,39.2,後方,4,10,18,新潟,D,1800,良,2,8,１勝ｸﾗｽ・牝,38.0,差し,9,8,17,札幌,T,1500,稍,9,9,１勝ｸﾗｽ・牝,36.7,逃げ,5
2,,3,,,,,キングプロフィット,,牡,5,2,3,29,中山,D,1200,稍,12,16,１勝ｸﾗｽ,37.2,後方,2,3,14,中山,D,1200,良,12,16,１勝ｸﾗｽ,37.0,後方,13,12,13,中山,D,1200,良,15,13,１勝ｸﾗｽ,38.1,後方,36,4,5,中山,D,1200,稍,11,13,１勝ｸﾗｽ,36.5,後方,3,3,15,中山,D,1200,稍,5,14,１勝ｸﾗｽ,37.0,後方,4
3,B,4,,,,,スラーヴァ,,牡,5,4,3,15,阪神,S,2970,良,14,12,障害未勝利,14.4,後方,14,12,7,中山,S,2880,良,10,8,障害未勝利,14.2,中団,3,11,16,福島,S,2750,良,5,7,障害未勝利,13.3,先行,7,9,27,中山,S,2880,良,8,9,障害未勝利,13.8,中団,2,9,14,中山,S,2880,良,7,7,障害未勝利,13.9,中団,4
3,,5,,,,,ナインオブレター,,牡,4,4,3,14,中山,D,1200,良,8,6,１勝ｸﾗｽ,37.7,先行,13,12,13,中山,D,1200,良,13,9,１勝ｸﾗｽ,38.3,先行,11,9,27,中山,D,1200,良,12,10,１勝ｸﾗｽ,38.8,中団,2,9,15,中山,D,1200,良,5,4,１勝ｸﾗｽ,37.9,中団,5,8,9,新潟,D,1200,良,3,3,１勝ｸﾗｽ,37.6,先行,11
4,,6,,,,,プロスペクトパーク,,牡,4,3,3,21,中京,D,1400,良,14,9,１勝ｸﾗｽ,37.8,先行,10,1,10,中山,D,1800,良,6,2,１勝ｸﾗｽ,39.5,逃げ,3,12,21,中京,D,1800,稍,5,6,１勝ｸﾗｽ,38.8,中団,2,12,7,中山,D,1800,良,6,3,１勝ｸﾗｽ,38.6,先行,10,9,28,中山,D,1800,良,2,3,１勝ｸﾗｽ,38.1,先行,8
4,B,7,,,,,ホウオウバローロ,,牡,5,7,2,22,小倉,D,1700,良,2,3,１勝ｸﾗｽ,38.8,差し,3,1,31,小倉,D,1700,良,5,1,１勝ｸﾗｽ,38.3,中団,連,1,24,小倉,D,1700,良,5,2,１勝ｸﾗｽ,38.8,先行,23,8,17,札幌,D,1700,稍,2,3,１勝ｸﾗｽ,37.5,先行,4,7,20,函館,D,1700,良,2,2,１勝ｸﾗｽ,38.5,先行,連
5,,8,,,,,リトルスカーレット,,牝,4,4,3,14,中京,T,1400,良,13,5,１勝ｸﾗｽ・牝,35.8,逃げ,11,12,28,阪神,D,1400,良,7,13,１勝ｸﾗｽ,38.1,先行,7,11,8,京都,D,1400,良,14,6,１勝ｸﾗｽ・牝,38.8,後方,12,8,17,中京,D,1400,良,10,7,１勝ｸﾗｽ・牝,39.3,中団,12,5,24,京都,D,1400,良,6,2,１勝ｸﾗｽ*,38.1,中団,8
5,,9,,,,,バーニングフレーム,,牝,4,2,3,28,中京,T,1600,良,14,15,１勝ｸﾗｽ・牝,35.1,先行,26,9,25,浦和,D,1400,良,8,8,マルチ,----,後方,15,6,14,阪神,T,1200,重,10,16,１勝ｸﾗｽ,35.6,中団,連,6,7,東京,D,1600,良,16,14,１勝ｸﾗｽ・牝,39.8,中団,13,3,9,阪神,D,1400,良,12,16,１勝ｸﾗｽ・牝*,40.1,中団,4
6,B,10,,,,,ラストレガシー,,牡,4,10,2,1,小倉,S,2860,良,8,5,障害未勝利,14.0,中団,10,11,24,福島,D,1700,良,9,4,１勝ｸﾗｽ・若,39.5,中団,8,9,28,中山,D,1800,良,7,1,１勝ｸﾗｽ,38.7,先行,3,9,7,中山,D,1800,良,6,2,１勝ｸﾗｽ,39.1,後方,10,6,29,福島,D,1700,良,1,1,未勝利,36.8,逃げ,5
6,,11,,,,,ハイケンス,,牡,5,3,3,21,中京,D,1400,良,15,14,１勝ｸﾗｽ,37.2,後方,15,12,7,中京,D,1400,良,7,15,１勝ｸﾗｽ,37.4,中団,9,10,4,京都,D,1400,不,12,11,１勝ｸﾗｽ,38.1,中団,4,9,7,札幌,D,1700,稍,9,8,１勝ｸﾗｽ,41.5,先行,5,8,2,札幌,D,1700,良,6,10,１勝ｸﾗｽ,39.5,先行,22
7,B,12,,,,,スコーピオンイメル,,牡,4,2,3,29,阪神,D,1800,良,7,3,１勝ｸﾗｽ,40.8,先行,連,3,22,中京,D,1800,良,3,4,１勝ｸﾗｽ,37.7,先行,7,1,31,京都,D,1900,良,6,8,１勝ｸﾗｽ,38.4,ﾏｸﾘ,3,1,12,京都,D,1900,良,7,11,１勝ｸﾗｽ,38.3,ﾏｸﾘ,3,12,20,中京,D,1900,稍,3,8,１勝ｸﾗｽ,38.8,ﾏｸﾘ,連
7,,13,,,,,アイファーファイト,,牡,7,6,3,1,小倉,D,1700,稍,10,15,１勝ｸﾗｽ,38.1,後方,2,2,15,小倉,D,1700,稍,6,13,１勝ｸﾗｽ,38.4,後方,3,1,24,小倉,D,1700,良,10,14,１勝ｸﾗｽ,37.8,後方,5,12,20,中京,D,1900,稍,12,16,１勝ｸﾗｽ,39.4,中団,2,12,6,中京,D,1800,良,14,16,１勝ｸﾗｽ・若,40.4,後方,3
8,,14,,,,,チャチャピンク,,牡,4,9,2,7,小倉,D,1700,良,4,9,１勝ｸﾗｽ,37.1,追込,連,1,31,小倉,D,1700,良,12,5,１勝ｸﾗｽ,39.1,中団,9,11,30,京都,D,1800,良,7,8,１勝ｸﾗｽ,37.5,後方,6,10,19,新潟,D,1800,重,8,1,１勝ｸﾗｽ・若,39.0,先行,13,7,19,小倉,D,1700,重,7,9,１勝ｸﾗｽ,36.1,中団,3
8,,15,,,,,ワンダーウィルク,,牡,7,6,3,1,小倉,D,1700,稍,9,13,１勝ｸﾗｽ,38.8,先行,14,11,26,名古,D,1500,良,4,6,名古屋,----,差し,26,5,24,新潟,D,1800,良,10,11,１勝ｸﾗｽ・若,38.9,中団,3,5,4,新潟,D,1800,稍,5,9,１勝ｸﾗｽ・若,39.6,中団,2,4,20,福島,D,1700,良,7,11,１勝ｸﾗｽ,39.1,先行,3
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041103010108,2026.4.11,土,福島,1福1,8,,1勝,ダート,1150,,2,良(暫定),曇(暫定),16,13:35,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,オロパタジン,,牡,4,8,2,15,小倉,D,1700,稍,13,6,１勝ｸﾗｽ,42.6,後方,12,11,22,福島,D,1700,良,15,6,１勝ｸﾗｽ,42.4,逃げ,12,8,30,札幌,D,1700,重,1,2,未勝利,38.6,逃げ,2,8,16,札幌,D,1700,良,3,5,未勝利,38.7,逃げ,3,7,26,札幌,D,1700,良,5,7,未勝利,39.9,先行,2
1,,2,,,,,ノーブルミステリー,,牝,6,8,2,15,東京,D,1400,良,11,16,１勝ｸﾗｽ,37.1,後方,15,11,1,東京,D,1400,重,10,15,１勝ｸﾗｽ・牝,36.5,後方,連,10,25,新潟,D,1200,良,7,6,１勝ｸﾗｽ・牝,36.7,後方,連,10,19,新潟,D,1200,重,3,9,１勝ｸﾗｽ・牝,36.1,追込,7,8,31,中京,D,1200,良,9,11,１勝ｸﾗｽ,37.1,後方,連
2,,3,,,,,バルジール,,牡,4,13,1,10,中山,D,1200,良,14,2,１勝ｸﾗｽ,40.2,中団,5,12,10,船橋,D,1200,良,1,1,馬い！,----,逃げ,4,11,11,門別,D,1200,稍,2,2,グラン,----,先行,2,10,23,門別,D,1200,稍,2,1,３歳以,----,逃げ,2,10,9,門別,D,1700,良,2,1,がんば,----,逃げ,3
2,B,4,,,,,オコジュ,,牝,6,9,2,8,小倉,D,1000,良,12,11,１勝ｸﾗｽ,38.8,中団,2,1,25,小倉,D,1000,良,4,12,１勝ｸﾗｽ,35.9,先行,11,11,8,福島,D,1150,良,10,12,１勝ｸﾗｽ・牝,37.9,先行,7,9,21,中山,D,1200,良,10,10,１勝ｸﾗｽ,38.7,先行,連,9,15,中山,D,1200,良,6,10,１勝ｸﾗｽ,38.4,先行,4
3,,5,,,,,メイショウハボマイ,,牡,4,8,2,14,京都,D,1200,稍,13,13,１勝ｸﾗｽ,38.3,先行,12,11,24,福島,D,1150,良,12,13,１勝ｸﾗｽ,37.6,中団,5,10,18,新潟,D,1200,良,12,13,１勝ｸﾗｽ・若,38.5,後方,7,8,30,札幌,D,1000,重,11,9,１勝ｸﾗｽ,36.0,先行,3,8,10,札幌,D,1000,稍,1,10,未勝利,36.0,逃げ,3
3,B,6,,,,,グランデスフィーダ,,牡,6,3,3,22,中京,D,1200,良,3,4,１勝ｸﾗｽ,36.4,差し,2,3,7,阪神,D,1200,稍,5,6,１勝ｸﾗｽ,36.8,中団,8,1,12,京都,D,1400,良,11,10,１勝ｸﾗｽ,36.6,中団,7,11,23,京都,D,1400,良,7,14,１勝ｸﾗｽ,37.1,後方,9,9,20,阪神,T,1600,良,15,8,１勝ｸﾗｽ,34.4,後方,3
4,B,7,,,,,グッドヴァイブス,,牡,5,9,2,8,小倉,D,1000,良,10,6,１勝ｸﾗｽ,36.6,後方,9,12,6,中山,D,1200,良,15,2,１勝ｸﾗｽ,40.0,先行,23,6,29,福島,T,1200,良,止,4,１勝ｸﾗｽ,----,,8,5,4,新潟,D,1200,稍,9,3,１勝ｸﾗｽ,38.3,先行,3,4,13,福島,D,1150,良,3,2,１勝ｸﾗｽ,37.3,差し,8
4,,8,,,,,ケイアイマウンガ,,牡,4,13,1,10,京都,D,1200,良,12,2,１勝ｸﾗｽ,37.7,中団,3,12,20,中京,D,1400,稍,5,4,１勝ｸﾗｽ,37.6,逃げ,3,11,30,京都,D,1400,良,5,3,１勝ｸﾗｽ,38.8,逃げ,11,9,17,園田,D,1400,良,1,1,Ｃ１二,----,逃げ,2,8,28,園田,D,1400,良,1,1,Ｃ２二,----,逃げ,3
5,,9,,,,,エコロレオナ,,牝,4,9,2,8,小倉,D,1000,良,13,5,１勝ｸﾗｽ,39.0,先行,11,11,24,福島,D,1150,良,13,3,１勝ｸﾗｽ,37.6,中団,12,8,30,札幌,D,1000,重,6,4,１勝ｸﾗｽ,35.2,先行,3,8,9,札幌,D,1000,重,4,2,１勝ｸﾗｽ,35.9,先行,2,7,27,札幌,D,1000,不,2,3,１勝ｸﾗｽ,34.6,先行,3
5,B,10,,,,,リアンエターナル,,牝,4,10,2,1,小倉,T,1200,良,18,17,１勝ｸﾗｽ,36.4,中団,11,11,15,福島,T,1200,良,13,12,１勝ｸﾗｽ・若,35.3,後方,4,10,18,新潟,T,1000,良,6,6,１勝ｸﾗｽ,33.7,逃げ,11,8,3,新潟,D,1200,良,12,9,１勝ｸﾗｽ・牝,39.1,逃げ,10,5,27,浦和,D,1400,良,1,3,ツイン,----,先行,6
6,,11,,,,,サイコウダネ,,牡,5,16,12,21,中京,D,1200,稍,13,15,１勝ｸﾗｽ,37.9,先行,2,12,7,中京,D,1800,良,13,14,１勝ｸﾗｽ,40.3,後方,3,11,15,福島,D,1150,良,8,16,１勝ｸﾗｽ,37.4,中団,4,10,18,新潟,T,1000,良,12,17,１勝ｸﾗｽ,33.2,中団,18,6,18,園田,D,1230,良,12,5,Ｂ２　,----,中団,3
6,,12,,,,,ヒラボクカレラ,,牡,4,11,1,25,小倉,D,1000,良,8,2,１勝ｸﾗｽ,36.6,中団,2,1,10,京都,D,1200,良,9,3,１勝ｸﾗｽ,37.7,逃げ,7,11,24,福島,D,1150,良,2,1,１勝ｸﾗｽ,36.7,先行,4,10,25,新潟,D,1200,良,2,3,１勝ｸﾗｽ,36.9,先行,7,9,7,札幌,T,1200,稍,6,4,１勝ｸﾗｽ,35.6,先行,11
7,,13,,,,,マカニ,,牝,4,9,2,8,小倉,D,1000,良,7,8,１勝ｸﾗｽ,36.8,中団,2,1,25,小倉,D,1000,良,5,6,１勝ｸﾗｽ,36.5,先行,25,8,2,札幌,D,1000,良,1,4,未勝利,35.7,逃げ,29,1,11,中山,D,1200,稍,14,3,未勝利,41.2,逃げ,23,8,3,新潟,D,1800,良,9,5,新馬,43.3,逃げ,初
7,,14,,,,,レストプレドゥモア,,牝,4,10,2,1,小倉,D,1000,良,10,9,１勝ｸﾗｽ,36.3,中団,8,12,7,阪神,D,1200,良,11,7,１勝ｸﾗｽ・牝,40.8,先行,20,7,19,函館,D,1000,良,1,4,未勝利,35.5,先行,6,6,7,阪神,D,1400,良,6,7,未勝利・牝,38.6,先行,32,10,26,京都,T,1600,良,12,8,未勝利*,38.0,先行,10
8,,15,,,,,ナンヨークリスタル,,セ,6,7,2,22,小倉,D,1000,良,6,3,１勝ｸﾗｽ,35.4,後方,9,12,20,阪神,D,1200,良,8,11,１勝ｸﾗｽ,36.5,後方,12,9,28,阪神,D,1200,良,14,9,１勝ｸﾗｽ,37.6,後方,3,9,7,札幌,D,1000,稍,3,2,１勝ｸﾗｽ,34.6,差し,8,7,12,函館,D,1000,良,5,3,１勝ｸﾗｽ,35.1,後方,2
8,,16,,,,,シャーンゴッセ,,セ,6,6,3,1,中山,D,1200,稍,6,6,１勝ｸﾗｽ,37.8,中団,3,2,8,小倉,D,1000,良,2,2,１勝ｸﾗｽ,36.0,差し,11,11,22,福島,D,1150,良,4,2,１勝ｸﾗｽ,37.5,差し,2,11,8,福島,D,1150,良,2,7,１勝ｸﾗｽ,36.5,差し,6,9,25,浦和,D,1400,良,5,1,マルチ,----,中団,9
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041103010109,2026.4.11,土,福島,1福1,9,浄土平特別,1勝,芝,1800,A,4,良(暫定),曇(暫定),16,14:05,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,メイショウヒュウガ,,牡,6,50,4,26,京都,T,1400,良,11,12,１勝ｸﾗｽ,34.1,後方,4,3,30,阪神,T,1400,良,11,15,１勝ｸﾗｽ,35.4,中団,4,3,2,阪神,T,1600,良,14,12,１勝ｸﾗｽ,35.2,中団,18,10,26,京都,T,2000,良,10,10,１勝ｸﾗｽ,36.0,中団,3,10,6,京都,T,1800,良,6,12,１勝ｸﾗｽ,34.4,後方,4
1,,2,,,,,レッドシュテルン,,セ,4,10,1,31,小倉,T,1200,良,9,6,１勝ｸﾗｽ,35.2,逃げ,22,8,31,中京,T,1600,良,13,6,１勝ｸﾗｽ,36.7,逃げ,10,6,22,函館,T,1800,重,11,3,１勝ｸﾗｽ,37.7,逃げ,9,4,19,福島,T,1800,良,1,4,未勝利,35.4,逃げ,14,1,12,中京,D,1400,良,15,4,未勝利,41.4,逃げ,10
2,,3,,,,,フォルテフィオーレ,,牡,5,6,3,1,小倉,T,2000,良,8,3,唐戸特別･1勝,35.2,後方,連,2,22,小倉,T,1800,良,2,2,高千穂特･1勝,34.9,差し,2,2,8,小倉,T,1800,良,3,2,１勝ｸﾗｽ・若,35.7,差し,連,2,1,小倉,T,1800,良,2,9,１勝ｸﾗｽ・若,33.7,差し,11,11,16,福島,T,2000,良,6,3,１勝ｸﾗｽ,34.7,中団,5
2,,4,,,,,グレヴィレア,,牝,4,17,12,15,水沢,D,1400,不,1,1,Ｃ２七,----,先行,3,11,24,水沢,D,1300,良,1,3,Ｃ２十,----,先行,13,8,23,新潟,T,1800,良,8,10,未勝利・牝,34.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ゼットエイト,,牡,4,7,2,22,小倉,T,1800,良,9,10,高千穂特･1勝,35.0,後方,連,2,15,小倉,T,2000,稍,10,10,１勝ｸﾗｽ,36.2,先行,9,12,14,中京,D,1800,稍,7,7,大須特別･1勝,40.3,後方,3,11,22,福島,T,1800,良,10,11,高湯温泉･1勝,34.4,後方,20,7,5,函館,T,1800,稍,6,7,恵山特別･1勝,37.2,中団,2
3,,6,,,,,エナジーショット,,牝,4,15,12,27,中山,D,1800,稍,15,6,１勝ｸﾗｽ,43.5,後方,2,12,14,中京,T,1600,稍,13,5,１勝ｸﾗｽ,34.3,後方,13,9,14,中山,T,1600,良,8,3,１勝ｸﾗｽ,34.0,中団,9,7,12,福島,T,2000,良,4,1,１勝ｸﾗｽ,37.4,先行,2,6,29,福島,T,1800,良,5,2,１勝ｸﾗｽ,34.8,先行,14
4,,7,,,,,ラトラース,,セ,4,7,2,22,小倉,T,1800,良,6,4,高千穂特･1勝,35.8,先行,3,2,1,小倉,T,1800,良,11,2,１勝ｸﾗｽ・若,35.2,中団,16,10,12,京都,T,1600,良,4,1,１勝ｸﾗｽ,34.0,先行,15,6,28,小倉,T,1800,良,1,1,未勝利,36.6,先行,3,6,8,阪神,T,1600,良,3,1,未勝利,35.5,逃げ,27
4,,8,,,,,フォートポータル,,セ,5,4,3,14,中京,T,2200,良,10,10,鶴舞特別･1勝,39.0,先行,11,12,27,中山,D,1800,稍,13,13,１勝ｸﾗｽ,42.9,後方,2,12,14,中山,T,1800,稍,16,15,１勝ｸﾗｽ,36.3,後方,11,9,25,笠松,D,1400,良,1,1,ゆうま,----,先行,2,9,11,笠松,D,1400,良,3,3,Ａじゃ,----,先行,3
5,,9,,,,,コスモキャバリエ,,牡,4,3,3,21,中京,T,1600,良,5,9,１勝ｸﾗｽ,34.3,先行,26,9,20,中山,T,2000,良,9,15,１勝ｸﾗｽ,35.3,中団,3,8,31,新潟,T,2200,良,8,11,瓢湖特別･1勝,36.6,先行,4,8,5,盛岡,T,1700,稍,4,3,アンタ,----,先行,4,7,6,福島,T,1800,良,11,9,１勝ｸﾗｽ,36.3,後方,2
5,,10,,,,,スペードギニー,,セ,4,16,12,19,金沢,D,1400,重,1,1,☆凛太,----,逃げ,2,12,8,金沢,D,1400,重,1,1,天秤ひ,----,先行,5,11,2,盛岡,D,1600,重,2,2,赤平金,----,先行,2,10,21,盛岡,D,1600,稍,2,2,Ｃ１一,----,差し,7,9,2,盛岡,T,1700,重,3,1,エメラ,----,先行,6
6,,11,,,,,サトノラポール,,セ,4,10,1,31,東京,T,1800,良,10,8,１勝ｸﾗｽ,35.2,先行,6,12,21,中京,T,1600,稍,8,6,１勝ｸﾗｽ,34.9,後方,7,11,1,東京,T,1800,良,5,8,１勝ｸﾗｽ,34.5,中団,3,10,13,東京,T,1600,良,10,11,１勝ｸﾗｽ,34.0,中団,4,9,13,中山,T,2000,稍,9,5,１勝ｸﾗｽ,34.2,中団,21
6,,12,,,,,ロットブラータ,,牡,4,7,2,22,阪神,T,2400,良,7,2,１勝ｸﾗｽ,35.6,逃げ,3,2,1,小倉,T,2600,良,3,1,足立山特･1勝,37.0,逃げ,6,12,21,阪神,T,2200,重,9,3,１勝ｸﾗｽ,36.7,中団,4,11,23,京都,T,2400,良,3,1,１勝ｸﾗｽ,34.8,先行,12,8,31,札幌,T,2600,稍,4,2,北辰特別･1勝,37.8,先行,12
7,,13,,,,,シアブリス,,牝,5,13,1,11,中山,T,1600,良,14,10,１勝ｸﾗｽ,38.1,中団,23,8,2,札幌,T,1800,良,6,6,１勝ｸﾗｽ,36.2,先行,10,5,24,東京,T,1600,良,4,3,１勝ｸﾗｽ,33.5,差し,13,2,23,東京,T,1800,良,9,7,１勝ｸﾗｽ,34.9,中団,18,10,19,東京,T,1800,良,4,8,１勝ｸﾗｽ,34.0,先行,9
7,,14,,,,,ガンバルマン,,牡,4,53,4,5,中山,T,2200,良,2,2,山吹賞･1勝*,35.0,追込,4,3,9,中山,T,2000,稍,5,13,弥生賞G2,36.4,中団,13,12,7,中山,T,2000,良,1,1,未勝利*,35.5,差し,2,11,24,東京,T,2000,良,3,3,未勝利*,33.9,差し,3,11,3,東京,T,2000,良,2,4,未勝利*,33.9,差し,14
8,,15,,,,,デイジー,,牝,5,13,1,11,中山,T,1600,良,3,2,１勝ｸﾗｽ,35.2,先行,7,11,22,福島,T,1800,良,2,4,高湯温泉･1勝,34.7,先行,2,11,9,福島,T,1800,良,3,4,二本松特･1勝,35.8,先行,2,10,26,新潟,T,1800,稍,3,6,１勝ｸﾗｽ・牝,34.5,差し,9,8,23,新潟,T,1600,良,3,6,１勝ｸﾗｽ,33.9,先行,2
8,B,16,,,,,レッドシュトラール,,セ,4,17,12,14,中京,D,1800,稍,11,8,大須特別･1勝,43.4,中団,7,10,25,新潟,D,1800,良,12,7,１勝ｸﾗｽ,39.3,中団,12,8,2,新潟,D,1800,良,1,4,未勝利,38.6,差し,4,7,5,福島,D,1700,稍,3,3,未勝利,39.3,差し,3,6,15,東京,D,1600,重,4,9,未勝利,36.2,差し,6
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041103010110,2026.4.11,土,福島,1福1,10,花見山特別,2勝,芝,1200,A,2,良(暫定),曇(暫定),16,14:40,,定量,４上
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
