レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010401,2026.5.10,日,新潟,1新4,1,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
2026051004010403,2026.5.10,日,新潟,1新4,3,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,10:45,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アイビーチーキー,,牡,3,3,4,19,福島,D,1700,良,2,4,未勝利,38.4,先行,8,2,21,東京,D,1600,良,4,6,新馬,37.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,B,2,,,,,マイネルゼーロス,,牡,3,2,4,26,福島,D,1700,良,3,2,未勝利・若,39.1,先行,4,3,28,中山,D,1800,重,7,3,未勝利,41.3,先行,3,3,8,中山,D,1800,稍,2,2,未勝利,39.8,先行,4,2,8,小倉,D,1700,良,2,9,未勝利,40.6,先行,連,2,1,小倉,D,1700,良,5,7,未勝利,39.3,中団,4
2,B,3,,,,,トレジャーストーン,,牡,3,15,1,24,京都,D,1800,良,16,2,新馬,41.9,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,4,,,,,ハイテイラオユエ,,牡,3,26,11,9,東京,D,1600,稍,10,13,新馬,38.5,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ノリノドラゴン,,牡,3,3,4,19,阪神,D,1800,良,6,5,未勝利,38.3,中団,3,3,29,中京,D,1900,良,5,3,未勝利,37.8,中団,2,3,15,中京,D,1800,良,4,4,未勝利,38.0,ﾏｸﾘ,2,3,1,小倉,D,1700,稍,7,6,未勝利,38.5,後方,3,2,8,小倉,D,1700,良,3,6,未勝利,39.8,差し,13
4,,6,,,,,メイショウイッカク,,牡,3,5,4,4,阪神,D,1800,稍,7,8,未勝利,39.7,先行,2,3,21,中京,D,1900,良,5,10,未勝利,39.7,先行,3,3,1,小倉,D,1700,稍,14,12,未勝利,39.4,後方,6,1,18,京都,D,1800,良,8,8,未勝利,39.0,中団,3,12,28,阪神,D,1400,良,10,5,新馬,38.8,後方,初
4,,7,,,,,スナークシャラク,,牡,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,8,,,,,ウインガネーシャ,,牡,3,3,4,19,中山,D,1800,良,5,10,未勝利,40.5,中団,11,2,1,東京,D,2100,良,10,7,未勝利,41.2,先行,3,1,11,中山,D,1800,良,7,10,新馬,39.5,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
