レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026053005021101,2026.5.30,土,東京,2東B,1,,未勝利,ダート,1400,,2,良(暫定),晴(暫定),16,09:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
8,,16,,,,,ウインスターリング,,牡,3,2,5,17,東京,T,2400,良,8,8,未勝利,35.2,中団,5,4,11,福島,T,2000,良,9,5,未勝利,35.8,後方,24,10,26,東京,T,1800,稍,12,5,新馬,36.2,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026053005021103,2026.5.30,土,東京,2東B,3,,未勝利,芝,1400,C,2,良(暫定),晴(暫定),18,10:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,トウカイティエラ,,牝,3,4,5,3,東京,T,1600,良,15,17,未勝利,34.0,後方,11,2,14,東京,D,1400,良,15,7,新馬,41.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,エレクトロン,,牡,3,10,3,21,中京,T,1400,良,15,17,未勝利,35.3,後方,13,12,20,中山,T,1600,良,12,12,ひいらぎ･1勝,37.4,後方,3,11,30,東京,T,1600,良,8,12,未勝利*,34.6,中団,連,11,24,福島,D,1150,良,14,10,未勝利*,38.7,後方,7,10,5,東京,T,1400,良,9,8,未勝利*,34.1,後方,3
2,,3,,,,,グローリアスダンス,,牝,3,14,2,21,小倉,T,1200,良,10,12,未勝利・牝,34.9,後方,3,2,1,小倉,T,1200,良,5,15,新馬,34.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,ワディアルリヤハ,,牝,3,3,5,9,東京,T,1400,良,3,2,未勝利,34.8,先行,8,3,15,中京,T,1400,良,2,2,未勝利,35.7,逃げ,13,12,14,中山,T,1200,良,4,1,未勝利*,35.3,差し,3,11,24,東京,T,1400,良,2,6,未勝利*,34.3,先行,6,10,13,東京,T,1400,良,3,5,未勝利*,33.6,追込,7
3,,5,,,,,フクスケ,,牡,3,3,5,10,東京,T,1600,良,11,12,未勝利,34.1,後方,3,4,19,中山,T,1600,良,7,9,１勝ｸﾗｽ*,35.2,後方,2,4,5,中山,T,2000,重,13,16,未勝利,39.2,中団,2,3,22,中山,T,2000,良,8,8,１勝ｸﾗｽ*,37.0,後方,2,3,8,中山,T,1800,良,14,16,未勝利,38.8,中団,11
3,,6,,,,,ケイツーキップ,,牝,3,5,4,26,福島,T,1200,良,15,9,未勝利・牝,35.0,後方,2,4,12,福島,T,1200,良,5,15,未勝利,34.9,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
