レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010401,2026.5.10,日,新潟,1新4,1,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
7,,12,アイアンナックル,牡,3,14,60.8, ,105,6,54,▲,*,森田誠也,(美),尾形和幸,ゴールドドリーム,サウスヴィグラス,,ネイティヴダンサー系,2,22,1阪2,3,未勝利,ダ,1200,良,,秋山,57.0,,6,24.2,9,2.0,4,,,6,4,36.50,38.0,12,ゼンノフォトン
7,,13,チョウダントツ,牝,3,9,21.1, ,  0,,53,◇,,古川奈穂,(栗),羽月友彦,ダンカーク,ルーラーシップ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,14,フェルアフリーゼ,牝,3,1,3.5, ,109,5,54,☆,,長浜鴻緒,(美),深山雅史,ドレフォン,クロフネ,,ニアークティック系,4,18,1福3,2,未勝利,ダ,1150,良,,長浜,53.0,△,4,9.3,5,0.5,2,,,2,3,35.89,37.1,5,メイショウイブキ
8,,15,ニシノスフィンクス,牝,3,7,11.7, , 99,9,53,◇,*,今村聖奈,(美),深山雅史,ホッコータルマエ,カジノドライヴ,,ナスルーラ系,6,22,3東6,初,新馬,芝,1400,良,,内田,55.0,,13,72.8,6,1.3,8,,,4,4,36.08,36.3,7,ランドスター
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026051004010403,2026.5.10,日,新潟,1新4,3,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,10:45,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アイビーチーキー,牡,3,1,2.0, ,115,1,57,,*,ゴンサル,(美),加藤士津,フリオーソ,エンパイアメーカー,ロイヤルチャージャー系,ネイティヴダンサー系,4,19,1福4,8,未勝利,ダ,1700,良,B,上里,54.0,▲,4,5.9,2,0.2,5,3,3,3,3,37.15,38.4,1,アラクラン
2,B,2,マイネルゼーロス,牡,3,4,11.0, ,111,2,54,▲,,石神深道,(美),相沢郁,ダノンバラード,アドマイヤコジーン,,ナスルーラ系,4,26,1福6,4,未勝利・若,ダ,1700,良,,石神,54.0,▲,2,7.0,3,1.0,2,3,4,4,4,37.25,39.1,6,エリーニック
2,B,3,トレジャーストーン,牡,3,3,9.3, ,102,7,57,,*,松本大輝,(栗),藤原英昭,"Uncle Mo","Smart Strike",ナスルーラ系,ネイティヴダンサー系,1,24,1京8,初,新馬,ダ,1800,良,,坂井,57.0,,2,3.2,16,4.8,1,8,7,8,12,40.00,41.9,16,ホーナー
