レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021005010401,2026.2.10,火,東京,1東4,1,,未勝利,ダート,1400,,2,稍,晴,16,10:05,,馬齢,３歳
6,,11,ゼフィリア,牝,3,464,- 4,- 4,9,64.1, , 99,8,55,,*,原優介,(美),岩戸孝樹,サンダースノー,エピファネイア,,,11,30,5東8,初,新馬,ダ,1600,良,,丹内,55.0,,7,30.4,10,1.9,5,,,13,14,37.56,38.6,4,エジプシャンマウ
6,,12,モントゥリエ,牝,3,442,-14,-14,10,77.7, , 87,12,53,△,*,長浜鴻緒,(美),中舘英二,サートゥルナーリア,ディープインパクト,,ロイヤルチャージャー系,11,15,5東3,初,新馬・牝,芝,1600,良,,佐々,55.0,,11,115.8,13,2.6,2,,,10,12,37.80,34.4,8,マスターソアラ
7,,13,ティーナ,牝,3,444,-10,-10,15,282.0, , 84,14,55,,*,木幡巧也,(美),池上昌和,Earthlight,Dabirsim,,,1,18,1中7,初,新馬,芝,1600,良,,杉原,55.0,,16,300.6,13,2.7,10,,9,15,13,37.02,35.4,10,サンプレクス
7,,14,タートルインメイ,牝,3,486,+ 6,+ 6,7,41.3, ,106,5,55,,,松岡正海,(美),奥平雅士,ロージズインメイ,タートルボウル,ロイヤルチャージャー系,ニアークティック系,1,18,1中7,10,未勝利・牝,ダ,1800,良,,松岡,55.0,,9,44.0,3,0.6,12,10,10,5,2,38.25,41.5,4,デルマホダカ
8,,15,ティルベリー,牝,3,468,+ 6,+ 6,1,1.9, ,114,2,55,,*,岩田望来,(美),宮田敬介,ドレフォン,ハーツクライ,,ロイヤルチャージャー系,12,20,5中5,9,未勝利・牝*,ダ,1800,良,,マー,55.0,,2,4.4,3,1.1,3,9,8,9,10,37.90,39.9,3,ケイツーリーブル
8,,16,タマモシルエット,牝,3,466,- 2,- 2,8,54.9, , 97,9,51,★,*,谷原柚希,(美),伊藤圭三,シャンハイボビー,ダノンシャンティ,,ロイヤルチャージャー系,1,4,1中1,4,未勝利・牝,ダ,1200,稍,,丹内,55.0,,6,22.4,12,2.6,6,,,10,10,35.10,40.2,10,フュルスティン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021005010404,2026.2.10,火,東京,1東4,4,,新馬,ダート,1600,,2,稍,晴,16,11:35,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ドラゴンパッセ,牡,3,486,,,5,8.4, ,  0,,57,,,佐々木大,(美),伊藤大士,キタサンブラック,エンパイアメーカー,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,マッドヘッドラブ,牝,3,474,,,6,20.6, ,  0,,55,,,岩田康誠,(美),戸田博文,パイロ,コマンズ,ナスルーラ系,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,ジュンレイ,牡,3,468,,,14,125.6, ,  0,,53,★,,谷原柚希,(美),小野次郎,マインドユアビスケッツ,ハーツクライ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,ジューングレイス,牝,3,458,,,8,32.3, ,  0,,55,,,武藤雅,(美),鈴木慎太,シニスターミニスター,キンシャサノキセキ,ナスルーラ系,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,ウイングラナート,牝,3,538,,,13,107.3, ,  0,,55,,,原田和真,(美),武市康男,ポエティックフレア,ヴィクトワールピサ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,ペリドットテソーロ,牝,3,410,,,11,51.4, ,  0,,55,,,原優介,(美),西田雄一,フィエールマン,Clodovil,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,ステラデルークス,牡,3,502,,,1,3.2, ,  0,,57,,,横山武史,(美),鈴木伸尋,インカンテーション,フレンチデピュティ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,ディジョネット,牝,3,466,,,16,200.6, ,  0,,52,▲,,上里直汰,(美),松山将樹,モーニン,プリサイスエンド,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,ウェルックス,牡,3,472,,,7,29.6, ,  0,,57,,,田辺裕信,(美),久保田貴,レイデオロ,ジャスタウェイ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,ユイノレジスタンス,牡,3,486,,,12,88.3, ,  0,,57,,,木幡初也,(美),深山雅史,アルアイン,ロードカナロア,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,ブルーコーヴ,牡,3,498,,,3,5.6, ,  0,,57,,,津村明秀,(美),木村哲也,"Bolt d'Oro","Golden Missile",,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,ゴールドプレイヤー,牡,3,462,,,2,3.4, ,  0,,57,,,岩田望来,(美),古賀慎明,ゴールドアクター,ヘニーヒューズ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,ガイストゼーゲン,牡,3,520,,,10,48.7, ,  0,,57,,,江田照男,(美),高木登,リオンディーズ,クロフネ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,ハルカオル,牝,3,482,,,9,38.4, ,  0,,55,,,木幡育也,(美),千葉直人,ミスチヴィアスアレックス,サクラバクシンオー,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,フェンリル,牡,3,500,,,4,7.2, ,  0,,57,,,菅原明良,(美),高木登,ドレフォン,"Sea The Stars",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,シャインプレマ,牝,3,424,,,15,148.3, ,  0,,55,,,野中悠太,(美),中舘英二,サトノアラジン,エンパイアメーカー,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021005010405,2026.2.10,火,東京,1東4,5,,新馬,芝,1600,D,2,良,晴,16,12:25,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アームアンフルール,牡,3,462,,,7,40.2, ,  0,,57,,,木幡初也,(美),本間忍,モーリス,ハービンジャー,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,ミラクルチケット,牝,3,410,,,10,61.3, ,  0,,52,▲,,遠藤汰月,(美),稲垣幸雄,ロジャーバローズ,ロードアルティマ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,ニットウエース,牡,3,438,,,15,113.9, ,  0,,57,,,武藤雅,(美),稲垣幸雄,モズアスコット,ケイムホーム,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,ウィズアツインクル,牡,3,490,,,4,11.1, ,  0,,57,,,木幡巧也,(美),牧光二,ダノンバラード,サクラバクシンオー,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,シセイジャンヌ,牝,3,428,,,13,97.3, ,  0,,55,,,木幡育也,(美),高橋文雅,オルフェーヴル,バゴ,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,マウンテンバローズ,牡,3,534,,,1,1.5, ,  0,,57,,,キング,(栗),清水久詞,キタサンブラック,"War Front",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,ビップジョワ,牝,3,422,,,11,71.2, ,  0,,55,,,丸田恭介,(美),高柳瑞樹,サトノダイヤモンド,ファスリエフ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,ハニーアンバー,牝,3,484,,,12,96.4, ,  0,,55,,,柴田善臣,(美),小野次郎,ビッグアーサー,メジロベイリー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,ペアピーターソン,牡,3,494,,,2,6.2, ,  0,,57,,,岩田康誠,(栗),梅田智之,アスクピーターパン,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,エナノムスメ,牝,3,424,,,6,26.2, ,  0,,55,,,佐々木大,(美),伊藤大士,サトノダイヤモンド,キンシャサノキセキ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,ピュアクローム,牡,3,422,,,14,107.4, ,  0,,57,,,吉田豊,(美),小手川準,カリフォルニアクローム,ハーツクライ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,アルマリブレ,牝,3,462,,,3,9.1, ,  0,,55,,,横山武史,(栗),茶木太樹,ゴールドシップ,タイキシャトル,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,ガーデンバイザベイ,牝,3,418,,,8,40.9, ,  0,,55,,,三浦皇成,(美),小笠倫弘,ルーラーシップ,サンデーサイレンス,ネイティヴダンサー系,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,シャインアルプス,牝,3,392,,,5,13.3, ,  0,,55,,,津村明秀,(美),中川公成,シルバーステート,ハービンジャー,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,サイモンナイスラン,牡,3,504,,,16,210.8, ,  0,,54,▲,,上里直汰,(美),勢司和浩,アメリカンペイトリオット,ゼンノロブロイ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,レディホークダイヤ,牝,3,442,,,9,56.4, ,  0,,52,▲,,佐藤翔馬,(美),田中剛,サトノダイヤモンド,"Hawk Wing",,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021005010406,2026.2.10,火,東京,1東4,6,,未勝利,芝,2400,D,4,良,晴,18,12:55,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アイスアイスベイビ,牡,3,470,+ 8,+ 8,8,72.7, ,100,7,57,,*,石川裕紀,(美),岩戸孝樹,ゴールドシップ,ダノンシャンティ,,ロイヤルチャージャー系,12,14,5名4,4,未勝利*,芝,2000,稍,,菊沢,56.0,,6,17.6,6,0.7,5,5,6,4,5,37.24,35.8,6,グレーヌドジョワ
1,,2,ベルトラッキ,牡,3,472,  0,0,4,5.2, ,117,3,57,,*,戸崎圭太,(美),加藤士津,デクラレーションオブウォー,ルーラーシップ,,ネイティヴダンサー系,1,24,1中8,10,未勝利,芝,2200,良,,上里,54.0,▲,9,26.7,2,0.2,12,10,9,10,11,36.34,35.3,2,ミッキーファルコン
2,,3,イブキ,牡,3,454,- 8,- 8,5,8.9, ,101,6,57,,*,原優介,(美),矢野英一,レイデオロ,ゼンノロブロイ,,ロイヤルチャージャー系,1,5,1中2,9,未勝利,芝,2000,良,,戸崎,57.0,,4,5.8,9,0.9,1,14,15,17,18,37.03,35.6,2,イモータリス
2,,4,テンバコウクウ,牡,3,470,- 2,- 2,17,478.8, , 86,17,57,,*,丸田恭介,(美),柄崎将寿,ハッピースプリント,スピルバーグ,,,1,17,1中6,13,未勝利,ダ,1800,良,,松岡,57.0,,15,415.2,13,4.1,16,8,9,10,11,38.70,42.2,10,ウリズンベー
3,,5,サトノクラシカル,牡,3,486,- 4,- 4,2,3.2, ,116,4,57,,*,横山武史,(美),宮田敬介,リアルスティール,"Fastnet Rock",,その他のエクリプス系,12,28,5中8,初,新馬,芝,2000,良,,マー,56.0,,2,4.4,4,0.4,5,7,7,7,5,37.93,35.5,5,コンジェスタス
