レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021405010501,2026.2.14,土,東京,1東5,1,,未勝利,ダート,1400,,2,良,晴,16,10:05,,馬齢,３歳
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021405010504,2026.2.14,土,東京,1東5,4,,新馬,ダート,1400,,2,良,晴,16,11:35,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,プティシラー,牝,3,468,,,8,23.9, ,  0,,53,△,,長浜鴻緒,(美),上原博之,アメリカンペイトリオット,"Lope de Vega",,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,ルビーサンセット,牝,3,420,,,9,24.9, ,  0,,55,,,荻野極,(美),柄崎将寿,マジェスティックウォリアー,キングカメハメハ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,レウコテア,牝,3,468,,,4,8.2, ,  0,,55,,,津村明秀,(栗),西園翔太,ゴールドシップ,ゴールドアリュール,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,アスクドゥチャンプ,牡,3,504,,,2,3.8, ,  0,,57,,,横山武史,(栗),藤原英昭,"Essential Quality",Epaulette,,その他のエクリプス系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,ミアルーチェ,牝,3,500,,,6,12.8, ,  0,,55,,,北村友一,(美),加藤士津,ルーラーシップ,マリエンバード,ネイティヴダンサー系,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,トウカイティエラ,牝,3,454,,,7,23.2, ,  0,,55,,,菅原明良,(美),高木登,イスラボニータ,アドマイヤムーン,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,ナムラコハル,牝,3,432,,,12,115.2, ,  0,,55,,,木幡巧也,(美),堀内岳志,フォーウィールドライブ,サウスヴィグラス,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,ヘルヴィッツ,牡,3,462,,,10,30.4, ,  0,,57,,,丸田恭介,(美),柄崎将寿,ミスターメロディ,バゴ,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,ラガッツァケコーレ,牝,3,432,,,15,216.9, ,  0,,55,,,柴田大知,(美),田中剛,ロゴタイプ,ヴァーミリアン,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,リバーブレーション,牡,3,434,,,14,211.2, ,  0,,54,▲,,上里直汰,(美),清水英克,マインドユアビスケッツ,スマートファルコン,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,ノースブルースカイ,牝,3,416,,,3,6.6, ,  0,,55,,,松岡正海,(美),堀内岳志,ダノンレジェンド,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,ベラジオカイザー,牡,3,466,,,1,2.7, ,  0,,55,,,佐々木大,(美),伊藤大士,"Victor Ludorum","Super Easy",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,クィーンコッチャン,牝,3,458,,,13,143.8, ,  0,,55,,,原田和真,(美),小野次郎,エポカドーロ,ノボトゥルー,,その他のエクリプス系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,ヴィスクレス,牡,3,466,,,5,12.1, ,  0,,57,,,岩田康誠,(美),矢嶋大樹,スワーヴリチャード,キングカメハメハ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,アンジュブルー,牝,3,454,,,,取消し, ,  0,,55,,,柴田善臣,(美),稲垣幸雄,ダノンスマッシュ,マンハッタンカフェ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,フライトマップ,牡,3,522,,,11,58.5, ,  0,,57,,,石橋脩,(美),小手川準,"Liam's Map","Uncle Mo",,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026021405010505,2026.2.14,土,東京,1東5,5,,未勝利,芝,1400,D,2,良,晴,16,12:25,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ルージュリリック,牝,3,470,- 6,- 6,2,4.5, ,114,1,55,,,荻野極,(美),上原佑紀,ポエティックフレア,ディープインパクト,,ロイヤルチャージャー系,2,1,1東2,15,未勝利・牝,ダ,1600,良,,荻野,55.0,,2,3.4,3,1.1,4,,,3,3,36.84,38.7,8,ジュワネング
1,,2,ヤマニンアレシス,牡,3,460,+ 4,+ 4,4,14.3, ,104,7,57,,*,大野拓弥,(美),堀内岳志,イスラボニータ,キングカメハメハ,,ネイティヴダンサー系,2,1,1東2,初,新馬,芝,1600,良,,小林,57.0,,11,66.5,4,0.4,14,,,4,3,37.08,34.3,6,アスクイキゴミ
2,,3,ペルシアーノ,牝,3,442,+ 2,+ 2,8,73.5, ,105,6,55,,*,石川裕紀,(美),相沢郁,ダノンプレミアム,ヴィクトワールピサ,,ロイヤルチャージャー系,1,24,1中8,初,新馬,ダ,1200,良,,津村,55.0,,7,35.8,5,1.1,11,,,4,3,36.40,38.9,10,サマーゲール
2,,4,フォセットジェンヌ,牝,3,412,+ 2,+ 2,14,440.2, , 80,11,55,,*,岩田康誠,(美),和田勇介,レイデオロ,Bodemeister,,,10,13,4東5,初,新馬・牝,芝,1600,良,,野中,55.0,,17,301.0,17,3.6,9,,,15,16,37.32,35.6,13,ノーザンタイタン
3,,5,ダイユウルミナス,牝,3,416,,,9,141.4, ,  0,,52,▲,,佐藤翔馬,(美),松永康利,ダノンスマッシュ,フジキセキ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,サンデースマッシュ,牡,3,460,- 2,- 2,1,1.4, ,113,2,57,,,ルメール,(美),嘉藤貴行,ダノンスマッシュ,"Sunday Silence",,ロイヤルチャージャー系,1,25,1中9,10,未勝利,芝,1600,良,,ルメ,57.0,,2,2.8,3,0.6,9,,3,3,3,34.86,35.8,4,ナイスプレーアスク
4,,7,ダイシンレスター,牡,3,452,+ 4,+ 4,10,227.9, , 97,8,57,,*,松岡正海,(美),戸田博文,ダイシンサンダー,ケイムホーム,,ネイティヴダンサー系,10,26,4東9,3,未勝利*,芝,1600,稍,,浜中,56.0,,5,23.0,11,7.3,4,,,1,1,34.80,43.4,11,リゾートアイランド
4,,8,ケイツータカ,牝,3,432,+12,+12,13,386.4, , 84,10,55,,*,柴田大知,(美),深山雅史,シュヴァルグラン,グラスワンダー,,ロイヤルチャージャー系,11,1,4東A,連,未勝利*,芝,1400,稍,,石田,52.0,▲,11,223.1,9,0.9,10,,,7,7,37.58,34.3,8,モルニケ
5,,9,ブレイシオン,牝,3,468,,,12,271.6, ,  0,,55,,,原優介,(美),青木孝文,セイウンコウセイ,フジキセキ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,ヨドノティアラ,牝,3,448,+14,+14,5,14.7, ,108,4,55,,*,津村明秀,(美),矢嶋大樹,マテラスカイ,アンライバルド,,ロイヤルチャージャー系,10,18,4新1,2,未勝利*,芝,1200,良,,横山,55.0,,6,11.1,7,0.6,8,,,3,3,34.20,35.9,14,ガラベイヤ
6,,11,アイアムアヒーロー,牡,3,478,+24,+24,11,260.1, , 91,9,57,,*,吉田豊,(美),奥平雅士,シルバーステート,アグネスタキオン,,ロイヤルチャージャー系,10,11,4東3,初,新馬,ダ,1400,稍,,木幡,56.0,,11,52.9,14,4.7,11,,,6,7,37.28,40.4,15,ウィッキドピケット
6,,12,ベアカッコウ,牝,3,440,,,15,481.4, ,  0,,53,△,,長浜鴻緒,(美),杉浦宏昭,シャンハイボビー,"High Chaparral",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,タイキプレジール,牡,3,496,  0,0,6,20.0, ,107,5,57,,*,キング,(美),矢野英一,ダノンプレミアム,タイキシャトル,,ロイヤルチャージャー系,2,7,1東3,4,未勝利,ダ,1300,良,,長浜,55.0,△,8,17.2,3,0.5,4,,,10,10,37.29,37.3,3,ジャスフォール
7,,14,レゲンデ,牝,3,400,- 4,- 4,7,26.0, ,109,3,55,,*,菅原明良,(美),斎藤誠,ルヴァンスレーヴ,Dubawi,,ネイティヴダンサー系,11,9,5東2,2,未勝利*,芝,1400,良,,鮫島,55.0,,2,5.9,11,1.1,9,,,8,7,35.40,35.4,12,シャルトル
