レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010801,2026.5.24,日,新潟,1新8,1,,未勝利,芝,1200,B,2,稍(暫定),晴(暫定),16,09:45,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
6,,11,キャスケード,牝,3,8,18.7, , 99,7,55,,,長岡禎仁,(栗),高橋亮,ミスターメロディ,ディープインパクト,,ロイヤルチャージャー系,5,2,3京3,8,未勝利,ダ,1200,重,,長岡,55.0,,10,104.9,5,1.0,12,,,4,5,36.30,36.2,6,スターフュージョン
7,,12,ナムラカメコ,牝,3,11,54.9, ,  0,,52,▲,,森田誠也,(栗),飯田祐史,マクフィ,マンハッタンカフェ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,メリオルヴィア,牝,3,3,4.6, ,102,6,55,,*,西塚洸二,(栗),辻野泰之,ロードカナロア,Starspangledbanner,,,5,3,3京4,22,未勝利・牝,ダ,1400,稍,,吉村,55.0,,10,64.1,3,0.9,9,,,5,3,35.63,37.4,7,ピカラ
8,,14,ブールドネージュ,牝,3,14,138.3, , 85,14,52,▲,*,遠藤汰月,(美),大和田成,ヴァンゴッホ,ブラックタイド,,ロイヤルチャージャー系,11,15,5東3,連,未勝利*,ダ,1600,良,,小林,55.0,,13,300.5,14,4.7,13,,,13,13,37.86,41.3,14,ムーランオランジュ
8,,15,キタノプレミアム,牝,3,4,7.8, ,111,3,55,,*,中井裕二,(栗),坂口智康,ダノンプレミアム,キンシャサノキセキ,,ロイヤルチャージャー系,5,9,1新3,14,未勝利・牝,ダ,1200,稍,,国分,55.0,,7,16.3,2,0.4,8,,,2,2,34.00,39.3,6,フレンズプラス
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010803,2026.5.24,日,新潟,1新8,3,,未勝利,ダート,1800,,4,稍(暫定),晴(暫定),15,10:40,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ホシヅキヨ,牡,3,8,41.3, , 97,7,54,▲,*,石神深道,(美),柄崎将寿,ヴァンゴッホ,スズカフェニックス,,ロイヤルチャージャー系,12,21,5中6,5,未勝利*,ダ,1800,不,,松岡,56.0,,11,77.9,10,1.9,6,16,16,16,14,38.40,39.0,7,ヘルメスギャング
2,B,2,マイネルゼーロス,牡,3,2,7.5, ,114,2,57,,*,丹内祐次,(美),相沢郁,ダノンバラード,アドマイヤコジーン,,ナスルーラ系,5,10,1新4,2,未勝利,ダ,1800,良,B,石神,54.0,▲,3,6.9,3,0.8,2,1,1,1,1,38.10,39.2,7,ノリノドラゴン
3,,3,エルヴ,牝,3,9,71.5, , 93,10,52,▲,,川端海翼,(栗),羽月友彦,ミスチヴィアスアレックス,エンパイアメーカー,,ネイティヴダンサー系,5,17,3京8,10,未勝利・牝,ダ,1800,良,,川端,52.0,▲,13,257.1,13,3.0,10,5,5,4,4,38.35,41.3,14,シエーナカラー
4,,4,トクシーゼファー,牡,3,5,14.1, ,103,4,57,,*,横山琉人,(美),辻哲英,マクフィ,フジキセキ,,ロイヤルチャージャー系,2,28,2中1,初,未勝利,ダ,1800,重,,長浜,55.0,△,6,30.5,8,2.4,8,6,6,4,4,37.95,41.3,9,インディヴァイン
5,,5,ザンテソーロ,牡,3,4,11.9, ,101,6,57,,*,菊沢一樹,(美),畠山吉宏,オルフェーヴル,ルーラーシップ,,ネイティヴダンサー系,5,9,2東5,13,未勝利,ダ,1600,良,,木幡,57.0,,11,289.8,7,1.2,9,,,5,5,37.32,37.5,5,アンシュウマト
6,,6,セブンワンダーズ,牡,3,3,8.3, ,109,3,57,,,斎藤新,(美),斎藤誠,キセキ,クロフネ,,ニアークティック系,5,9,1新3,2,未勝利,ダ,1800,稍,,斎藤,57.0,,7,15.3,2,1.1,3,2,2,2,2,37.85,40.8,2,ベストブラザーズ
7,,7,スナップジジ,牡,3,10,88.5, , 97,7,55,△,*,鷲頭虎太,(美),堀内岳志,エンパイアペガサス,モンテロッソ,,,5,17,2東8,9,未勝利,ダ,1400,良,,ゴン,57.0,,13,151.8,12,3.0,14,,,2,2,36.83,40.1,13,デスサイズ
7,B,8,ブライトラン,牡,3,6,35.0, ,102,5,53,★,*,河原田菜,(美),尾形和幸,マインドユアビスケッツ,キングカメハメハ,,ネイティヴダンサー系,3,14,2中5,3,未勝利,ダ,1800,良,B,佐藤,54.0,▲,13,308.4,8,1.9,10,1,1,1,1,38.00,41.3,12,エイシンニラク
8,,9,ラブミーアゲイン,牝,3,7,35.7, , 94,9,55,,,嶋田純次,(美),矢嶋大樹,ダノンキングリー,アグネスデジタル,,ネイティヴダンサー系,5,16,1新5,28,未勝利,芝,1000,良,,嶋田,55.0,,12,107.5,9,1.4,11,,,,10,34.65,33.2,6,アカウフリューゲル
8,,10,アイビーチーキー,牡,3,1,1.3, ,129,1,57,,,ゴンサル,(美),加藤士津,フリオーソ,エンパイアメーカー,ロイヤルチャージャー系,ネイティヴダンサー系,5,10,1新4,3,未勝利,ダ,1800,良,,ゴン,57.0,,1,1.6,2,0.1,3,5,3,3,3,38.25,38.2,1,ノリノドラゴン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026052404010805,2026.5.24,日,新潟,1新8,5,,未勝利,芝,2000,B,4,稍(暫定),晴(暫定),16,12:00,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ウインブリザード,牡,3,10,15.9, , 99,13,54,▲,,石神深道,(美),深山雅史,ゴールドシップ,Pulpit,,ナスルーラ系,11,15,3福3,7,未勝利*,芝,2000,良,,石神,53.0,▲,4,9.6,10,0.9,13,8,8,7,8,36.64,36.5,13,アメティスタ
1,,2,ジワタネホ,牝,3,6,9.8, ,110,4,52,▲,,小林美駒,(美),田村康仁,サートゥルナーリア,ディープインパクト,,ロイヤルチャージャー系,5,3,1新2,14,未勝利,芝,1800,良,,小林,52.0,▲,9,27.0,3,0.0,10,,,12,5,38.20,33.8,2,ワールドブレイヴ
2,,3,ゼータレティクル,牝,3,11,21.5, ,107,8,55,,*,丹内祐次,(美),小手川準,ビーチパトロール,ダノンシャンティ,,ロイヤルチャージャー系,2,28,2中1,4,未勝利,芝,2000,良,,津村,55.0,,10,29.7,6,0.3,7,10,9,7,7,37.03,35.6,5,セットエトワール
2,,4,ナムラオリガミ,牝,3,8,15.1, ,116,1,55,,,小崎綾也,(栗),高橋一哉,アルアイン,ヨハネスブルグ,,ニアークティック系,4,25,1福5,8,未勝利・牝,芝,2000,良,,小崎,55.0,,5,8.2,2,0.1,5,3,3,3,2,36.17,36.3,9,サルワールカミーズ
3,,5,ショウナンパステル,牝,3,16,46.3, , 88,14,55,,*,野中悠太,(美),稲垣幸雄,ショウナンバッハ,キンシャサノキセキ,,ロイヤルチャージャー系,9,28,4中9,5,未勝利*,芝,2000,良,,吉田,55.0,,12,232.1,13,3.7,10,11,11,11,11,37.89,36.0,14,コッツォリーノ
3,,6,マイネルアルゴー,牡,3,13,30.9, , 86,15,54,▲,*,上里直汰,(美),清水英克,スクリーンヒーロー,ゴールドシップ,ロイヤルチャージャー系,,2,1,1東2,7,未勝利,芝,1800,良,,原優,57.0,,15,237.7,13,2.6,15,,10,12,10,36.80,35.8,13,アウダーシア
4,,7,マサハヤルージュ,牝,3,2,6.7, ,107,8,52,▲,,和田陽希,(栗),千田輝彦,シャンハイボビー,ディープインパクト,,ロイヤルチャージャー系,5,3,1新2,連,未勝利・牝,芝,2000,稍,,和田,52.0,▲,12,63.9,3,0.1,11,5,5,6,4,37.07,36.0,7,オモイヲノセテ
4,,8,ヴォンサクレ,牡,3,14,34.3, ,107,8,57,,,武藤雅,(美),勢司和浩,アルアイン,ハーツクライ,,ロイヤルチャージャー系,4,25,1福5,6,未勝利,芝,2000,良,,武藤,57.0,,9,25.4,3,0.6,7,16,14,4,3,36.34,36.2,7,ミエノストロング
5,,9,ジージージェット,牡,3,12,25.5, ,109,5,55,△,*,柴田裕一,(栗),奥村豊,モズアスコット,ヴィクトワールピサ,,ロイヤルチャージャー系,5,10,3京6,14,未勝利,芝,2000,良,,太宰,57.0,,5,11.3,4,0.9,9,2,2,2,1,35.91,36.3,10,アトレッタ
5,,10,レイヌドプランタン,牝,3,5,9.5, ,101,12,55,,,横山琉人,(美),矢嶋大樹,モーリス,フジキセキ,,ロイヤルチャージャー系,2,15,1小8,12,未勝利,芝,1800,稍,,横山,55.0,,3,15.0,7,0.8,4,13,11,11,10,37.65,35.3,3,モウエエデショー
6,,11,ミョンソクコムドリ,牡,3,15,43.1, ,  0,,57,,,黛弘人,(美),奥平雅士,ストーミーシー,アドマイヤマックス,,ロイヤルチャージャー系,11,2,4東B,初,新馬,芝,2000,良,,黛弘,56.0,,9,211.0,止,----,8,,9,9,9,,----,,アローメタル
6,,12,ブルーザー,牡,3,7,10.9, ,107,8,55,△,*,舟山瑠泉,(栗),池添学,モーリス,ブラックタイド,,ロイヤルチャージャー系,4,26,3京2,4,未勝利,芝,2000,良,,池添,57.0,,5,9.5,5,0.4,3,5,5,6,5,36.26,36.2,3,ロングホリデー
7,,13,ダノンミッドナイト,牡,3,3,7.4, ,111,3,57,,*,小沢大仁,(栗),中内田充,コントレイル,キンシャサノキセキ,,ロイヤルチャージャー系,5,3,3京4,8,未勝利,芝,2400,良,,川田,57.0,,3,5.0,3,0.7,6,3,3,5,5,37.23,34.4,3,マジョレルブルー
7,,14,キコリータ,牝,3,9,15.7, ,112,2,52,▲,*,石田拓郎,(美),田中勝春,レイデオロ,ディープインパクト,,ロイヤルチャージャー系,5,3,1新2,11,未勝利・牝,芝,2000,稍,,小沢,55.0,,3,5.5,4,0.2,5,15,15,12,11,37.37,35.4,2,オモイヲノセテ
