レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092106040701,2026.9.21,月,中山,4中7,1,,未勝利,障害(直線ダ),2880,,,,,14,09:45,,定量,３上
4,,4,シュアシング,牝,2, , 99,6,55,,,武藤雅,(美),相沢郁,ジャンダルム,ジョーカプチーノ,ロイヤルチャージャー系,ロイヤルチャージャー系,8,23,3新2,2,未勝利*,芝,1400,良,,武藤,55.0,,11,265.6,6,1.5,6,,,2,2,35.25,36.2,11,ノーセット
5,,5,ドナビッグベン,牝,2, ,110,2,55,,*,佐々木大,(美),秋本大介,タワーオブロンドン,ルーラーシップ,,ネイティヴダンサー系,7,19,2福8,3,未勝利*,ダ,1150,良,,荻野,55.0,,5,34.2,2,0.4,4,,,3,2,35.35,37.6,2,ムーンベリル
6,,6,ベアアミーチ,牝,2, , 97,8,55,,*,松岡正海,(美),杉浦宏昭,ミスチヴィアスアレックス,スウェプトオーヴァーボード,,ネイティヴダンサー系,6,28,2福2,3,未勝利*,芝,1200,良,,上里,52.0,▲,4,17.9,4,1.7,4,,,2,2,33.80,36.3,5,オオセイケイ
6,,7,スウィット,牡,2, ,104,4,55,,,木幡巧也,(美),牧光二,エイシンフラッシュ,キングカメハメハ,,ネイティヴダンサー系,7,19,2福8,3,未勝利*,ダ,1150,良,,木幡,55.0,,4,31.1,5,2.5,2,,,7,6,36.00,39.1,4,ムーンベリル
7,,8,ギムナシオン,牡,2, ,114,1,55,,,横山武史,(美),嘉藤貴行,マテラスカイ,ダイワメジャー,,ロイヤルチャージャー系,9,5,4中1,初,新馬,ダ,1200,重,,横山,55.0,,2,5.1,5,2.4,6,,,8,8,35.50,38.2,7,ポッドビート
7,,9,ヤマニンスペッキオ,牡,2, , 98,7,55,,,江田照男,(美),田中勝春,シュヴァルグラン,シンボリクリスエス,,ロイヤルチャージャー系,9,5,4中1,初,新馬,ダ,1200,重,,江田,55.0,,9,65.5,10,3.0,4,,,11,11,36.60,37.7,4,ポッドビート
8,,10,ダンシングリリー,牝,2, ,100,5,55,,,小崎綾也,(美),佐藤吉勝,マクフィ,ヨハネスブルグ,,ニアークティック系,9,5,4中1,初,新馬,ダ,1200,重,,小崎,55.0,,10,110.2,7,2.6,14,,,7,7,35.30,38.6,9,ポッドビート
8,,11,ヒーローシー,牝,2, , 89,11,55,,,丸田恭介,(美),石栗龍彦,マクフィ,トウカイテイオー,,トゥルビヨン系,9,6,4中2,2,未勝利*,芝,1200,稍,,丸田,55.0,,11,191.4,13,1.8,12,,,13,13,36.40,35.7,8,セイウンリリーナ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092106040704,2026.9.21,月,中山,4中7,4,,未勝利,芝,1800,C,4,,,14,11:20,,馬齢,２歳
