レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091206040301,2026.9.12,土,中山,4中3,1,,未勝利,ダート,1800,,4,不(暫定),曇(暫定),16,09:45,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,サムワンユーラヴド,牝,2,7,15.8, ,  0,,53,◇,,小林美駒,(美),大和田成,ダノンキングリー,Minardi,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,リオンパリス,牡,2,11,62.3, ,  0,,55,,,木幡巧也,(美),清水英克,リオンディーズ,"Aussie Rules",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,アテナプロマコス,牝,2,5,14.5, ,  0,,55,,,ミシェル,(美),和田勇介,ジャスタウェイ,Dubawi,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,ブルードロップ,牝,2,2,7.2, ,  0,,55,,,戸崎圭太,(美),田島俊明,ロードカナロア,ハービンジャー,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,グリマルキン,牡,2,8,18.6, ,  0,,55,,,丹内祐次,(美),柄崎将寿,リオンディーズ,"Twirling Candy",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,ラインディアーナ,牝,2,6,15.2, ,  0,,55,,,武藤雅,(美),武藤善則,アルアイン,メイショウボーラー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,メイプルルビー,牝,2,3,8.3, ,  0,,55,,,横山琉人,(栗),清水久詞,エフフォーリア,キングカメハメハ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,サトノハクマイ,牡,2,1,1.8, ,  0,,55,,,斎藤新,(美),斎藤誠,シルバーステート,Pivotal,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,ワンモアタイム,牝,2,4,8.6, ,  0,,55,,,三浦皇成,(美),鹿戸雄一,エピファネイア,"Roderic O'Connor",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,オラパ,牝,2,9,20.7, ,  0,,55,,,菊沢一樹,(美),伊坂重信,ホットロッドチャーリー,ブラックタイド,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,11,アルレーヴ,牡,2,10,59.9, ,  0,,55,,,原田和真,(美),杉浦宏昭,トーセンレーヴ,メイショウサムソン,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091206040306,2026.9.12,土,中山,4中3,6,,新馬,ダート,1200,,2,不(暫定),曇(暫定),16,12:40,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,レーヴデリオン,牡,2,1,1.7, ,  0,,55,,,石橋脩,(美),上原佑紀,フォーウィールドライブ,"Unusual Heat",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,アーバーバイティ,牡,2,9,22.3, ,  0,,55,,,嶋田純次,(美),武市康男,フォーウィールドライブ,ディスクリートキャット,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,ジェミニディウ,牝,2,4,11.5, ,  0,,55,,,丹内祐次,(美),伊藤圭三,マジェスティックウォリアー,ゴールドアリュール,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,トパーズヘッド,牡,2,12,71.7, ,  0,,55,,,菅原隆一,(美),佐藤吉勝,クリソベリル,"Giant's Causeway",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,クリアマインド,牝,2,11,36.4, ,  0,,55,,,原優介,(美),高柳瑞樹,ディーマジェスティ,ファスリエフ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,ミコウェイ,牝,2,8,16.5, ,  0,,53,◇,,小林美駒,(美),鈴木伸尋,キャプテンキング,エイシンフラッシュ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,ソットマツモト,牝,2,3,11.5, ,  0,,55,,,田辺裕信,(美),竹内正洋,ヴァンゴッホ,マジェスティックウォリアー,,,,,,,,,,,,,,,,,,,,,,,,,,,
