レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026030706020301,2026.3.7,土,中山,2中3,1,,未勝利,ダート,1200,,2,,,16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
枠番,B,番,馬名S,性別,年齢,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,リスペクトライト,牡,3, , 93,9,54,▲,*,石神深道,(美),和田正一,フリオーソ,フジキセキ,ロイヤルチャージャー系,ロイヤルチャージャー系,1,22,船橋,5,ベスト,ダ,1600,良,,町田,56.0,,6,,8,1.9,,11,11,9,10,,----,,マイネルミラケル
1,,2,アンセートゥモダン,牝,3, , 87,11,55,,*,大野拓弥,(美),杉浦宏昭,ルヴァンスレーヴ,ダイワメジャー,,ロイヤルチャージャー系,1,24,1小1,11,未勝利,ダ,1000,良,,水沼,52.0,▲,14,540.8,9,2.1,12,,,12,13,36.60,37.1,8,カッタッパ
2,,3,イセッセイ,牝,3, , 86,12,52,▲,,遠藤汰月,(美),伊藤伸一,エスポワールシチー,ハービンジャー,,ニアークティック系,1,25,1中9,3,未勝利,ダ,1200,良,,遠藤,52.0,▲,16,696.6,12,3.4,16,,,14,13,36.90,39.4,12,アンプイットアップ
2,B,4,フェイスリフト,牡,3, ,106,5,57,,,原優介,(美),嘉藤貴行,フォーウィールドライブ,ブラックタイド,,ロイヤルチャージャー系,1,25,1中9,10,未勝利,芝,1600,良,B,原優,57.0,,6,23.5,7,2.0,2,,1,2,1,34.74,37.4,12,ナイスプレーアスク
3,,5,アクロスメモリア,牝,3, ,109,2,55,,*,武豊,(美),田島俊明,マインドユアビスケッツ,アグネスタキオン,,ロイヤルチャージャー系,1,4,1中1,3,未勝利・牝,ダ,1200,稍,,戸崎,55.0,,4,14.3,3,0.8,5,,,5,3,34.30,39.2,4,フュルスティン
3,,6,ジョアンズベスト,牝,3, ,  0,,55,,,木幡巧也,(美),牧光二,フォーウィールドライブ,Orientate,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,ドラリズム,牡,3, ,105,6,57,,*,武藤雅,(美),武藤善則,コパノリッキー,ネオユニヴァース,,ロイヤルチャージャー系,1,25,1中9,8,未勝利,ダ,1200,良,,津村,57.0,,8,38.6,6,1.5,7,,,6,5,34.80,39.6,10,サトノエスケープ
4,,8,シュヴァルツシルト,牡,3, ,111,1,57,,,津村明秀,(美),田島俊明,ミスチヴィアスアレックス,ワークフォース,,ネイティヴダンサー系,2,15,1東6,9,未勝利,ダ,1300,良,,津村,57.0,,4,4.5,4,1.7,6,,,1,1,35.74,38.1,9,ジャックナダル
5,,9,ノアシルヴィ,牝,3, , 95,8,52,▲,*,石田拓郎,(美),天間昭一,ファインニードル,ハービンジャー,,ニアークティック系,12,21,5中6,8,未勝利*,ダ,1200,不,,菅原,55.0,,10,63.4,10,2.3,10,,,10,9,35.20,38.4,11,ホウオウヘッセン
