レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026031406020501,2026.3.14,土,中山,2中5,1,,未勝利,ダート,1800,,4,良(暫定),曇(暫定),16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
6,,11,カンフーヒーロー,牡,3,16,148.1, , 92,14,57,,,木幡巧也,(美),的場均,ストロングリターン,"Fusaichi Pegasus",,ネイティヴダンサー系,2,28,2中1,5,未勝利,ダ,1800,重,,木幡,57.0,,12,333.5,7,2.3,10,11,11,11,10,38.60,39.9,4,インディヴァイン
6,,12,ヴァンデスペランス,牡,3,3,5.1, ,110,5,57,,*,岩田康誠,(美),中舘英二,ドレフォン,キングカメハメハ,,ネイティヴダンサー系,1,12,1中5,3,未勝利,ダ,1800,良,,内田,57.0,,3,7.0,4,0.7,2,11,11,11,8,38.45,40.0,2,ジェイエルモーダル
7,,13,ウェイヴメカニクス,牡,3,11,37.5, ,101,8,57,,*,荻野極,(美),萩原清,リアルスティール,ハービンジャー,,ニアークティック系,2,15,1東6,初,新馬,ダ,1600,良,,三浦,57.0,,5,17.7,10,1.5,2,,,16,14,38.16,37.7,5,タイセイジェイド
7,,14,エイシンニラク,牡,3,13,90.6, , 89,15,57,,*,菊沢一樹,(美),勢司和浩,サトノクラウン,エイシンアポロン,,ニアークティック系,2,14,1小7,3,未勝利,芝,2000,良,,舟山,54.0,▲,16,334.3,14,1.9,15,14,16,17,16,36.99,36.3,8,ノンブルドール
8,B,15,ダゴベルト,牡,3,7,13.9, ,  0,,57,,,丹内祐次,(美),宮田敬介,ロードカナロア,ハーツクライ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,レイズレガシー,牡,3,4,9.0, ,108,6,57,,*,横山武史,(美),高柳瑞樹,ロジャーバローズ,ヤマニンセラフィム,,ロイヤルチャージャー系,2,21,1東7,初,新馬,ダ,1600,良,,菅原,57.0,,2,5.6,5,0.9,6,,,6,5,37.20,38.0,5,ナムラダリア
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026031406020503,2026.3.14,土,中山,2中5,3,,未勝利,ダート,1200,,2,良(暫定),曇(暫定),16,11:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,コハクロン,牡,3,15,74.4, , 92,11,57,,*,斎藤新,(美),尾形和幸,デクラレーションオブウォー,ルーラーシップ,,ネイティヴダンサー系,1,12,1中5,3,未勝利,ダ,1200,良,,舟山,54.0,▲,10,81.7,12,2.4,13,,,15,15,36.90,38.3,8,アイスメルティング
1,,2,ピグマリオン,牡,3,6,20.2, ,105,4,57,,*,佐々木大,(美),斎藤誠,アメリカンペイトリオット,ディープインパクト,,ロイヤルチャージャー系,1,24,1中8,初,新馬,ダ,1200,良,,菅原,57.0,,5,26.6,7,1.4,6,,,12,12,37.70,37.9,2,サマーゲール
2,,3,シーシェル,牝,3,9,28.5, , 99,7,55,,*,武藤雅,(美),武藤善則,アドマイヤマーズ,クロフネ,,ニアークティック系,1,24,1中8,初,新馬,ダ,1200,良,,江田,55.0,,9,48.9,4,1.0,13,,,4,3,36.40,38.8,9,サマーゲール
2,,4,ミルトハーバー,牡,3,2,4.7, ,113,2,57,,,田辺裕信,(美),鈴木慎太,レイデオロ,アルデバラン2,,ネイティヴダンサー系,2,28,2中1,12,未勝利,ダ,1200,重,,田辺,57.0,,4,7.1,3,0.5,6,,,5,2,34.60,36.8,4,リゾートライン
3,,5,チッタデラモーレ,牡,3,11,40.1, , 90,12,53,★,*,谷原柚希,(美),伊藤圭三,アメリカンペイトリオット,ハーツクライ,,ロイヤルチャージャー系,2,8,1小6,7,未勝利,芝,1800,良,,菊沢,57.0,,12,74.2,15,3.0,12,3,4,2,5,37.05,38.7,15,ムスクレスト
3,,6,デルマアソ,牝,3,10,35.3, , 87,14,55,,*,木幡巧也,(美),田島俊明,エイシンフラッシュ,ノヴェリスト,,その他のエクリプス系,1,24,1中8,初,新馬,ダ,1200,良,,小林,55.0,,15,218.7,14,3.2,10,,,6,7,36.60,40.8,14,サマーゲール
4,,7,アシャカバッハ,牡,3,13,50.8, , 95,9,54,▲,*,石田拓郎,(美),小笠倫弘,モーニン,ハーツクライ,,ロイヤルチャージャー系,1,17,1中6,29,未勝利,ダ,1200,良,,小林,54.0,▲,8,43.5,14,2.7,4,,,9,10,35.40,40.3,15,サントマーレ
4,,8,アンジュブルー,牝,3,8,21.8, ,  0,,55,,*,野中悠太,(美),稲垣幸雄,ダノンスマッシュ,マンハッタンカフェ,,ロイヤルチャージャー系,2,28,2中1,2,未勝利・牝,ダ,1200,重,,杉原,55.0,,--,,外,----,,,,,,,----,,タヤスロレンヌ
5,,9,エコロバロン,牡,3,5,8.1, ,104,5,57,,,菊沢一樹,(美),菊沢隆徳,フォーウィールドライブ,オルフェーヴル,,,1,17,1中6,2,未勝利,ダ,1200,良,,菊沢,57.0,,4,6.8,6,1.0,2,,,5,5,34.90,39.1,7,サントマーレ
5,,10,タイセイギガース,牡,3,12,47.4, , 93,10,57,,,丹内祐次,(美),伊藤圭三,セイウンコウセイ,スマートボーイ,,ニアークティック系,12,7,5中2,2,未勝利*,ダ,1200,良,,丹内,56.0,,14,360.8,11,1.6,8,,,6,6,34.60,39.9,13,ドナソール
6,,11,ミリオングローリー,牡,3,3,6.8, ,107,3,55,△,,長浜鴻緒,(美),蛯名正義,ミッキーグローリー,コロナドズクエスト,,ネイティヴダンサー系,2,22,1東8,初,新馬,ダ,1400,良,,長浜,55.0,△,8,18.1,4,1.3,2,,,9,8,37.20,39.3,7,ローズブーケ
6,,12,イゲマジャ,牡,3,14,74.4, , 90,12,54,▲,,佐藤翔馬,(美),清水英克,キセキ,マツリダゴッホ,,ロイヤルチャージャー系,1,31,1東1,初,新馬,ダ,1400,良,,佐藤,54.0,▲,15,176.4,10,1.7,10,,,13,13,39.23,37.1,2,ユキノグラス
7,,13,ロイヤルスパイア,牡,3,1,3.1, ,126,1,57,,*,横山武史,(美),栗田徹,タワーオブロンドン,ストーミングホーム,,ネイティヴダンサー系,3,1,1小C,11,未勝利,芝,1200,良,,斎藤,57.0,,3,4.2,4,0.1,4,,,8,7,34.00,35.5,5,プルヴォワール
7,,14,キイチムーブメント,セ,3,16,106.9, , 86,15,57,,,小林脩斗,(美),青木孝文,エスポワールシチー,ディープスカイ,,ロイヤルチャージャー系,1,17,1中6,初,新馬,ダ,1800,良,,小林,57.0,,15,196.8,14,3.5,16,14,14,10,11,39.10,42.2,14,ガムラスタン
8,,15,ゴールドパレード,牡,3,4,6.9, ,104,5,57,,*,原優介,(美),天間昭一,ゴールドアクター,ベーカバド,,ニアークティック系,2,7,1小5,9,未勝利,芝,1200,良,,石神,54.0,▲,5,14.6,8,0.9,10,,,8,8,34.10,35.7,9,ウォーターデライト
8,,16,ベアゴーフォー,牡,3,7,21.1, , 96,8,57,,*,松岡正海,(美),杉浦宏昭,シャンハイボビー,ディープインパクト,,ロイヤルチャージャー系,1,31,1小3,4,未勝利,ダ,1000,良,,水沼,54.0,▲,8,34.7,10,1.3,4,,,6,6,34.95,36.9,11,ウーマンズパワー
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026031406020504,2026.3.14,土,中山,2中5,4,,未勝利,ダート,1800,,4,良(暫定),曇(暫定),16,11:35,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ティブロン,牡,3,7,23.5, , 94,9,57,,,横山琉人,(美),矢嶋大樹,リオンディーズ,アドマイヤムーン,,ネイティヴダンサー系,2,28,1小B,4,未勝利,芝,2000,稍,,横山,57.0,,12,154.1,10,1.7,12,11,9,12,11,36.94,37.3,10,ニホンピロロジャー
1,,2,オーパパ,牡,3,8,23.8, , 97,8,57,,,斎藤新,(美),斎藤誠,アメリカンペイトリオット,エピファネイア,,,2,8,1小6,5,未勝利,ダ,1700,良,,斎藤,57.0,,10,17.4,9,2.1,12,9,10,11,13,37.64,40.6,5,イサギ
2,B,3,セイントクーヤ,牡,3,5,18.4, , 93,12,57,,,原優介,(美),黒岩陽一,"St Mark's Basilica","Le Havre",,ナスルーラ系,2,21,1東7,9,未勝利,芝,2400,良,,原優,57.0,,10,69.9,13,1.6,9,7,7,6,5,37.43,36.1,13,ゴールデンパゴーダ
2,,4,ナイトバード,牡,3,2,10.9, ,104,3,57,,,三浦皇成,(美),田村康仁,キズナ,ジャスタウェイ,,,2,21,1東7,5,未勝利,芝,2400,良,,三浦,57.0,,4,10.8,5,0.7,2,6,7,9,10,37.57,34.8,4,ゴールデンパゴーダ
3,,5,ハイランダー,牡,3,15,92.8, , 98,6,57,,*,丹内祐次,(美),萩原清,スワーヴリチャード,メイショウサムソン,,ニアークティック系,1,24,1中8,8,未勝利,ダ,1800,良,,丸田,57.0,,12,299.7,7,1.5,14,14,14,14,11,38.75,41.0,2,スノースコール
3,,6,パワポケグッド,牡,3,10,48.4, , 92,13,57,,,小林凌大,(美),大和田成,インカンテーション,ローエングリン,,ニアークティック系,1,11,1中4,初,新馬,ダ,1800,良,,小林,57.0,,15,171.8,9,2.4,14,7,7,8,8,39.05,40.2,8,エスシービクトリア
4,,7,コパノミラノ,牡,3,9,37.9, , 94,9,57,,,柴田大知,(美),上原博之,コパノリッキー,エイシンフラッシュ,,,3,1,2中2,8,未勝利,ダ,1800,稍,,柴田,57.0,,15,166.8,8,1.7,12,15,14,16,15,38.65,39.4,3,アトラステソーロ
4,,8,イナズマダイモン,牡,3,1,1.3, ,131,1,57,,*,ルメール,(美),宮田敬介,クリソベリル,Bernardini,,ナスルーラ系,2,14,1東5,12,未勝利,ダ,1600,良,,川田,57.0,,1,1.3,2,0.2,1,,,6,5,37.26,36.6,2,リアライズタキオン
5,B,9,タマモブレイキン,牡,3,12,64.9, ,101,4,54,▲,*,佐藤翔馬,(美),伊藤圭三,ブリックスアンドモルタル,ハーツクライ,,ロイヤルチャージャー系,2,15,1東6,初,新馬,ダ,1600,良,B,横山,57.0,,3,6.9,12,2.6,4,,,9,9,37.80,39.4,14,タイセイジェイド
5,,10,ガイストゼーゲン,牡,3,11,54.8, , 98,6,57,,,江田照男,(美),高木登,リオンディーズ,クロフネ,,ニアークティック系,2,21,1東7,2,未勝利,ダ,1600,良,,江田,57.0,,9,47.8,11,3.0,6,,,5,5,36.60,40.8,12,エムノビアンカ
6,,11,アオハルブルース,牡,3,3,13.9, , 99,5,57,,*,田辺裕信,(美),栗田徹,ゴールドドリーム,Flatter,,ナスルーラ系,1,12,1中5,3,未勝利,ダ,1800,良,,佐々,57.0,,2,5.9,16,8.8,3,4,4,6,12,38.30,48.4,16,ジェイエルモーダル
6,,12,ララムーティエ,牝,3,16,197.8, , 82,15,55,,,小林脩斗,(美),青木孝文,ノーブルミッション,マーベラスサンデー,,ロイヤルチャージャー系,3,7,2中3,初,未勝利・牝,ダ,1200,重,,小林,55.0,,15,397.5,16,4.0,13,,,10,11,35.10,40.2,16,トモジャオーリー
7,,13,メディチパワー,牡,3,4,15.4, ,108,2,57,,,木幡巧也,(美),中川公成,フィレンツェファイア,ハーツクライ,,ロイヤルチャージャー系,12,13,5中3,3,未勝利*,ダ,1800,良,,木幡,56.0,,3,6.7,6,1.2,5,10,9,6,5,38.75,39.8,6,ガンダ
7,,14,ルージュノヴァ,牝,3,13,74.5, , 90,14,53,△,*,長浜鴻緒,(美),萱野浩二,アメリカンペイトリオット,Tapit,,ナスルーラ系,3,1,1小C,7,未勝利,ダ,1000,稍,,橋木,52.0,▲,14,486.1,8,2.2,10,,,14,13,35.85,36.1,5,ファンシーフリル
8,,15,レプレセンタル,牡,3,6,22.4, ,  0,,57,,,荻野極,(美),池上昌和,ジャスタウェイ,クロフネ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,ベンガルボダイジュ,牡,3,14,75.8, , 94,9,54,▲,*,遠藤汰月,(美),杉浦宏昭,ルーラーシップ,ハーツクライ,ネイティヴダンサー系,ロイヤルチャージャー系,2,26,浦和,5,ツイン,ダ,1400,不,,石川,56.0,,6,,3,1.3,,8,9,9,5,,----,,タイセイエキサイト
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026031406020505,2026.3.14,土,中山,2中5,5,,未勝利,芝,1600,A,3,良(暫定),曇(暫定),16,12:25,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,スカイプライド,牝,3,8,36.6, ,  0,,55,,,原優介,(美),黒岩陽一,フィエールマン,Kyllachy,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,ユマハム,牡,3,3,5.5, ,106,4,57,,*,三浦皇成,(美),田中博康,コントレイル,"Rainbow Quest",,ナスルーラ系,6,15,3東4,初,新馬,芝,1600,稍,,横山,55.0,,3,3.9,5,2.7,1,,,4,4,36.78,37.1,6,リアライズシリウス
2,,3,サドルトウショウ,牝,3,16,192.6, , 89,9,55,,*,野中悠太,(美),萱野浩二,ジャスタウェイ,シンボリクリスエス,,ロイヤルチャージャー系,11,15,5東3,4,未勝利*,ダ,1600,良,B,岩部,55.0,,14,357.0,13,3.5,10,,,8,10,37.56,40.6,12,ムーランオランジュ
2,,4,ヤマニンアレシス,牡,3,2,3.4, ,118,2,57,,,大野拓弥,(美),堀内岳志,イスラボニータ,キングカメハメハ,,ネイティヴダンサー系,2,14,1東5,2,未勝利,芝,1400,良,,大野,57.0,,4,14.3,2,0.0,9,,,8,8,36.68,33.6,3,サンデースマッシュ
3,,5,マンサニージャ,牝,3,5,18.8, ,100,5,55,,,佐々木大,(美),菊川正達,ダノンバラード,ロージズインメイ,,ロイヤルチャージャー系,2,14,1東5,13,未勝利・牝,芝,1800,良,,佐々,55.0,,7,33.9,5,0.9,6,,9,6,7,37.05,34.2,7,ダーリングハースト
