レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081601010801,2026.8.16,日,札幌,1札8,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),14,10:00,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ゴールドジェスター,セ,4,12,51.7, ,103,6,58,,,黛弘人,(美),中川公成,シルバーステート,スクリーンヒーロー,,ロイヤルチャージャー系,8,1,1札3,14,１勝ｸﾗｽ,芝,1800,稍,,黛弘,58.0,,7,39.0,4,1.2,2,10,10,8,5,36.80,35.6,3,ミリオンクラウン
2,,2,ライフイズカラフル,牡,3,7,13.4,>,103,6,55,,,斎藤新,(栗),河嶋宏樹,サトノダイヤモンド,ストリートセンス,,ネイティヴダンサー系,8,1,1札3,6,未勝利,芝,1800,稍,,斎藤,57.0,,3,5.5,1,-0.1,3,3,4,4,2,36.70,35.3,3,(コスモクラシック)
3,,3,マイバラード,牡,6,14,81.5, , 98,9,55,▲,*,遠藤汰月,(美),松永康利,ダノンバラード,ロージズインメイ,,ロイヤルチャージャー系,8,1,1札3,2,１勝ｸﾗｽ,芝,1800,稍,,斎藤,58.0,,6,32.7,7,1.6,5,8,8,10,8,36.85,35.9,5,ミリオンクラウン
3,,4,トクシージェネラル,牡,5,13,58.9, , 95,13,58,,,横山琉人,(美),小島茂之,"Omaha Beach","Smart Strike",,ネイティヴダンサー系,5,31,2東C,5,１勝ｸﾗｽ,芝,1800,良,B,横山,58.0,,8,36.6,9,1.7,9,,8,8,7,36.00,34.8,8,セイロンジェムズ
4,,5,ハヤブササキチャン,牝,3,1,3.3, ,119,2,53,,,吉田隼人,(栗),東田明士,リアルスティール,ハービンジャー,,ニアークティック系,8,1,1札3,10,１勝ｸﾗｽ・牝,芝,1500,稍,,吉田,53.0,,4,5.8,3,0.2,2,,6,6,7,36.60,34.3,2,イヌボウノウタゴエ
4,,6,ブランドブラン,牡,3,11,24.6,>,110,4,55,,*,西村淳也,(栗),杉山晴紀,Frosted,Tiznow,,マンノウォー系,4,18,1福3,9,未勝利・若,芝,1800,良,,泉谷,57.0,,2,4.0,1,-0.4,1,4,4,3,3,36.30,34.6,2,(ウインマニフィーク)
5,,7,レダアトミカ,牝,3,3,7.9, , 96,11,53,,*,北村友一,(美),上原佑紀,リアルスティール,Orpen,,ニアークティック系,6,21,1函4,10,遊楽部特･1勝,芝,2000,良,,舟山,53.0,,3,4.8,12,2.1,1,8,8,10,11,36.30,37.1,11,アストリル
5,,8,ブルースカイブルー,牡,3,9,16.5, ,114,3,55,,,池添謙一,(栗),平田修,ハービンジャー,ハーツクライ,ニアークティック系,ロイヤルチャージャー系,8,1,1札3,11,１勝ｸﾗｽ,芝,1800,稍,,池添,55.0,,2,3.3,5,1.3,6,7,7,5,3,36.65,36.0,6,ミリオンクラウン
6,,9,クラシカルカイザー,牡,4,4,9.3, ,  0,,55,▲,*,小林美駒,(美),稲垣幸雄,リアルスティール,キングズベスト,,ネイティヴダンサー系,6,3,園田,4,Ｃ１　,ダ,1870,重,,小牧,57.0,,2,,2,0.5,,4,4,1,2,,----,,イスキオス
6,,10,クリスレジーナ,牝,3,2,5.4, ,121,1,53,,*,横山武史,(栗),高野友和,エピファネイア,ディープインパクト,,ロイヤルチャージャー系,7,26,1札2,2,厚岸特別･1勝,芝,2000,良,,鮫島,53.0,,1,2.2,3,0.2,3,1,1,2,1,36.43,35.4,4,デルマジュテーム
7,B,11,テンレディーゴー,牡,3,6,11.2,>, 97,10,55,,,佐々木大,(美),菊川正達,デクラレーションオブウォー,エピファネイア,,,7,25,1札1,3,未勝利,芝,1800,良,B,佐々,57.0,,10,35.3,1,-0.6,6,7,7,2,1,36.25,35.4,4,(コワンニシタガウ)
7,,12,カーフキック,セ,4,10,20.7, , 96,11,58,,*,大野拓弥,(美),高橋文雅,マインドユアビスケッツ,ステイゴールド,,ロイヤルチャージャー系,7,4,1函7,12,１勝ｸﾗｽ,ダ,1700,良,,舟山,57.0,☆,3,12.5,6,1.8,5,5,6,6,7,37.91,37.8,6,シーズザスローン
8,,13,コウギョク,牝,3,5,10.3, ,103,6,53,,,横山和生,(栗),昆貢,シルバーステート,"Harlan's Holiday",,ニアークティック系,7,18,1函B,12,湯浜特別･1勝,芝,1800,良,,横山,53.0,,8,20.6,6,0.3,11,7,7,7,6,36.10,35.7,4,ドッグウッド
8,,14,ナムラヒナギク,牝,3,8,13.5, ,107,5,53,,,小沢大仁,(栗),大橋勇樹,ジョーカプチーノ,マツリダゴッホ,ロイヤルチャージャー系,ロイヤルチャージャー系,7,25,1札1,2,１勝ｸﾗｽ・牝,芝,1800,良,,小沢,53.0,,4,6.6,3,0.9,6,10,8,3,3,37.15,35.1,8,ガーネットフレア
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026081601010804,2026.8.16,日,札幌,1札8,4,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),14,11:30,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アロハ,牝,3,10,32.8, ,103,4,55,,*,西村淳也,(栗),橋田宜長,エピファネイア,ディープインパクト,,ロイヤルチャージャー系,7,25,1札1,4,未勝利・牝,芝,1500,良,,丹内,55.0,,4,6.7,7,1.1,2,,9,9,8,35.80,35.3,7,フレッチャアズーラ
2,,2,トランスマリーン,牡,3,9,24.0, , 98,10,54,▲,,和田陽希,(栗),平田修,ロードカナロア,ゼンノロブロイ,,ロイヤルチャージャー系,7,25,1札1,24,未勝利,芝,1800,良,B,和田,54.0,▲,9,32.5,9,1.1,14,1,1,3,5,36.35,36.3,8,テンレディーゴー
3,B,3,ワンダージェム,牝,3,7,22.4, , 90,13,54,☆,*,長浜鴻緒,(栗),石坂公一,ワールドエース,エンパイアメーカー,,ネイティヴダンサー系,7,12,1函A,5,未勝利・牝,芝,2000,重,,佐々,55.0,,10,72.2,10,2.4,4,3,3,6,9,36.43,39.8,11,ベネディクション
3,,4,メイショウタイザン,牡,3,8,22.6, ,103,4,57,,*,小沢大仁,(栗),高橋義忠,ミッキーアイル,メイショウボーラー,,ロイヤルチャージャー系,7,26,1札2,4,未勝利,ダ,1700,良,,横山,57.0,,4,6.7,6,0.7,4,8,8,7,5,37.85,37.7,4,タイセイルビー
4,,5,テリオスリコ,牝,3,14,78.9, , 92,12,55,,,古川吉洋,(栗),松下武士,ルーラーシップ,ハーツクライ,ネイティヴダンサー系,ロイヤルチャージャー系,8,2,1札4,4,未勝利・牝,ダ,1700,良,,古川,55.0,,11,113.3,9,2.5,4,13,12,12,10,37.58,39.4,5,ローゾフィア
4,,6,ディープマウンテン,牝,3,11,56.3, , 86,14,55,,,吉田隼人,(美),深山雅史,エイシンフラッシュ,アグネスタキオン,,ロイヤルチャージャー系,8,1,1札3,2,未勝利,芝,1800,稍,,吉田,55.0,,12,87.1,7,0.8,12,7,6,6,7,36.80,35.9,5,ライフイズカラフル
5,,7,エースオブゴールド,牡,3,13,61.6, ,100,8,57,,*,佐々木大,(美),堀内岳志,ブラックタイド,ワイルドラッシュ,ロイヤルチャージャー系,ニアークティック系,8,2,1札4,2,未勝利,ダ,1700,良,,横山,57.0,,8,134.5,5,2.2,6,9,8,9,8,37.96,38.4,4,ワンダーブリッツ
5,,8,アルジェンタム,セ,3,1,1.8, ,120,1,57,,,横山和生,(栗),野中賢二,シルバーステート,"Union Rags",,,8,1,1札3,7,未勝利,ダ,1700,稍,,横山,57.0,,1,2.3,3,0.3,5,9,8,8,3,37.75,38.0,2,リテラシー
6,,9,メカニックバレエ,牝,3,12,59.7, ,101,7,55,,*,小野楓馬,(栗),中村直也,ダノンプレミアム,ロードカナロア,,,7,18,1函B,21,未勝利,芝,1200,良,,横山,55.0,,10,40.9,9,1.7,6,,,2,2,34.20,36.1,13,ホウオウザロイヤル
6,B,10,フォーティンブラス,牡,3,5,15.7, , 96,11,55,◇,*,古川奈穂,(栗),池江泰寿,エピファネイア,ディープインパクト,,ロイヤルチャージャー系,8,2,1札4,13,未勝利,芝,2000,良,,小沢,57.0,,7,24.0,7,1.3,3,12,12,11,8,36.69,36.4,4,ウインベルチェーロ
