レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092006040601,2026.9.20,日,中山,4中6,1,,未勝利,ダート,1800,,4,良(暫定),曇(暫定),16,10:00,,馬齢,２歳
4,,4,オペレッタテソーロ,牝,2,10,28.2, , 89,12,55,,*,佐々木大,(美),菊川正達,キタサンブラック,ドゥラメンテ,,,8,8,2新5,初,新馬,芝,1800,良,,木幡,55.0,,9,87.3,10,2.6,10,,,9,9,37.20,35.4,9,コラリオン
4,,5,ポッドレーヴ,牡,2,11,28.5, ,101,7,55,,*,横山武史,(美),平岩大典,ルヴァンスレーヴ,キングカメハメハ,,ネイティヴダンサー系,8,22,3新1,7,未勝利*,ダ,1800,良,,石田,53.0,△,7,15.1,5,3.7,4,6,8,4,4,37.95,41.1,5,ユイノリュウギ
5,,6,スーパーユタカ,牡,2,4,7.6, ,115,2,53,△,,石神深道,(美),武井亮,エフフォーリア,キングカメハメハ,,ネイティヴダンサー系,8,9,2新6,5,未勝利*,芝,2000,良,,石神,53.0,△,3,7.2,5,1.1,8,3,3,3,3,36.56,35.8,8,ラガリーガ
5,,7,スカーレットクラン,牝,2,5,15.5, , 98,9,55,,*,岩田康誠,(美),林徹,ホットロッドチャーリー,ルーラーシップ,,ネイティヴダンサー系,8,2,2新4,初,新馬,芝,1600,良,,武藤,55.0,,7,24.0,7,0.5,6,,,11,11,37.80,34.2,2,ニシノトラノスケ
6,,8,マイネルヘルリッヒ,牡,2,7,17.3, , 96,10,55,,,柴田大知,(美),清水英克,ウインブライト,"Rock Hard Ten",,ロイヤルチャージャー系,9,5,4中1,初,新馬,芝,2000,良,,柴田,55.0,,10,144.7,6,1.3,10,5,5,4,5,38.36,35.1,5,ヴェトロテンペスタ
6,,9,ティアラスピリット,牝,2,9,22.4, ,102,6,55,,,菊沢一樹,(美),上原博之,シャンハイボビー,マンハッタンカフェ,,ロイヤルチャージャー系,9,5,4中1,7,未勝利*,芝,1800,稍,,菊沢,55.0,,6,32.9,4,0.7,6,5,5,6,6,36.95,35.2,3,コスモプルー
7,,10,タイセイソアリング,牡,2,3,7.6, ,104,4,55,,*,西村淳也,(美),池上昌和,コントレイル,Montjeu,,ニアークティック系,8,30,3新4,8,未勝利*,芝,2000,良,,菊沢,55.0,,3,4.1,5,0.5,2,3,5,4,4,37.50,36.6,5,ニシノリリックス
7,,11,マイネルシードル,牡,2,12,28.8, , 88,13,55,,*,武藤雅,(美),和田正一,ダノンバラード,ブライアンズタイム,,ロイヤルチャージャー系,9,5,4中1,初,新馬,芝,2000,良,,石神,53.0,△,11,163.3,8,2.2,11,11,11,10,8,38.74,35.1,5,ヴェトロテンペスタ
8,,12,タッカーヴィーナス,牝,2,8,21.0, ,101,7,55,,,津村明秀,(美),鈴木伸尋,サリオス,エイシンフラッシュ,,,8,22,3新1,初,新馬,芝,1600,良,,津村,55.0,,3,6.7,8,0.8,3,,,6,6,37.68,34.0,7,ジップスパーク
8,,13,サウンズオーサム,牝,2,1,2.3, ,120,1,55,,*,ルメール,(美),千葉直人,アドマイヤマーズ,"Awesome Gambler",,ネイティヴダンサー系,7,18,2福7,初,新馬・牝,芝,1800,良,,荻野,55.0,,2,5.4,3,0.1,5,3,3,5,3,37.15,35.2,1,シルクドマルス
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092006040604,2026.9.20,日,中山,4中6,4,,新馬,ダート,1800,,4,良(暫定),曇(暫定),16,11:35,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ロードベラヴィータ,牡,2,4,9.8, ,  0,,55,,,横山和生,(美),上原佑紀,ドレフォン,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,ワンダーマーベル,牡,2,5,10.0, ,  0,,55,,,横山琉人,(美),斎藤誠,エスポワールシチー,エンパイアメーカー,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,マートングレイス,牝,2,6,11.0, ,  0,,55,,,岩田康誠,(美),高木登,シニスターミニスター,フレンチデピュティ,ナスルーラ系,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,シャローオネスト,牡,2,9,14.1, ,  0,,55,,,ミシェル,(栗),安田翔伍,ホットロッドチャーリー,アグネスタキオン,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,レガシーマインド,牡,2,10,16.3, ,  0,,55,,,佐々木大,(栗),西園翔太,マインドユアビスケッツ,タートルボウル,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,アフォーダビリティ,牝,2,15,74.6, ,  0,,52,▲,,上里直汰,(美),和田雄二,エスケンデレヤ,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,ルバルマン,牡,2,13,25.9, ,  0,,55,,,大野拓弥,(美),堀内岳志,クリソベリル,スクリーンヒーロー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,アイファーニキーヤ,牝,2,16,77.7, ,  0,,55,,,松岡正海,(美),蛯名利弘,サンライズノヴァ,アサクサデンエン,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,フレイムオブキング,牡,2,7,11.2, ,  0,,55,,,ルメール,(美),稲垣幸雄,クリソベリル,Vadamos,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,ブリスブリンク,牝,2,3,9.7, ,  0,,55,,,津村明秀,(美),辻哲英,クリソベリル,ワイルドラッシュ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,グランレーヴ,牡,2,11,20.0, ,  0,,55,,,菊沢一樹,(美),武市康男,ルヴァンスレーヴ,キズナ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,パウンドザロック,牝,2,8,12.4, ,  0,,55,,,西村淳也,(美),宮田敬介,サリオス,シンボリクリスエス,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,エコロガレル,牡,2,2,8.1, ,  0,,55,,,三浦皇成,(美),中舘英二,パイロ,ゴールドアリュール,ナスルーラ系,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,エマルタ,牝,2,14,38.0, ,  0,,53,△,,石田拓郎,(美),浅利英明,コパノリッキー,クロフネ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,サクシードシチー,牡,2,1,4.0, ,  0,,55,,,武豊,(美),伊藤圭三,ロジャーバローズ,"Giant's Causeway",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,ディスクリートサム,牡,2,12,23.5, ,  0,,55,,,丹内祐次,(美),栗田徹,ディスクリートキャット,パイロ,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092006040605,2026.9.20,日,中山,4中6,5,,新馬,芝,1600,C,3,良(暫定),曇(暫定),16,12:25,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ファンタジーゲーム,牝,2,8,26.9, ,  0,,55,,,石橋脩,(美),矢野英一,ロゴタイプ,アグネスタキオン,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,マイバーゲン,牡,2,11,43.9, ,  0,,53,△,,石神深道,(美),柄崎将寿,リアルスティール,ディープスカイ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,テルケンレンジシ,牡,2,15,69.6, ,  0,,55,,,木幡育也,(美),勢司和浩,モーリス,クロフネ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,クロノスフィア,牝,2,3,10.1, ,  0,,53,◇,,小林美駒,(美),黒岩陽一,ルーラーシップ,ディープインパクト,ネイティヴダンサー系,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,アニーリング,牝,2,9,32.5, ,  0,,55,,,岩田康誠,(美),尾関知人,グローリーヴェイズ,"Shanghai Bobby",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,ラプチュラス,牝,2,2,5.3, ,  0,,55,,,津村明秀,(栗),西園翔太,エフフォーリア,ダイワメジャー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,フロックコート,牡,2,14,52.8, ,  0,,55,,,戸崎圭太,(美),牧光二,アルバート,タートルボウル,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,ファイナルラッキー,牡,2,10,36.2, ,  0,,55,,,武藤雅,(美),武藤善則,リオンディーズ,ネオユニヴァース,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,ドナフェリーチェ,牝,2,4,11.0, ,  0,,55,,,三浦皇成,(美),柄崎将寿,モズアスコット,ジャスタウェイ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,10,エッセンシャルサン,牡,2,13,46.2, ,  0,,55,,,丹内祐次,(栗),牧浦充徳,サートゥルナーリア,"City Zip",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,ロードキャピタル,牡,2,6,18.6, ,  0,,55,,,横山和生,(美),稲垣幸雄,ロードカナロア,ディープインパクト,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,ポストトゥルース,牝,2,5,14.1, ,  0,,55,,,横山武史,(美),手塚貴徳,ルーラーシップ,ディープインパクト,ネイティヴダンサー系,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,13,ジャストゴーイング,牡,2,7,19.6, ,  0,,55,,,原優介,(美),中川公成,グレーターロンドン,ルーラーシップ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,14,ジュベルシャムス,牝,2,1,2.0, ,  0,,55,,,ルメール,(美),木村哲也,ロードカナロア,"Cape Cross",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,カームラディアンス,牝,2,12,45.2, ,  0,,55,,,佐々木大,(美),池上昌和,サトノクラウン,"Uncle Mo",,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,16,アイレバルバドス,牡,2,16,87.8, ,  0,,52,▲,,遠藤汰月,(美),伊藤伸一,"St Mark's Basilica",Kodiac,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026092006040606,2026.9.20,日,中山,4中6,6,,1勝,ダート,1800,,4,良(暫定),曇(暫定),16,12:55,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,エタンセル,牡,3,3,9.7, ,103,9,53,◇,,小林美駒,(美),高木登,ブリックスアンドモルタル,ディープインパクト,,ロイヤルチャージャー系,8,29,2札3,4,１勝ｸﾗｽ,ダ,1700,稍,,小林,52.0,▲,6,8.7,8,1.6,3,1,1,1,3,37.09,39.0,10,スターオブロンドン
2,,2,ブルージャイアント,牡,4,1,1.8, ,116,2,58,,,江田照男,(美),蛯名正義,サンダースノー,ボーナスフィーバー,,ネイティヴダンサー系,6,14,3東4,3,１勝ｸﾗｽ,ダ,2100,稍,,江田,58.0,,6,10.1,4,0.4,9,4,3,3,2,36.96,39.1,6,マッドゲイル
3,,3,アビヤント,牡,3,5,13.5, ,111,4,55,,,三浦皇成,(美),鹿戸雄一,モーリス,ハーツクライ,,ロイヤルチャージャー系,8,29,3新3,21,新発田城･1勝,ダ,1800,稍,,三浦,55.0,,3,5.2,7,1.7,8,9,8,7,7,37.90,38.6,6,ルーナディサングエ
3,,4,ホールドミーワンス,牝,3,11,43.0, , 94,13,53,,*,小崎綾也,(栗),西園翔太,ブリックスアンドモルタル,ネオユニヴァース,,ロイヤルチャージャー系,8,8,2名5,11,１勝ｸﾗｽ,芝,1600,良,B,富田,53.0,,10,97.9,10,1.4,7,,3,2,2,35.40,35.3,11,バルセシート
4,,5,ハルノアラシ,牡,4,7,23.9, , 98,12,58,,*,横山琉人,(美),相沢郁,ミスターメロディ,ディープブリランテ,,ロイヤルチャージャー系,7,25,2新1,2,清津峡特･1勝,ダ,1800,稍,,石川,58.0,,11,44.2,7,1.3,7,12,13,10,10,37.90,39.0,1,ロケットパンチ
