レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026041203010201,2026.4.12,日,福島,1福2,1,,未勝利,ダート,1700,,4,良(暫定),晴(暫定),15,09:45,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
2,,3,タイセイフリーデン,牡,3,5,8.4, , 93,8,57,,*,西塚洸二,(栗),大橋勇樹,ダノンスマッシュ,ゼンノロブロイ,,ロイヤルチャージャー系,1,17,1京6,2,未勝利,ダ,1200,良,,田口,57.0,,9,47.5,14,1.8,9,,,6,9,36.60,38.9,15,グラスゴー
2,,4,ディジーピナクル,牡,3,4,8.1, ,102,4,57,,*,松若風馬,(栗),千田輝彦,エピファネイア,Dubawi,,ネイティヴダンサー系,9,27,4阪8,2,未勝利*,芝,1200,良,,岩田,55.0,,2,4.1,14,2.6,4,,,8,7,34.70,37.0,14,フォーゲル
3,,5,アッシュグレイス,牝,3,7,17.7, ,  0,,52,▲,,上里直汰,(美),上原博之,ウインブライト,クロフネ,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,6,リナシタ,牝,3,3,7.4, , 99,6,52,▲,*,石神深道,(美),清水英克,ダノンスマッシュ,ディープインパクト,,ロイヤルチャージャー系,1,18,1中7,6,未勝利,ダ,1200,良,,丹内,55.0,,7,14.8,10,1.9,5,,,8,7,34.70,40.3,11,マーガレットクレア
4,,7,ナツノオジョウサマ,牝,3,8,18.3, ,106,3,55,,,加藤祥太,(栗),小椋研介,シルバーステート,スターリングローズ,,ネイティヴダンサー系,3,21,1阪9,2,未勝利,ダ,1200,稍,,加藤,55.0,,6,39.7,3,0.9,10,,,1,1,36.10,38.1,9,ラヴネヴァーダイズ
4,,8,アースジャッジ,牡,3,11,39.2, , 87,10,57,,*,石川裕紀,(美),高木登,マクフィ,クロフネ,,ニアークティック系,1,10,1中3,14,未勝利,芝,1600,良,,菅原,57.0,,11,123.2,16,4.1,13,,2,8,13,36.18,37.8,16,ディールメーカー
5,,9,グレイシエーション,牝,3,1,2.9, ,111,1,55,,,杉原誠人,(美),栗田徹,モーリス,ダイワメジャー,,ロイヤルチャージャー系,1,18,1中7,11,未勝利,ダ,1200,良,,杉原,55.0,,1,3.4,6,0.9,4,,,2,2,33.50,40.5,12,マーガレットクレア
5,,10,ツルノマイハシ,牝,3,2,5.9, ,108,2,55,,*,丹内祐次,(美),杉浦宏昭,モーリス,ディープインパクト,,ロイヤルチャージャー系,12,28,5中8,2,未勝利*,芝,1200,良,,戸崎,55.0,,4,9.6,6,0.5,16,,,9,8,34.80,34.8,1,ニシノセイドウ
6,,11,コラカオ,牡,3,15,58.3, , 84,11,55,△,*,鷲頭虎太,(栗),坂口智康,インディチャンプ,"More Than Ready",,ロイヤルチャージャー系,10,12,3京4,初,新馬,ダ,1800,良,,小沢,56.0,,15,158.1,15,4.5,11,16,15,14,12,38.90,41.2,14,タマモフリージア
6,,12,ラブペイトー,牝,3,12,47.3, , 82,12,53,◇,*,古川奈穂,(栗),羽月友彦,アメリカンペイトリオット,オレハマッテルゼ,,ロイヤルチャージャー系,11,8,4京1,3,未勝利・牝*,ダ,1800,良,,城戸,55.0,,12,523.2,11,5.7,12,10,10,12,12,38.75,41.5,11,ショコラプリン
