年月日,馬名,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1
20260529,ミスエベレスト,64.6,47.5,31.1,15.4,17.1,16.4,15.7,15.4
20260529,ヴェンデボヌール,65.0,48.0,31.9,16.5,17.0,16.1,15.4,16.5
20260529,ワンダーブリッツ,64.7,47.6,31.5,15.9,17.1,16.1,15.6,15.9
20260529,テンムス,64.1,47.4,30.7,14.8,16.7,16.7,15.9,14.8
20260529,エムノビアンカ,60.3,44.3,29.0,14.2,16.0,15.3,14.8,14.2
20260529,スチョウプリンセス,72.1,51.4,33.4,16.2,20.7,18.0,17.2,16.2
20260529,スードランダム,64.7,48.0,31.5,15.4,16.7,16.5,16.1,15.4
20260529,ブロンクス,64.8,47.6,31.4,15.6,17.2,16.2,15.8,15.6
20260529,ﾒﾗﾝｺﾘｱの24,65.1,48.2,31.3,15.3,16.9,16.9,16.0,15.3
20260529,ファブリック,63.6,47.4,31.5,15.5,16.2,15.9,16.0,15.5
20260529,エストレアボニータ,64.7,47.6,31.3,15.7,17.1,16.3,15.6,15.7
20260529,ムーヴ,67.4,49.6,32.8,16.3,17.8,16.8,16.5,16.3
20260529,ディズレーリ,67.3,49.6,33.1,16.5,17.7,16.5,16.6,16.5
20260529,アンバーニードル,69.6,51.6,34.1,16.3,18.0,17.5,17.8,16.3
20260529,スミレファースト,69.9,51.3,33.0,16.4,18.6,18.3,16.6,16.4
20260529,トキメキジニア,65.1,47.7,31.0,15.7,17.4,16.7,15.3,15.7
20260529,ミスティマウンテン,66.4,48.8,32.2,16.1,17.6,16.6,16.1,16.1
20260529,ルージュラナキラ,69.8,51.2,33.2,16.4,18.6,18.0,16.8,16.4
20260529,タイセイプランセス,74.8,55.3,36.6,18.2,19.5,18.7,18.4,18.2
20260529,ブラックトルネード,64.7,46.8,31.6,17.6,17.9,15.2,14.0,17.6
20260529,リオンアンサー,68.3,50.5,33.3,17.7,17.8,17.2,15.6,17.7
20260529,アラムベイ,69.2,48.9,30.7,15.1,20.3,18.2,15.6,15.1
20260529,ハートチャン,65.7,48.3,32.2,16.0,17.4,16.1,16.2,16.0
20260529,フォーエバーラブ,65.9,48.3,31.9,15.8,17.6,16.4,16.1,15.8
20260529,ヴェロシスタ,66.9,48.1,31.4,15.9,18.8,16.7,15.5,15.9
20260529,エレクトロン,66.7,49.4,32.7,16.4,17.3,16.7,16.3,16.4
20260529,サングラント,64.7,47.4,30.7,14.7,17.3,16.7,16.0,14.7
20260529,プリヴィマーク,66.4,48.9,32.6,16.6,17.5,16.3,16.0,16.6
20260529,ベアハンドキャッチ,66.4,48.9,32.3,16.0,17.5,16.6,16.3,16.0
20260529,ボスヒッツ,70.4,52.0,34.3,16.8,18.4,17.7,17.5,16.8
20260529,ブラックナザレ,68.0,50.0,33.1,17.4,18.0,16.9,15.7,17.4
20260529,シークレットタワー,65.4,47.7,31.5,15.4,17.7,16.2,16.1,15.4
20260529,サウザンサニー,68.3,50.1,32.5,16.1,18.2,17.6,16.4,16.1
20260529,ズイウンゴサイ,56.1,41.2,26.8,13.0,14.9,14.4,13.8,13.0
20260529,キョウエイカンセ,65.5,48.6,32.4,16.3,16.9,16.2,16.1,16.3
20260529,ロサンゼルス,67.3,49.0,31.7,15.2,18.3,17.3,16.5,15.2
20260529,ブリスフル,61.3,45.5,29.9,14.8,15.8,15.6,15.1,14.8
20260529,コガネノソラ,64.4,47.5,30.5,14.4,16.9,17.0,16.1,14.4
20260529,カゼノオモイデ,70.2,52.0,34.0,17.5,18.2,18.0,16.5,17.5
20260529,カスターニエ,66.8,49.0,31.9,15.5,17.8,17.1,16.4,15.5
20260529,スーパーガール,65.5,48.6,32.4,15.8,16.9,16.2,16.6,15.8
20260529,ルクソンライト,69.7,50.0,32.7,16.4,19.7,17.3,16.3,16.4
20260529,カガラプンツェル,65.7,48.4,31.6,15.6,17.3,16.8,16.0,15.6
20260529,タマモブレイキン,67.9,49.6,32.2,15.6,18.3,17.4,16.6,15.6
20260529,ヴェネチアンキング,67.5,49.3,32.3,15.7,18.2,17.0,16.6,15.7
20260529,フィールマイプラン,69.6,50.8,33.1,16.4,18.8,17.7,16.7,16.4
20260529,タマモチョコチップ,67.1,48.8,32.3,15.9,18.3,16.5,16.4,15.9
20260529,ヘルモソブレード,70.1,51.2,33.8,16.7,18.9,17.4,17.1,16.7
