場所,クラス,馬券種,回収率,ウェイト,配分額,レース数/年,年間投資,年間払戻
新潟,新馬,馬連,303.4,0.1802,1800,23.2,41760.0,126699.83999999998
新潟,新馬,複勝,137.8,0.0818,800,23.2,18560.0,25575.68
新潟,未勝利,三連複,165.4,0.371,3700,127.3,471010.0,779050.54
新潟,未勝利,三連単,159.7,0.3582,3500,127.3,445550.0,711543.35
新潟,未勝利,馬連,120.7,0.2707,2700,127.3,343710.0,414857.97
新潟,Ｇ３,三連単,352.1,0.3575,3500,6.1,21350.0,75173.35
新潟,Ｇ３,三連複,283.0,0.2874,2800,6.1,17080.0,48336.4
新潟,Ｇ３,馬連,215.9,0.2192,2100,6.1,12810.0,27656.79
新潟,Ｇ３,複勝,133.8,0.1359,1300,6.1,7929.999999999999,10610.34
新潟,ｵｰﾌﾟﾝ,三連単,363.0,0.3863,3800,12.2,46360.0,168286.8
新潟,ｵｰﾌﾟﾝ,三連複,311.3,0.3313,3300,12.2,40260.0,125329.38
新潟,ｵｰﾌﾟﾝ,馬連,152.8,0.1626,1600,12.2,19520.0,29826.56
新潟,ｵｰﾌﾟﾝ,複勝,112.5,0.1197,1100,12.2,13420.0,15097.5
札幌,1000万,三連単,213.9,0.3601,3600,8.9,32040.0,68533.56
札幌,1000万,三連複,150.8,0.2539,2500,8.9,22250.0,33553.00000000001
札幌,1000万,馬連,125.0,0.2104,2100,8.9,18690.0,23362.5
札幌,1000万,複勝,104.3,0.1756,1700,8.9,15130.0,15780.59
札幌,1勝,馬連,128.1,0.3517,3500,19.2,67200.0,86083.2
札幌,1勝,三連複,124.6,0.3421,3400,19.2,65280.0,81338.88
札幌,1勝,複勝,111.5,0.3062,3000,19.2,57600.0,64224.0
札幌,2勝,三連単,556.1,0.4605,4600,8.3,38180.0,212318.98
札幌,2勝,三連複,368.4,0.3051,3000,8.3,24900.000000000004,91731.6
札幌,2勝,馬連,166.1,0.1376,1300,8.3,10790.000000000002,17922.190000000002
札幌,2勝,複勝,116.9,0.0968,900,8.3,7470.000000000001,8732.43
札幌,500万,三連単,137.7,0.3711,3700,23.6,87320.0,120239.63999999998
札幌,500万,馬連,122.9,0.3312,3300,23.6,77880.0,95714.52
札幌,500万,三連複,110.5,0.2978,2900,23.6,68440.0,75626.2
札幌,新馬,三連複,423.4,0.435,4300,11.6,49880.0,211191.92
札幌,新馬,三連単,218.6,0.2246,2200,11.6,25520.0,55786.72
札幌,新馬,馬連,197.3,0.2027,2000,11.6,23200.0,45773.6
札幌,新馬,複勝,134.1,0.1378,1300,11.6,15080.0,20222.28
札幌,未勝利,三連複,197.8,0.4123,4100,54.8,224680.0,444417.04
札幌,未勝利,三連単,152.7,0.3183,3100,54.8,169880.0,259406.75999999995
札幌,未勝利,馬連,129.3,0.2695,2600,54.8,142480.0,184226.64
札幌,Ｇ３,三連単,875.0,0.4337,4300,3.5,15050.0,131687.5
札幌,Ｇ３,三連複,774.9,0.3841,3800,3.5,13300.0,103061.7
札幌,Ｇ３,馬連,218.1,0.1081,1000,3.5,3500.0,7633.5
札幌,Ｇ３,複勝,149.3,0.074,700,3.5,2450.0,3657.85
札幌,ｵｰﾌﾟﾝ,三連複,236.9,0.3952,3900,5.1,19890.0,47119.41
札幌,ｵｰﾌﾟﾝ,三連単,134.6,0.2245,2200,5.1,11220.0,15102.12
札幌,ｵｰﾌﾟﾝ,馬連,114.7,0.1913,1900,5.1,9690.0,11114.43
札幌,ｵｰﾌﾟﾝ,複勝,113.3,0.189,1800,5.1,9180.0,10400.94
東京,1000万,三連複,175.9,0.3223,3200,49.5,158400.0,278625.6
東京,1000万,馬連,137.2,0.2514,2500,49.5,123750.0,169785.0
東京,1000万,三連単,125.8,0.2305,2300,49.5,113850.0,143223.3
東京,1000万,複勝,106.8,0.1957,1900,49.5,94050.0,100445.4
東京,1600万,複勝,107.7,1.0,10000,23.6,236000.0,254172.0
東京,1勝,三連複,156.3,0.311,3100,41.5,128650.0,201079.95
東京,1勝,馬連,130.2,0.2591,2500,41.5,103750.0,135082.49999999997
東京,1勝,三連単,110.9,0.2207,2200,41.5,91300.0,101251.7
東京,1勝,複勝,105.2,0.2093,2000,41.5,83000.0,87316.0
東京,2勝,三連複,174.4,0.2912,2900,29.2,84680.0,147681.92
東京,2勝,三連単,171.8,0.2868,2800,29.2,81760.0,140463.68
東京,2勝,馬連,151.3,0.2526,2500,29.2,73000.0,110449.0
東京,2勝,複勝,101.5,0.1694,1600,29.2,46720.0,47420.8
東京,3勝,三連複,165.6,0.4138,4100,14.1,57810.0,95733.36
東京,3勝,馬連,126.3,0.3156,3100,14.1,43710.0,55205.73
東京,3勝,三連単,108.3,0.2706,2700,14.1,38070.0,41229.81
東京,500万,三連単,198.4,0.3045,3000,85.0,255000.0,505920.0
東京,500万,三連複,197.0,0.3024,3000,85.0,255000.0,502350.0
東京,500万,馬連,150.5,0.231,2300,85.0,195500.0,294227.5
東京,500万,複勝,105.6,0.1621,1600,85.0,136000.0,143616.0
東京,OP(L),三連単,731.5,0.4621,4600,5.7,26220.0,191799.3
東京,OP(L),三連複,517.4,0.3268,3200,5.7,18240.0,94373.76
東京,OP(L),馬連,222.4,0.1405,1400,5.7,7980.0,17747.52
東京,OP(L),複勝,111.8,0.0706,700,5.7,3990.0,4460.82
東京,新馬,三連複,507.8,0.354,3500,50.3,176050.0,893981.9
東京,新馬,三連単,503.8,0.3512,3500,50.3,176050.0,886939.9
東京,新馬,馬連,282.6,0.197,1900,50.3,95570.0,270080.82000000007
東京,新馬,複勝,140.3,0.0978,900,50.3,45270.0,63513.81000000001
東京,未勝利,三連複,166.9,0.3768,3700,171.4,634180.0,1058446.42
東京,未勝利,三連単,159.8,0.3608,3600,171.4,617040.0,986029.92
東京,未勝利,馬連,116.2,0.2624,2600,171.4,445640.0,517833.68
東京,Ｇ１,三連単,729.2,0.5415,5400,8.0,43200.0,315014.4
東京,Ｇ１,三連複,342.5,0.2543,2500,8.0,20000.0,68500.0
