場所,クラス,馬券種,レース数,回収率,的中率,平均配当,Quarter-Kelly(%),推奨賭け金(200万)
東京,ｵｰﾌﾟﾝ,複勝,174,107.3,56.6,1.9,2.0,40700
小倉,2勝,複勝,119,107.0,60.1,1.8,2.2,44900
京都,1勝,複勝,141,106.9,58.5,1.8,2.1,41600
東京,1000万,複勝,495,106.8,61.8,1.7,2.3,46500
中山,ｵｰﾌﾟﾝ,複勝,189,106.7,56.9,1.9,1.9,38000
中山,1000万,複勝,411,106.6,56.9,1.9,1.9,38000
京都,Ｇ３,三連単,70,106.3,2.4,44.6,0.0,700
京都,500万,三連単,837,105.7,1.9,56.5,0.0,500
函館,1勝,三連複,175,105.7,9.7,10.9,0.1,2800
東京,500万,複勝,850,105.6,60.8,1.7,1.9,37800
新潟,2勝,複勝,123,105.2,59.3,1.8,1.7,33400
京都,2勝,複勝,101,105.2,62.9,1.7,1.9,38600
東京,1勝,複勝,415,105.2,63.6,1.7,2.0,39800
小倉,1600万,複勝,43,105.2,57.0,1.8,1.5,30800
阪神,1000万,複勝,419,105.0,60.0,1.7,1.7,33400
函館,ｵｰﾌﾟﾝ,複勝,32,104.7,59.4,1.8,1.5,30700
京都,1600万,複勝,249,104.6,60.4,1.7,1.6,31700
中京,1600万,複勝,58,104.5,56.0,1.9,1.3,25900
阪神,Ｇ２,複勝,79,104.4,61.4,1.7,1.6,31100
札幌,1000万,複勝,89,104.3,59.0,1.8,1.4,28100
中山,500万,三連単,719,103.8,1.4,72.2,0.0,200
福島,Ｇ３,馬連,39,103.7,7.7,13.5,0.1,1400
阪神,1600万,複勝,214,103.7,61.7,1.7,1.4,27400
小倉,ｵｰﾌﾟﾝ,複勝,78,103.7,63.5,1.6,1.4,28800
福島,500万,複勝,635,103.3,54.0,1.9,0.9,18200
函館,1000万,馬連,108,102.9,13.4,7.7,0.1,2100
中山,Ｇ１,馬連,32,102.7,14.1,7.3,0.1,2100
京都,1000万,複勝,528,102.7,59.8,1.7,0.9,18800
小倉,500万,複勝,592,102.1,55.6,1.8,0.6,12300
福島,2勝,三連複,77,101.8,5.2,19.6,0.0,400
中山,500万,複勝,719,101.7,58.6,1.7,0.6,11400
小倉,3勝,複勝,44,101.5,46.6,2.2,0.3,6200
中山,Ｇ１,三連単,32,101.5,1.0,97.4,0.0,0
東京,2勝,複勝,292,101.5,58.7,1.7,0.5,10500
京都,1勝,馬連,141,101.4,11.3,8.9,0.0,800
阪神,500万,複勝,791,101.3,60.1,1.7,0.5,9400
中京,1000万,複勝,178,101.3,55.6,1.8,0.4,8100
福島,1000万,複勝,115,100.7,55.7,1.8,0.2,4200
京都,500万,馬連,837,100.6,11.3,8.9,0.0,300
函館,500万,馬連,344,100.2,11.8,8.5,0.0,100
京都,3勝,複勝,47,100.2,54.3,1.8,0.1,1200
中山,1勝,三連単,383,100.1,1.7,57.5,0.0,0
